Vehicle Type,Make,Model,Year,Price,Milleage,District,published date,Vehicle URL
Car,Toyota,Axio,2008,"Rs. 7,150,000",178000,Colombo,2/1/2026,https://riyasewana.com/buy/toyota-axio-sale-colombo-11139348
Car,Suzuki,Wagon R,2016,"Rs. 5,690,000",79000,Ragama,2/7/2026,https://riyasewana.com/buy/suzuki-wagon-r-sale-ragama-11167348
Car,Toyota,VITZ SAFETY EDITION,2016,Negotiable,85000,Chilaw,2/7/2026,https://riyasewana.com/buy/toyota-vitz-safety-sale-chilaw-11167346
Car,Suzuki,Alto Japan,2023,"Rs. 6,590,000",9900,Kiribathgoda,2/7/2026,https://riyasewana.com/buy/suzuki-alto-japan-sale-kiribathgoda-11167345
Car,Honda,EK3 ViRs,2000,Negotiable,264,Kandy,2/7/2026,https://riyasewana.com/buy/honda-ek3-virs-sale-kandy-11167344
Car,Suzuki,Alto K10,2011,"Rs. 3,245,000",156100,Veyangoda,2/7/2026,https://riyasewana.com/buy/suzuki-alto-k10-sale-veyangoda-11167343
Car,Mazda,6,2013,"Rs. 12,200,000",76000,Colombo,2/7/2026,https://riyasewana.com/buy/mazda-6-sale-colombo-11167340
Car,Toyota,Lancer,2005,Negotiable,5223,Kegalle,2/7/2026,https://riyasewana.com/buy/toyota-lancer-sale-kegalle-11167337
Car,BMW,740Le,2018,Negotiable,36000,Colombo,2/7/2026,https://riyasewana.com/buy/bmw-740le-sale-colombo-11167332
Car,Toyota,NHP10 AQUA,2015,"Rs. 7,275,000",,Minuwangoda,2/6/2026,https://riyasewana.com/buy/toyota-nhp10-aqua-sale-minuwangoda-11167328
Car,Suzuki,Alto,2014,"Rs. 3,590,000",142000,Malabe,2/6/2026,https://riyasewana.com/buy/suzuki-alto-sale-malabe-11167326
Car,Suzuki,Spacia Custom Xs,2024,"Rs. 8,700,000",15000,Puttalam,2/6/2026,https://riyasewana.com/buy/suzuki-spacia-custom-sale-puttalam-11167325
