Vehicle Type,Make,Model,Year,Price,Milleage,District,published date,Vehicle URL
Car,Honda,Civic EG8,1993,"Rs. 2,850,000",176000,Dompe,7h ago,https://riyasewana.com/buy/honda-civic-eg8-sale-dompe-11405704
Car,Nissan,N16 Sunny Super Saloon,2005,Negotiable,,Matara,8h ago,https://riyasewana.com/buy/nissan-n16-sunny-sale-matara-11405092
Car,Kia,Sorento,2012,"Rs. 8,900,000",145000,Nugegoda,Mar 24,https://riyasewana.com/buy/kia-sorento-sale-nugegoda-11385242
Car,Toyota,Yaris,2023,"Rs. 8,800,000",72000,Kottawa,Mar 26,https://riyasewana.com/buy/toyota-yaris-sale-kottawa-11395762
Car,TVS,Metro,2016,Negotiable,46861,Kegalle,Just now,https://riyasewana.com/buy/tvs-metro-sale-kegalle-11408584
Car,Yamaha,Mate V80,1996,"Rs. 85,000",10000,Kandy,Just now,https://riyasewana.com/buy/yamaha-mate-v80-sale-kandy-11408583
Car,TVS,Tvs King,2010,Negotiable,1,Kandy,Just now,https://riyasewana.com/buy/tvs-tvs-king-sale-kandy-11408582
Car,Honda,Super Cub,2000,"Rs. 160,000",52314,Kuliyapitiya,Just now,https://riyasewana.com/buy/honda-super-cub-sale-kuliyapitiya-11408581
Car,Suzuki,Wagon R Stingray,2018,"Rs. 7,200,000",65000,Kurunegala,1m ago,https://riyasewana.com/buy/suzuki-wagon-r-sale-kurunegala-11408580
Car,Tata,Demo Batta Ace,2018,"Rs. 2,600,000",77000,Gampaha,1m ago,https://riyasewana.com/buy/tata-demo-batta-sale-gampaha-11408579
Car,Bajaj,Discover 135,2010,Negotiable,1587,Gampaha,1m ago,https://riyasewana.com/buy/bajaj-discover-135-sale-gampaha-11408578
Car,TVS,Star Sport 125ES,2011,"Rs. 185,000",1,Kurunegala,1m ago,https://riyasewana.com/buy/tvs-star-sport-sale-kurunegala-11408577
Car,Bajaj,RE 2 Stroke,1999,Negotiable,123884,Kurunegala,1m ago,https://riyasewana.com/buy/bajaj-re-2-sale-kurunegala-11408576
Car,Bajaj,Discover,2011,Negotiable,43265,Kegalle,1m ago,https://riyasewana.com/buy/bajaj-discover-sale-kegalle-11408575
Car,Hero,Pleasure Snooty,2014,Negotiable,46765,Polonnaruwa,1m ago,https://riyasewana.com/buy/hero-pleasure-snooty-sale-polonnaruwa-11408574
Car,Bajaj,CT-100,2009,"Rs. 265,000",1,Pannala,3m ago,https://riyasewana.com/buy/bajaj-ct-100-sale-pannala-11408571
Car,Nissan,Leaf,2013,"Rs. 8,000,000",144000,Galle,3m ago,https://riyasewana.com/buy/nissan-leaf-sale-galle-11408570
Car,Nissan,Caravan,1995,"Rs. 6,800,000",584390,Warakapola,4m ago,https://riyasewana.com/buy/nissan-caravan-sale-warakapola-11408569
Car,Nissan,Qashqai,2018,"Rs. 13,000,000",97127,Gampaha,4m ago,https://riyasewana.com/buy/nissan-qashqai-sale-gampaha-11408568
Car,Bajaj,RE,2011,Negotiable,13847,Kalutara,4m ago,https://riyasewana.com/buy/bajaj-re-sale-kalutara-11408567
Car,Suzuki,Alto,2024,Negotiable,,Matale,4m ago,https://riyasewana.com/buy/suzuki-alto-sale-matale-11408566
Car,Honda,DIO,2013,"Rs. 395,000",57200,Gampola,4m ago,https://riyasewana.com/buy/honda-dio-sale-gampola-11408565
Car,Suzuki,Gixxer 155cc,2018,"Rs. 600,000",81000,Colombo,4m ago,https://riyasewana.com/buy/suzuki-gixxer-155cc-sale-colombo-11408564
Car,Toyota,Premio G Superior,2014,"Rs. 11,000,000",2,Colombo,4m ago,https://riyasewana.com/buy/toyota-premio-g-sale-colombo-11408562
Car,Toyota,CR51,1997,"Rs. 5,250,000",1111111,Kandy,4m ago,https://riyasewana.com/buy/toyota-cr51-sale-kandy-11408561
Car,Toyota,Auris Corolla Hutchback,2008,Rs. 123,128000,Divulapitiya,4m ago,https://riyasewana.com/buy/toyota-auris-corolla-sale-divulapitiya-11408560
Car,Mitsubishi,MONTERO V6,2003,"Rs. 11,000,000",166800,Gampaha,4m ago,https://riyasewana.com/buy/mitsubishi-montero-v6-sale-gampaha-11408559
Car,Nissan,FB15 Super Saloon,2000,"Rs. 4,290,000",161600,Kaduwela,5m ago,https://riyasewana.com/buy/nissan-fb15-super-sale-kaduwela-11408558
Car,Nissan,E25,2004,"Rs. 7,800,000",222222,Ja-Ela,5m ago,https://riyasewana.com/buy/nissan-e25-sale-ja-ela-11408557
Car,Tata,Dimo Batta,2013,Negotiable,121452,Hambantota,7m ago,https://riyasewana.com/buy/tata-dimo-batta-sale-hambantota-11408556
Car,Other,Dio,2012,"Rs. 400,000",54000,Kandy,7m ago,https://riyasewana.com/buy/other-dio-sale-kandy-11408555
Car,Bajaj,CT-100,2005,"Rs. 230,000",1000,Ratnapura,7m ago,https://riyasewana.com/buy/bajaj-ct-100-sale-ratnapura-11408554
Car,Kia,Rio,2015,"Rs. 8,000,000",75000,Dehiwala-Mt,8m ago,https://riyasewana.com/buy/kia-rio-sale-dehiwala-mount-lavinia-11408553
Car,Bajaj,RE,2004,"Rs. 785,000",100000,Kandy,8m ago,https://riyasewana.com/buy/bajaj-re-sale-kandy-11408551
Car,Honda,Dio,2016,"Rs. 450,000",123456,Negombo,9m ago,https://riyasewana.com/buy/honda-dio-sale-negombo-11408550
Car,Toyota,Carina,1987,"Rs. 1,150,000",225000,Homagama,9m ago,https://riyasewana.com/buy/toyota-carina-sale-homagama-11408548
Car,TVS,King,2019,"Rs. 1,325,000",42598,Panadura,9m ago,https://riyasewana.com/buy/tvs-king-sale-panadura-11408547
Car,Tata,Nano,2017,"Rs. 2,100,000",1,Colombo,9m ago,https://riyasewana.com/buy/tata-nano-sale-colombo-11408546
Car,Tata,Dimo Batta,2011,"Rs. 1,595,000",85000,Wennappuwa,9m ago,https://riyasewana.com/buy/tata-dimo-batta-sale-wennappuwa-11408544
Car,Bajaj,CT-100,2012,"Rs. 265,000",19658,Galle,10m ago,https://riyasewana.com/buy/bajaj-ct-100-sale-galle-11408541
Car,Toyota,Vitz 130,2015,"Rs. 6,850,000",58000,Colombo,10m ago,https://riyasewana.com/buy/toyota-vitz-130-sale-colombo-11408540
Car,Honda,Dio,2017,"Rs. 555,000",27000,Moneragala,11m ago,https://riyasewana.com/buy/honda-dio-sale-moneragala-11408538
Car,Toyota,LH 103,1995,"Rs. 9,275,000",1,Kandy,11m ago,https://riyasewana.com/buy/toyota-lh-103-sale-kandy-11408536
Car,Kia,Sonet GTX,2026,"Rs. 12,350,000",1,Colombo,12m ago,https://riyasewana.com/buy/kia-sonet-gtx-sale-colombo-11408535
Van,Kia,Sonet GTX Plus Premium,2026,"Rs. 12,250,000",50,Piliyandala,Mar 26,https://riyasewana.com/buy/kia-sonet-gtx-sale-piliyandala-11397524
Van,Yamaha,Alpha,2015,"Rs. 310,000",40000,Kiribathgoda,9h ago,https://riyasewana.com/buy/yamaha-alpha-sale-kiribathgoda-11404594
Van,Isuzu,Isuzu,2019,Negotiable,260000,Kadawatha,7h ago,https://riyasewana.com/buy/isuzu-isuzu-sale-kadawatha-11405467
Pickup,BMW,318i M Sport,2018,Negotiable,30000,Ja-Ela,Mar 22,https://riyasewana.com/buy/bmw-318i-m-sale-ja-ela-11378941
Pickup,Honda,Super Cub,2009,"Rs. 275,000",60950,Kuliyapitiya,4h ago,https://riyasewana.com/buy/honda-super-cub-sale-kuliyapitiya-11407134
Pickup,Honda,Vezel,2025,Negotiable,1200,Gampaha,Yesterday,https://riyasewana.com/buy/honda-vezel-sale-gampaha-11401740
Pickup,Suzuki,Alto,2004,"Rs. 3,390,000",142000,Matara,Yesterday,https://riyasewana.com/buy/suzuki-alto-sale-matara-11404017
Pickup,Toyota,Crown Athlete,2008,"Rs. 15,950,000",180000,Colombo,Just now,https://riyasewana.com/buy/toyota-crown-athlete-sale-colombo-11408585
SUV,BMW,X5,2016,"Rs. 25,500,000",83000,Colombo,Yesterday,https://riyasewana.com/buy/bmw-x5-sale-colombo-11402598
SUV,Toyota,Corolla AE110,1999,Negotiable,,Matara,8h ago,https://riyasewana.com/buy/toyota-corolla-ae110-sale-matara-11405050
SUV,Micro,Tivoli,2015,"Rs. 6,200,000",73000,Colombo,Mar 26,https://riyasewana.com/buy/micro-tivoli-sale-colombo-11397329
SUV,Suzuki,Alto K10,2015,"Rs. 4,250,000",120000,Malabe,Yesterday,https://riyasewana.com/buy/suzuki-alto-k10-sale-malabe-11402964
