Vehicle Type,Make,Model,Year,Price,Milleage,District,published date,Vehicle URL
Pickup,Mitsubishi,L200 Sportero,2015,"Rs. 12,250,000",3,Kadawatha,2026-02-06,https://riyasewana.com/buy/mitsubishi-l200-sportero-sale-kadawatha-11163280
Three Wheel,Bajaj,4 Stroke,2010,"Rs. 1,280,000",111111,Gampaha,2026-01-31,https://riyasewana.com/buy/bajaj-4-stroke-sale-gampaha-11134427
Car,Toyota,Axio,2008,"Rs. 7,150,000",178000,Colombo,2026-02-01,https://riyasewana.com/buy/toyota-axio-sale-colombo-11139348
Van,Suzuki,Every Join,2024,"Rs. 7,400,000",12300,Colombo,2026-02-06,https://riyasewana.com/buy/suzuki-every-join-sale-colombo-11163760
Pickup,Toyota,Hilux Invicible D4,2007,"Rs. 10,200,000",170000,Gampaha,2026-02-07,https://riyasewana.com/buy/toyota-hilux-invicible-sale-gampaha-11167351
SUV,Nissan,Magnite,2025,"Rs. 7,990,000",2500,Kurunegala,2026-02-07,https://riyasewana.com/buy/nissan-magnite-sale-kurunegala-11167350
Motorbike,ATHER,Discover 150,2011,"Rs. 225,000",85000,Kottawa,2026-02-07,https://riyasewana.com/buy/ather-discover-150-sale-kottawa-11167349
Car,Suzuki,Wagon R,2016,"Rs. 5,690,000",79000,Ragama,2026-02-07,https://riyasewana.com/buy/suzuki-wagon-r-sale-ragama-11167348
Pickup,JAC,T9,2025,"Rs. 17,500,000",3100,Colombo,2026-02-07,https://riyasewana.com/buy/jac-t9-sale-colombo-11167347
Car,Toyota,VITZ SAFETY EDITION,2016,Negotiable,85000,Chilaw,2026-02-07,https://riyasewana.com/buy/toyota-vitz-safety-sale-chilaw-11167346
Car,Suzuki,Alto Japan,2023,"Rs. 6,590,000",9900,Kiribathgoda,2026-02-07,https://riyasewana.com/buy/suzuki-alto-japan-sale-kiribathgoda-11167345
Car,Honda,EK3 ViRs,2000,Negotiable,264,Kandy,2026-02-07,https://riyasewana.com/buy/honda-ek3-virs-sale-kandy-11167344
Car,Suzuki,Alto K10,2011,"Rs. 3,245,000",156100,Veyangoda,2026-02-07,https://riyasewana.com/buy/suzuki-alto-k10-sale-veyangoda-11167343
Motorbike,Honda,Benly CD125,2008,"Rs. 780,000",63000,Bandaragama,2026-02-07,https://riyasewana.com/buy/honda-benly-cd125-sale-bandaragama-11167342
Car,Mazda,6,2013,"Rs. 12,200,000",76000,Colombo,2026-02-07,https://riyasewana.com/buy/mazda-6-sale-colombo-11167340
,Mitsubishi,Lancer Wagon EL,1986,"Rs. 550,000",,Matale,2026-02-07,https://riyasewana.com/buy/mitsubishi-lancer-wagon-sale-matale-11167338
Car,Toyota,Lancer,2005,Negotiable,5223,Kegalle,2026-02-07,https://riyasewana.com/buy/toyota-lancer-sale-kegalle-11167337
Three Wheel,Bajaj,4 Stroke,2011,"Rs. 1,245,000",74526,Mannar,2026-02-07,https://riyasewana.com/buy/bajaj-4-stroke-sale-mannar-11167335
Three Wheel,Bajaj,2 Stroke,2006,"Rs. 1,234",4566,Kegalle,2026-02-07,https://riyasewana.com/buy/bajaj-2-stroke-sale-kegalle-11167334
Van,Toyota,Townace CR36,1992,"Rs. 3,750,000",112000,Kottawa,2026-02-07,https://riyasewana.com/buy/toyota-townace-cr36-sale-kottawa-11167333
Car,BMW,740Le,2018,Negotiable,36000,Colombo,2026-02-07,https://riyasewana.com/buy/bmw-740le-sale-colombo-11167332
,Changan,CrewCab,2007,"Rs. 1,790,000",63000,Malabe,2026-02-06,https://riyasewana.com/buy/changan-crewcab-sale-malabe-11167331
Motorbike,Hero,Pleasure,2015,"Rs. 310,000",,Homagama,2026-02-06,https://riyasewana.com/buy/hero-pleasure-sale-homagama-11167330
Motorbike,Honda,CB Trigger,2015,"Rs. 395,000",,Bandaragama,2026-02-06,https://riyasewana.com/buy/honda-cb-trigger-sale-bandaragama-11167329
Car,Toyota,NHP10 AQUA,2015,"Rs. 7,275,000",,Minuwangoda,2026-02-06,https://riyasewana.com/buy/toyota-nhp10-aqua-sale-minuwangoda-11167328
Pickup,Mahindra,Bolero,2012,Negotiable,123456,Kegalle,2026-02-06,https://riyasewana.com/buy/mahindra-bolero-sale-kegalle-11167327
Car,Suzuki,Alto,2014,"Rs. 3,590,000",142000,Malabe,2026-02-06,https://riyasewana.com/buy/suzuki-alto-sale-malabe-11167326
