Class of Vehicle,Make/Manufa. Name,Model,Country,Fuel Used,Cylinder Capacity,District,Registration Status,No of vehicle,Model_Code,Clean_Name
MOTOR CYCLE,RISE,LEADER R 100,SRI LANKA,ELECTRIC,2.0,RATNAPURA,BRAND NEW-L/MANUFACT,1,,LEADER R 100
MOTOR CYCLE,RISE,LEADER R80,SRI LANKA,ELECTRIC,2.0,PUTTALAM,BRAND NEW-L/MANUFACT,2,,LEADER R80
MOTOR CYCLE,RISE,LEADER R80,SRI LANKA,PETROL,2.0,GALLE,BRAND NEW-L/MANUFACT,1,,LEADER R80
MOTOR CYCLE,HONDA,C90 CUSTOM,JAPAN,PETROL,90.0,PUTTALAM,RECONDITIONED,1,,C90 CUSTOM
CAR,VOLKSWAGEN,3AA-CDDLA GOLF,GERMANY,PETROL,996.0,COLOMBO,RECONDITIONED,1,3AA-CDDLA,GOLF
DUAL PURPOSE (COMMERCIAL),TOYOTA,HILUX REVO GR SPORT,THAILAND,DIESEL,2755.0,GALLE,RECONDITIONED,5,,HILUX REVO GR SPORT
DUAL PURPOSE (COMMERCIAL),TOYOTA,HILUX REVO,THAILAND,DIESEL,2755.0,NUWARA-ELIYA,RECONDITIONED,1,,HILUX REVO
CAR,AUDI,3AA-GYDLA A3,GERMANY,PETROL,999.0,COLOMBO,RECONDITIONED,1,3AA-GYDLA,A3
CAR,TOYOTA,3BA NGX10 C-HR,JAPAN,PETROL,1196.0,KALUTARA,RECONDITIONED,1,,3BA NGX10 C-HR
CAR,TOYOTA,3BA TRJ150W,JAPAN,PETROL,2693.0,COLOMBO,RECONDITIONED,1,,3BA TRJ150W
MOTOR CYCLE,HONDA,PCX 125,VIETNAM,PETROL,124.0,KURUNEGALA,RECONDITIONED,7,,PCX 125
CAR,TOYOTA,3BA VJA300W GNUZZ,JAPAN,PETROL,3444.0,PUTTALAM,RECONDITIONED,1,,3BA VJA300W GNUZZ
CAR,B.M.W.,3BA-7K15 218I MSPORT,GERMANY,PETROL,1499.0,COLOMBO,RECONDITIONED,1,3BA-7K15,218I MSPORT
CAR,B.M.W.,3BA-7K15 218IM SPORT,GERMANY,PETROL,1490.0,GAMPAHA,RECONDITIONED,1,3BA-7K15,218IM SPORT
MOTOR CYCLE,HONDA,PCX 160,VIETNAM,PETROL,157.0,KURUNEGALA,RECONDITIONED,4,,PCX 160
MOTOR CYCLE,HONDA,PCX,JAPAN,PETROL,157.0,KANDY,RECONDITIONED,3,,PCX
MOTOR CYCLE,HONDA,ADV 160,JAPAN,PETROL,157.0,PUTTALAM,RECONDITIONED,3,,ADV 160
SPECIAL PURPOSE VEHICLE,CLARK,FX70D,KOREA,DIESEL,2400.0,GAMPAHA,RECONDITIONED,1,,FX70D
SPECIAL PURPOSE VEHICLE,FURUKAWA,FL60A WHEEL LOADER,JAPAN,DIESEL,2369.0,PUTTALAM,RECONDITIONED,1,,FL60A WHEEL LOADER
MOTOR CYCLE,HONDA,8BK-KF47,JAPAN,PETROL,157.0,PUTTALAM,RECONDITIONED,1,8BK-KF47,Unknown
