Class of Vehicle,Make/Manufa. Name,Model,Country,Fuel Used,Cylinder Capacity,District,Registration Status,No of vehicle,Model_Code,Clean_Name
MOTOR CYCLE,HONDA,8BK-KF47,JAPAN,PETROL,157.0,POLONNARUWA,RECONDITIONED,1,8BK-KF47,PCX
MOTOR CYCLE,HONDA,PCX 125,VIETNAM,PETROL,124.0,KURUNEGALA,RECONDITIONED,6,,PCX 125
SPECIAL PURPOSE VEHICLE,TADANO,ATF-160G-5,JAPAN,DIESEL,15928.0,COLOMBO,RECONDITIONED,1,ATF-160G-5,Unknown
CAR,SUBARU,5AA-SKE,JAPAN,PETROL/ELE,1990.0,COLOMBO,RECONDITIONED,1,5AA-SKE,Unknown
SPECIAL PURPOSE VEHICLE,KOBELCO,RK70,JAPAN,DIESEL,3850.0,RATNAPURA,RECONDITIONED,1,,RK70
MOTOR CYCLE,HONDA,ADV 160,JAPAN,PETROL,157.0,PUTTALAM,RECONDITIONED,1,,ADV 160
AMBULANCE,TOYOTA,CBF-TRH226S,JAPAN,PETROL,2690.0,PUTTALAM,RECONDITIONED,1,CBF-TRH226S,Unknown
LAND VEHICLE (SMALL),KUBOTA,K600,JAPAN,DIESEL,422.0,JAFFNA,RECONDITIONED,2,,K600
SPECIAL PURPOSE VEHICLE,J.C.B,3CX,UNITED KINGDOM,DIESEL,3900.0,GAMPAHA,RECONDITIONED,1,,3CX
CAR,TOYOTA,LAND CRUISER PRADO,JAPAN,PETROL,2690.0,COLOMBO,RECONDITIONED,1,,LAND CRUISER PRADO
MOTOR LORRY (COMMERCIAL),HINO,TKG-XZU655M,JAPAN,DIESEL,4000.0,KEGALLE,RECONDITIONED,1,TKG-XZU655M,Unknown
MOTOR CYCLE,HONDA,ADV160,THAILAND,PETROL,157.0,KANDY,RECONDITIONED,1,,ADV160
MOTOR CYCLE,YADEA,M6,CHINA,ELECTRIC,1.2,GAMPAHA,RECONDITIONED,1,,M6
MOTOR CYCLE,HONDA,PCX 125,JAPAN,PETROL,124.0,AMPARA,RECONDITIONED,1,,PCX 125
MOTOR CYCLE,HONDA,ADV160,JAPAN,PETROL,156.0,GAMPAHA,RECONDITIONED,1,,ADV160
MOTOR CYCLE,HONDA,PCX125,JAPAN,PETROL,124.0,PUTTALAM,RECONDITIONED,1,,PCX125
CAR,TOYOTA,5BA-KSP210 YARIS,JAPAN,PETROL,996.0,COLOMBO,RECONDITIONED,1,5BA-KSP210,YARIS
CAR,EMPEROR,NZE 121,SRI LANKA,PETROL,1496.0,COLOMBO,USED PARTS-ASSEMBLED,1,,NZE 121
CAR,EMPEROR,NZE121,SRI LANKA,PETROL,1496.0,ANURADHAPURA,USED PARTS-ASSEMBLED,1,,NZE121
CAR,EMPEROR,NZE 121,SRI LANKA,PETROL,1497.0,MATARA,USED PARTS-ASSEMBLED,1,,NZE 121
CAR,EMPEROR,NZE 121,SRI LANKA,PETROL,1496.0,GALLE,USED PARTS-ASSEMBLED,1,,NZE 121
CAR,EMPEROR,NZE 121,SRI LANKA,PETROL,1496.0,ANURADHAPURA,USED PARTS-ASSEMBLED,1,,NZE 121
TRACTOR TRAILER/BOWSER,LOCALLY BUILT,LOW BED TRAILER,SRI LANKA,NOT STATED,0.0,TRINCOMALEE,LOCALLY BUILT,9,,LOW BED TRAILER
LORRY TRAILER/BOWSER,DUTCH LANKA TRAILER,DLFT-40/40T,SRI LANKA,NOT STATED,0.0,COLOMBO,LOCALLY BUILT,2,DLFT-40,/40T
TRACTOR TRAILER/BOWSER,LOCALLY BUILT,LAW BED TRAILER,SRI LANKA,NOT STATED,0.0,POLONNARUWA,LOCALLY BUILT,12,,LAW BED TRAILER
TRACTOR TRAILER/BOWSER,LOCALLY BUILT,TRACTOR TRAILER,SRI LANKA,NOT STATED,0.0,MATARA,LOCALLY BUILT,3,,TRACTOR TRAILER
MOTOR CYCLE,SUZUKI,BURGMAN STREET,INDIA,PETROL,124.0,COLOMBO,BOUGHT FROM AUCTION,2,,BURGMAN STREET
TRACTOR TRAILER/BOWSER,LOCALLY BUILT,LAW BED TRAILER,SRI LANKA,NOT STATED,0.0,TRINCOMALEE,LOCALLY BUILT,2,,LAW BED TRAILER
TRACTOR TRAILER/BOWSER,LOCALLY BUILT,TRACTOR TRAILER,SRI LANKA,NOT STATED,0.0,KALUTARA,LOCALLY BUILT,1,,TRACTOR TRAILER
CAR,DFSK,GLORY I AUTO,SRI LANKA,PETROL,1498.0,MATARA,LOCALLY BUILT,1,,GLORY I AUTO
MOTOR TRICYCLE VAN,PIAGGIO,APE XTRA LD,INDIA,DIESEL,435.0,GAMPAHA,BOUGHT FROM AUCTION,1,,APE XTRA LD
MOTOR TRICYCLE VAN,PIAGGIO,APE EXTRA LD,INDIA,DIESEL,435.0,KALUTARA,BOUGHT FROM AUCTION,1,,APE EXTRA LD
MOTOR CYCLE,QUANLE,ZL,CHINA,ELECTRIC,2.0,HAMBANTOTA,BRAND NEW,7,,ZL
MOTOR CYCLE,QUANLE,XGW,CHINA,ELECTRIC,1.2,KALUTARA,BRAND NEW,2,,XGW
MOTOR CYCLE,QUANLE,ZL,CHINA,ELECTRIC,2.0,MONERAGALA,BRAND NEW,1,,ZL
MOTOR CYCLE,QUANLE,G18,CHINA,ELECTRIC,2.0,HAMBANTOTA,BRAND NEW,5,,G18
MOTOR CYCLE,YADEA,RUIBIN,CHINA,ELECTRIC,0.8,KURUNEGALA,BRAND NEW,3,,RUIBIN
MOTOR CYCLE,LUYUAN ALFA,M-MKK-Z30LJ-12-C,CHINA,ELECTRIC,1.8,COLOMBO,BRAND NEW,1,,M-MKK-Z30LJ-12-C
LAND VEHICLE,TAFE,45DI,INDIA,DIESEL,2700.0,ANURADHAPURA,BRAND NEW,2,,45DI
LAND VEHICLE,TAFE,45DI,INDIA,DIESEL,2500.0,MANNAR,BRAND NEW,1,,45DI
LAND VEHICLE (SMALL),KUBOTA,SP 155,THAILAND,DIESEL,770.0,ANURADHAPURA,BRAND NEW,1,,SP 155
MOTOR CYCLE,YADEA,T5,CHINA,ELECTRIC,1.2,MATALE,BRAND NEW,20,,T5
MOTOR CYCLE,YADEA,EPOC H,CHINA,ELECTRIC,2.0,COLOMBO,BRAND NEW,11,,EPOC H
MOTOR CYCLE,YADEA,EPOC H,CHINA,ELECTRIC,2.0,MATARA,BRAND NEW,8,,EPOC H
LAND VEHICLE,YANMAR,YM358R,THAILAND,DIESEL,3319.0,TRINCOMALEE,BRAND NEW,1,,YM358R
MOTOR CYCLE,NWOW,TK 10,CHINA,ELECTRIC,0.8,GAMPAHA,BRAND NEW,17,,TK 10
MOTOR CYCLE,LUYUAN,S90 PLUS,CHINA,ELECTRIC,1.5,HAMBANTOTA,BRAND NEW,2,,S90 PLUS
MOTOR CYCLE,LUYUAN,MYT,CHINA,ELECTRIC,0.8,GALLE,BRAND NEW,1,,MYT
MOTOR CYCLE,TVS,IQUBE,INDIA,ELECTRIC,3.34,KEGALLE,BRAND NEW,1,,IQUBE
LAND VEHICLE,TAFE,45DI,INDIA,DIESEL,2500.0,POLONNARUWA,BRAND NEW,2,,45DI
MOTOR CYCLE,LUYUAN,MNK3,CHINA,ELECTRIC,1.5,MONERAGALA,BRAND NEW,3,,MNK3
CAR,TOYOTA,FJA300R-GNUZY,JAPAN,DIESEL,3346.0,COLOMBO,BRAND NEW,1,,FJA300R-GNUZY
LAND VEHICLE (SMALL),FARM MASTER,RV125-2,CHINA,DIESEL,624.0,KEGALLE,BRAND NEW,1,RV125-2,Unknown
