Class of Vehicle,Make/Manufa. Name,Model,Country,Fuel Used,Cylinder Capacity,District,Registration Status,No of vehicle,Model_Code,Clean_Name
CAR,SUZUKI,5BD-DA17V EVERY,JAPAN,PETROL,658.0,COLOMBO,RECONDITIONED,22,5BD-DA17V,EVERY
CAR,DAIHATSU,5BA-LA900S TAFT,JAPAN,PETROL,658.0,ANURADHAPURA,RECONDITIONED,2,5BA-LA900S,TAFT
MOTOR CYCLE,HONDA,PCX125,JAPAN,PETROL,124.0,GAMPAHA,RECONDITIONED,1,,PCX125
MOTOR CYCLE,HONDA,PCX125,JAPAN,PETROL,124.0,PUTTALAM,RECONDITIONED,1,,PCX125
CAR,HONDA,6AA-RV5 VEZEL,JAPAN,PETROL/ELE,1496.0,COLOMBO,RECONDITIONED,216,6AA-RV5,VEZEL
CAR,DAIHATSU,MIRA 5BA-LA350S,JAPAN,PETROL,658.0,GAMPAHA,RECONDITIONED,1,,MIRA 5BA-LA350S
CAR,SUZUKI,5AA-MH95S WAGON R,JAPAN,PETROL,658.0,KEGALLE,RECONDITIONED,3,5AA-MH95S,WAGON R
CAR,TOYOTA,5BA-KSP210 YARIS,JAPAN,PETROL,996.0,ANURADHAPURA,RECONDITIONED,11,5BA-KSP210,YARIS
CAR,TOYOTA,5BA-KSP210 YARIS,JAPAN,PETROL,996.0,COLOMBO,RECONDITIONED,54,5BA-KSP210,YARIS
CAR,TOYOTA,3BA-TRJ250W,JAPAN,PETROL,2696.0,COLOMBO,RECONDITIONED,2,3BA-TRJ250W,VX
CAR,SUZUKI,5AA-MK53S SPACIA,JAPAN,PETROL,658.0,PUTTALAM,RECONDITIONED,2,5AA-MK53S,SPACIA
CAR,SUZUKI,5BA-MH85S WAGON R,JAPAN,PETROL,656.0,COLOMBO,RECONDITIONED,4,5BA-MH85S,WAGON R
CAR,TOYOTA,5BA-KSP210 YARIS,JAPAN,PETROL,996.0,KANDY,RECONDITIONED,13,5BA-KSP210,YARIS
CAR,SUZUKI,5BA-MH85S WAGON R,JAPAN,PETROL,657.0,COLOMBO,RECONDITIONED,7,5BA-MH85S,WAGON R
CAR,TOYOTA,6AA-ZWR90W  VOXY,JAPAN,PETROL/ELE,1797.0,KANDY,RECONDITIONED,1,6AA-ZWR90W,VOXY
CAR,MERCEDES BENZ,C200 AMG LINE,GERMANY,PETROL,1496.0,GAMPAHA,RECONDITIONED,1,,C200 AMG LINE
MOTOR CYCLE,HONDA,PCX 160,VIETNAM,PETROL,157.0,KURUNEGALA,RECONDITIONED,2,,PCX 160
CAR,TOYOTA,6AA-MXPJ10 YARIS,JAPAN,PETROL/ELE,1490.0,KURUNEGALA,RECONDITIONED,1,6AA-MXPJ10,YARIS
