Class of Vehicle,Make/Manufa. Name,Model,Country,Fuel Used,Cylinder Capacity,District,Registration Status,No of vehicle,Model_Code,Clean_Name
CAR,DAIHATSU,5BA-LA900S TAFT,JAPAN,PETROL,658.0,GAMPAHA,RECONDITIONED,21,5BA-LA900S,TAFT
CAR,TOYOTA,5BA-KSP210 YARIS,JAPAN,PETROL,996.0,COLOMBO,RECONDITIONED,79,5BA-KSP210,YARIS
SINGLE CAB,TOYOTA,HILUX REVO,THAILAND,DIESEL,2393.0,GAMPAHA,RECONDITIONED,3,,HILUX REVO
CAR,HONDA,6AA-RV5 VEZEL,JAPAN,PETROL/ELE,1496.0,COLOMBO,RECONDITIONED,212,6AA-RV5,VEZEL
CAR,SUZUKI,3BA-HA37S ALTO,JAPAN,PETROL,658.0,COLOMBO,RECONDITIONED,15,3BA-HA37S,ALTO
CAR,SUZUKI,5BD-DA17V EVERY,JAPAN,PETROL,658.0,COLOMBO,RECONDITIONED,38,5BD-DA17V,EVERY
CAR,SUZUKI,5BD-DA17V,JAPAN,PETROL,658.0,GAMPAHA,RECONDITIONED,1,5BD-DA17V,EVERY
CAR,TOYOTA,4BA-M900A ROOMY,JAPAN,PETROL,996.0,KEGALLE,RECONDITIONED,3,4BA-M900A,ROOMY
CAR,TOYOTA,5BA-M700A PASSO,JAPAN,PETROL,996.0,GALLE,RECONDITIONED,3,5BA-M700A,PASSO
DUAL PURPOSE (COMMERCIAL),TOYOTA,3DF-GUN125,THAILAND,DIESEL,2393.0,GAMPAHA,RECONDITIONED,1,3DF-GUN125,HILUX
CAR,TOYOTA,5BA-M910A ROOMY,JAPAN,PETROL,996.0,GAMPAHA,RECONDITIONED,1,5BA-M910A,ROOMY
CAR,TOYOTA,3BA-TRJ150W,JAPAN,PETROL,2693.0,KALUTARA,RECONDITIONED,1,3BA-TRJ150W,Unknown
DUAL PURPOSE (COMMERCIAL),TOYOTA,HILUX REVO,THAILAND,DIESEL,2755.0,MONERAGALA,RECONDITIONED,1,,HILUX REVO
CAR,HONDA,6AA-RV5 VEZEL,JAPAN,PETROL/ELE,1496.0,MONERAGALA,RECONDITIONED,4,6AA-RV5,VEZEL
CAR,TOYOTA,5BA-KSP210 YARIS,JAPAN,PETROL,996.0,KANDY,RECONDITIONED,21,5BA-KSP210,YARIS
CAR,HONDA,6AA--RV5 VEZEL,JAPAN,PETROL/ELE,1496.0,GALLE,RECONDITIONED,1,6AA--RV5,VEZEL
CAR,SUZUKI,5AA-MK94S SPACIA,JAPAN,PETROL,658.0,PUTTALAM,RECONDITIONED,2,5AA-MK94S,SPACIA
CAR,TOYOTA,5BA-KSP210 YARIS,JAPAN,PETROL,996.0,KEGALLE,RECONDITIONED,8,5BA-KSP210,YARIS
CAR,TOYOTA,6AA-NKE165,JAPAN,PETROL/ELE,1496.0,JAFFNA,RECONDITIONED,1,6AA-NKE165,AXIO
CAR,HONDA,6AARV5 VEZEL,JAPAN,PETROL/ELE,1496.0,COLOMBO,RECONDITIONED,1,,6AARV5 VEZEL
CAR,SUZUKI,4AA-MH55S WAGON R,JAPAN,PETROL/ELE,658.0,COLOMBO,RECONDITIONED,2,4AA-MH55S,WAGON R
CAR,HONDA,CRV VTI L7,JAPAN,PETROL,1498.0,MATARA,RECONDITIONED,1,,CRV VTI L7
CAR,TOYOTA,3BA-NGX50 C-HR,JAPAN,PETROL,1196.0,KURUNEGALA,RECONDITIONED,1,3BA-NGX50,C-HR
CAR,TOYOTA,5BA-KSP210 YARIS,JAPAN,PETROL,996.0,ANURADHAPURA,RECONDITIONED,10,5BA-KSP210,YARIS
CAR,HONDA,CRV VTI L7,AUSTRALIA,PETROL,1498.0,COLOMBO,RECONDITIONED,4,,CRV VTI L7
CAR,TOYOTA,5AA-A202A RAIZE,JAPAN,ELECTRIC,78.0,JAFFNA,RECONDITIONED,1,5AA-A202A,RAIZE
CAR,TOYOTA,5AA-A202A RAIZE,JAPAN,PETROL/ELE,1196.0,KANDY,RECONDITIONED,1,5AA-A202A,RAIZE
LAND VEHICLE (SMALL),KUBOTA,K700,JAPAN,DIESEL,508.0,GAMPAHA,RECONDITIONED,2,,K700
CAR,ALFA ROMEO,3AA-AV115 TONALE,ITALY,PETROL,1468.0,COLOMBO,RECONDITIONED,1,3AA-AV115,TONALE
CAR,DAIHATSU,5BA-LA350S MIRA ES,JAPAN,PETROL,658.0,MATALE,RECONDITIONED,1,5BA-LA350S,MIRA ES
CAR,TOYOTA,3BA-TRJ250W,JAPAN,PETROL,2693.0,VAVUNIYA,RECONDITIONED,1,3BA-TRJ250W,PRADO250
CAR,NISSAN,5BD-DR17V CLIPPER,JAPAN,PETROL,658.0,GAMPAHA,RECONDITIONED,10,5BD-DR17V,CLIPPER
CAR,SUZUKI,5AA-MH95S WAGON R,JAPAN,PETROL/ELE,657.0,ANURADHAPURA,RECONDITIONED,1,5AA-MH95S,WAGON R
CAR,TOYOTA,RAIZE 5AA-A202A,JAPAN,PETROL/ELE,78.0,COLOMBO,RECONDITIONED,1,,RAIZE 5AA-A202A
LAND VEHICLE (SMALL),KUBOTA,K75,JAPAN,DIESEL,507.0,HAMBANTOTA,RECONDITIONED,1,,K75
CAR,PROTON,SAGA,MALAYSIA,PETROL,1332.0,COLOMBO,RECONDITIONED,1,,SAGA
CAR,TOYOTA,LAND CRUISER 300,JAPAN,PETROL,3444.0,COLOMBO,RECONDITIONED,1,,LAND CRUISER 300
CAR,SUZUKI,4AA-MH55S WAGON R,JAPAN,PETROL,658.0,MATARA,RECONDITIONED,1,4AA-MH55S,WAGON R
CAR,TOYOTA,5BA-M900A ROOMY,JAPAN,PETROL,996.0,AMPARA,RECONDITIONED,3,5BA-M900A,ROOMY
CAR,LAND ROVER,RANGE ROVER EVOQUE,UNITED KINGDOM,PETROL/ELE,1498.0,GAMPAHA,RECONDITIONED,1,,RANGE ROVER EVOQUE
CAR,SUZUKI,5AA-MH95S WAGON R,JAPAN,PETROL,658.0,HAMBANTOTA,RECONDITIONED,5,5AA-MH95S,WAGON R
CAR,SUZUKI,5AA-HA97S ALTO,JAPAN,PETROL,658.0,KALUTARA,RECONDITIONED,2,5AA-HA97S,ALTO
CAR,DAIHATSU,5BA-LA350S MIRA,JAPAN,PETROL,658.0,KURUNEGALA,RECONDITIONED,8,5BA-LA350S,MIRA
CAR,HONDA,CITY,THAILAND,PETROL,988.0,RATNAPURA,RECONDITIONED,1,,CITY
SPECIAL PURPOSE VEHICLE,J.C.B,3CX BACKHOE LOADER,UNITED KINGDOM,DIESEL,4400.0,COLOMBO,RECONDITIONED,1,,3CX BACKHOE LOADER
SINGLE CAB,TOYOTA,HILUX REVO,THAILAND,DIESEL,2755.0,HAMBANTOTA,RECONDITIONED,4,,HILUX REVO
CAR,SUZUKI,5BA-MH85S WAGON R,JAPAN,PETROL,656.0,MATALE,RECONDITIONED,4,5BA-MH85S,WAGON R
CAR,NISSAN,5AA-B44W DAYZ,JAPAN,PETROL,658.0,GALLE,RECONDITIONED,1,5AA-B44W,DAYZ
CAR,TOYOTA,6AA-ZWR90W VOXY,JAPAN,PETROL/ELE,1797.0,COLOMBO,RECONDITIONED,8,6AA-ZWR90W,VOXY
CAR,DAIHATSU,5BA-LA350S MIRA,JAPAN,PETROL,658.0,KANDY,RECONDITIONED,3,5BA-LA350S,MIRA
CAR,SUZUKI,5AA-MK94S SPACIA,JAPAN,PETROL,658.0,MATARA,RECONDITIONED,3,5AA-MK94S,SPACIA
CAR,SUZUKI,5AA-MH95S WAGON R,JAPAN,PETROL,658.0,KEGALLE,RECONDITIONED,2,5AA-MH95S,WAGON R
CAR,SUZUKI,5AA-MH95S WAGON R,JAPAN,PETROL,658.0,POLONNARUWA,RECONDITIONED,2,5AA-MH95S,WAGON R
DUAL PURPOSE (COMMERCIAL),TOYOTA,3DF-GUN125 GR SPORT,JAPAN,DIESEL,2393.0,COLOMBO,RECONDITIONED,1,3DF-GUN125,GR SPORT
DUAL PURPOSE (COMMERCIAL),TOYOTA,3DF-GUN125 HILUX,THAILAND,DIESEL,2393.0,COLOMBO,RECONDITIONED,2,3DF-GUN125,HILUX
CAR,SUZUKI,5AA-ZCEDS SWIFT,JAPAN,PETROL,1197.0,COLOMBO,RECONDITIONED,2,5AA-ZCEDS,SWIFT
CAR,TOYOTA,5BA-KSP210 YARIS X,JAPAN,PETROL,996.0,COLOMBO,RECONDITIONED,2,5BA-KSP210,YARIS X
CAR,NISSAN,ALMERA VL,THAILAND,PETROL,999.0,KEGALLE,RECONDITIONED,1,,ALMERA VL
CAR,SUZUKI,5BA-MH85S WAGON R,JAPAN,PETROL,658.0,GALLE,RECONDITIONED,7,5BA-MH85S,WAGON R
CAR,HONDA,6AA-RV5 VEZEL,JAPAN,PETROL/ELE,1496.0,ANURADHAPURA,RECONDITIONED,10,6AA-RV5,VEZEL
CAR,HONDA,6AA-RV 5VEZEL,JAPAN,PETROL/ELE,1496.0,GAMPAHA,RECONDITIONED,1,6AA-RV,5VEZEL
CAR,HONDA,6AA-RV6 VEZEL,JAPAN,PETROL/ELE,1496.0,COLOMBO,RECONDITIONED,3,6AA-RV6,VEZEL
CAR,NISSAN,ALMERA SEDAN,THAILAND,PETROL,999.0,KALUTARA,RECONDITIONED,1,,ALMERA SEDAN
CAR,HONDA,CITY RS,THAILAND,PETROL,988.0,COLOMBO,RECONDITIONED,8,,CITY RS
CAR,TOYOTA,5AA-A202A RAIZE,JAPAN,PETROL/ELE,1196.0,BATTICALOA,RECONDITIONED,1,5AA-A202A,RAIZE
CAR,TOYOTA,3BA-NGX10 C-HR,JAPAN,PETROL,1196.0,TRINCOMALEE,RECONDITIONED,1,3BA-NGX10,C-HR
LAND VEHICLE (SMALL),KUBOTA,K600A,JAPAN,DIESEL,422.0,POLONNARUWA,RECONDITIONED,1,,K600A
CAR,TOYOTA,3DA-GDJ250W PRADO,JAPAN,DIESEL,2754.0,GAMPAHA,RECONDITIONED,1,3DA-GDJ250W,PRADO
CAR,TOYOTA,5BA-M900A ROOMY,JAPAN,PETROL,996.0,KURUNEGALA,RECONDITIONED,9,5BA-M900A,ROOMY
CAR,SUZUKI,5AA-MH95S WAGON R,JAPAN,PETROL/ELE,657.0,AMPARA,RECONDITIONED,2,5AA-MH95S,WAGON R
CAR,TOYOTA,3BA-A210A  RAIZE,JAPAN,PETROL,996.0,KANDY,RECONDITIONED,1,3BA-A210A,RAIZE
MOTOR CYCLE,HONDA,PCX160,JAPAN,PETROL,157.0,GAMPAHA,RECONDITIONED,1,,PCX160
CAR,HONDA,CR-V VTI L7,AUSTRALIA,PETROL,1498.0,GALLE,RECONDITIONED,1,CR-V,VTI L7
CAR,TOYOTA,5BA-A201A RAIZE,JAPAN,PETROL,1196.0,AMPARA,RECONDITIONED,3,5BA-A201A,RAIZE
SINGLE CAB,SUZUKI,3BD-DA16T CARRY,JAPAN,PETROL,658.0,MATALE,RECONDITIONED,1,3BD-DA16T,CARRY
SINGLE CAB,MITSUBISHI,3BD-DS16T MINICAB,JAPAN,PETROL,658.0,GALLE,RECONDITIONED,1,3BD-DS16T,MINICAB
CAR,TOYOTA,6AA-ZVG13 COROLLA,JAPAN,PETROL/ELE,1797.0,GAMPAHA,RECONDITIONED,3,6AA-ZVG13,COROLLA
MOTOR CYCLE,HONDA,ADV160,JAPAN,PETROL,157.0,COLOMBO,RECONDITIONED,7,,ADV160
CAR,SUZUKI,5AA-MH95S,JAPAN,PETROL,658.0,GALLE,RECONDITIONED,3,5AA-MH95S,WAGNON R
CAR,SUZUKI,3BA-DA17W EVERY,JAPAN,PETROL,658.0,KANDY,RECONDITIONED,8,3BA-DA17W,EVERY
SINGLE CAB,DAIHATSU,3BD-S500P HIJET,JAPAN,PETROL,658.0,KURUNEGALA,RECONDITIONED,1,3BD-S500P,HIJET
CAR,TOYOTA,5BA-KSP210 YARIS,JAPAN,PETROL,996.0,MATARA,RECONDITIONED,18,5BA-KSP210,YARIS
CAR,TOYOTA,5BA-A201A RAIZE,JAPAN,PETROL,1196.0,KANDY,RECONDITIONED,10,5BA-A201A,RAIZE
CAR,TOYOTA,3BA-TRJ150W,JAPAN,PETROL,2693.0,KURUNEGALA,RECONDITIONED,1,3BA-TRJ150W,Unknown
CAR,SUZUKI,5AA-MH95S,JAPAN,PETROL,658.0,COLOMBO,RECONDITIONED,2,5AA-MH95S,WAGNON R
CAR,TOYOTA,LAND CRUISER,JAPAN,PETROL,2693.0,COLOMBO,RECONDITIONED,1,,LAND CRUISER
CAR,DAIHATSU,5BA-LA900S TAFT,JAPAN,PETROL,658.0,KALUTARA,RECONDITIONED,8,5BA-LA900S,TAFT
CAR,TOYOTA,5BA-KSP210 YARIS,JAPAN,PETROL,996.0,VAVUNIYA,RECONDITIONED,5,5BA-KSP210,YARIS
CAR,SUZUKI,WAGON R 4AA-MH55S,JAPAN,PETROL/ELE,658.0,GALLE,RECONDITIONED,1,,WAGON R 4AA-MH55S
CAR,TOYOTA,6AA-MXPJ10 YARIS,JAPAN,PETROL,1496.0,GAMPAHA,RECONDITIONED,1,6AA-MXPJ10,YARIS
CAR,SUZUKI,5AA-MH95S WAGON R,JAPAN,PETROL/ELE,658.0,KANDY,RECONDITIONED,3,5AA-MH95S,WAGON R
CAR,SUZUKI,4AA-MH55S WAGON R,JAPAN,PETROL,658.0,KANDY,RECONDITIONED,2,4AA-MH55S,WAGON R
DUAL PURPOSE (COMMERCIAL),FORD,RANGER RAPTOR,THAILAND,DIESEL,1996.0,ANURADHAPURA,RECONDITIONED,1,,RANGER RAPTOR
DUAL PURPOSE (COMMERCIAL),TOYOTA,HILUX REVO ROCCO,THAILAND,DIESEL,2755.0,HAMBANTOTA,RECONDITIONED,1,,HILUX REVO ROCCO
LAND VEHICLE (SMALL),KUBOTA,K600,JAPAN,DIESEL,422.0,KURUNEGALA,RECONDITIONED,1,,K600
CAR,TOYOTA,5AA-A202A RAIZE,JAPAN,PETROL/ELE,78.0,KEGALLE,RECONDITIONED,2,5AA-A202A,RAIZE
CAR,TOYOTA,5AA-A202A  RAIZE,JAPAN,PETROL/ELE,1197.0,GAMPAHA,RECONDITIONED,1,5AA-A202A,RAIZE
CAR,SUZUKI,5BA-MH85S WAGON R,JAPAN,PETROL,656.0,KURUNEGALA,RECONDITIONED,7,5BA-MH85S,WAGON R
CAR,AUDI,3AA-GYDLA A3,GERMANY,PETROL,999.0,COLOMBO,RECONDITIONED,1,3AA-GYDLA,A3
CAR,TOYOTA,TAISOR V,INDIA,PETROL,998.0,COLOMBO,RECONDITIONED,1,,TAISOR V
CAR,TOYOTA,5AA-A202A RAIZE,JAPAN,PETROL/ELE,1196.0,PUTTALAM,RECONDITIONED,1,5AA-A202A,RAIZE
CAR,TOYOTA,6AA-ZWR90W VOXY,JAPAN,PETROL/ELE,1797.0,POLONNARUWA,RECONDITIONED,1,6AA-ZWR90W,VOXY
CAR,TOYOTA,3BA-A210A RAIZE,JAPAN,PETROL,996.0,KURUNEGALA,RECONDITIONED,11,3BA-A210A,RAIZE
CAR,TOYOTA,6AA-MXPJ10,JAPAN,PETROL/ELE,1496.0,COLOMBO,RECONDITIONED,3,6AA-MXPJ10,YARISS
CAR,SUZUKI,5AA-HA97S ALTO,JAPAN,PETROL,658.0,GAMPAHA,RECONDITIONED,6,5AA-HA97S,ALTO
CAR,TOYOTA,5BA-M700A PASSO,JAPAN,PETROL,996.0,COLOMBO,RECONDITIONED,6,5BA-M700A,PASSO
CAR,SUZUKI,5BA-MH85S WAGON R,JAPAN,PETROL,658.0,RATNAPURA,RECONDITIONED,2,5BA-MH85S,WAGON R
CAR,SUZUKI,5BA-MH85S WAGON R,JAPAN,PETROL,658.0,MATARA,RECONDITIONED,3,5BA-MH85S,WAGON R
CAR,SUZUKI,4AA-MH55S WAGON R,JAPAN,PETROL,658.0,RATNAPURA,RECONDITIONED,3,4AA-MH55S,WAGON R
CAR,SUZUKI,5AA-MH95S WAGON R,JAPAN,PETROL,658.0,KURUNEGALA,RECONDITIONED,9,5AA-MH95S,WAGON R
CAR,TOYOTA,3BA-TRJ250W,JAPAN,PETROL,2690.0,PUTTALAM,RECONDITIONED,1,3BA-TRJ250W,PRADO250
CAR,SUZUKI,4AA-MK53S SPACIA,JAPAN,PETROL/ELE,658.0,KANDY,RECONDITIONED,2,4AA-MK53S,SPACIA
CAR,MG4,MG4 X ELECTRIC,THAILAND,ELECTRIC,125.0,COLOMBO,RECONDITIONED,1,,MG4 X ELECTRIC
CAR,TOYOTA,3BA-TRJ150W PRADO,JAPAN,PETROL,2690.0,GAMPAHA,RECONDITIONED,1,3BA-TRJ150W,PRADO
CAR,SUZUKI,EVERY JOIN 660 AUTO,JAPAN,PETROL,658.0,GAMPAHA,RECONDITIONED,1,,EVERY JOIN 660 AUTO
CAR,TOYOTA,5BA-M900A ROOMY,JAPAN,PETROL,996.0,KALUTARA,RECONDITIONED,10,5BA-M900A,ROOMY
COMMERCIAL,TOYOTA,3DF-GDH223B HIACE,JAPAN,DIESEL,2754.0,KURUNEGALA,RECONDITIONED,3,3DF-GDH223B,HIACE
CAR,SUZUKI,5AA-MH95S WAGON R,JAPAN,PETROL,658.0,GAMPAHA,RECONDITIONED,21,5AA-MH95S,WAGON R
CAR,TOYOTA,4BA-M800A ROOMY,JAPAN,PETROL,996.0,KANDY,RECONDITIONED,1,4BA-M800A,ROOMY
DUAL PURPOSE (COMMERCIAL),TOYOTA,HILUX REVO GR SPORT,THAILAND,DIESEL,2755.0,PUTTALAM,RECONDITIONED,4,,HILUX REVO GR SPORT
