Class of Vehicle,Make/Manufa. Name,Model,Country,Fuel Used,Cylinder Capacity,District,Registration Status,No of vehicle,Unnamed: 9,Unnamed: 10,Model_Code,Clean_Name
CAR,AUDI,E TRON 50 QUATTRO,GERMANY,ELECTRIC,230.0,COLOMBO,BRAND NEW,1,,,,E TRON 50 QUATTRO
CAR,AUDI,E-TRON 50 QUATTRO,GERMANY,ELECTRIC,230.0,COLOMBO,BRAND NEW,1,,,,E-TRON 50 QUATTRO
CAR,AUDI,E-TRON 50 QUATTRO,BELGIUM,ELECTRIC,230.0,KEGALLE,BRAND NEW,1,,,,E-TRON 50 QUATTRO
CAR,AUDI,Q4 40 ETRON,GERMANY,ELECTRIC,150.0,COLOMBO,RECONDITIONED,1,,,,Q4 40 ETRON
CAR,B.M.W.,17 XDRIVE 60M,UNITED KINGDOM,ELECTRIC,400.0,PUTTALAM,NEW,1,,,,17 XDRIVE 60M
CAR,B.M.W.,I7 X DRIVE 60M SPORT,GERMANY,ELECTRIC,400.0,RATNAPURA,NEW,1,,,,I7 X DRIVE 60M SPORT
CAR,B.M.W.,I7 X DRIVE 60M SPORT,UNITED KINGDOM,ELECTRIC,400.0,GAMPAHA,RECONDITIONED,1,,,,I7 X DRIVE 60M SPORT
CAR,B.M.W.,X5 S WAGON,UNITED KINGDOM,DIESEL,2993.0,JAFFNA,RECONDITIONED,1,,,,X5 S WAGON
CAR,B.M.W.,ZAA-52EJ89,GERMANY,ELECTRIC,400.0,COLOMBO,NEW,1,,,ZAA-52EJ89,Unknown
CAR,BAIC,X55 II LUXURY,SRI LANKA,PETROL,1498.0,MATARA,BRAND NEW-L/ASSEMBLE,1,,,,X55 II LUXURY
CAR,BAIC,X55 II LUXURY,SRI LANKA,PETROL,1498.0,KURUNEGALA,BRAND NEW-L/ASSEMBLE,1,,,,X55 II LUXURY
CAR,BAIC,X55 II LUXURY,SRI LANKA,PETROL,1498.0,KALUTARA,BRAND NEW-L/ASSEMBLE,1,,,,X55 II LUXURY
CAR,BAIC,X55 II LUXURY,SRI LANKA,PETROL,1498.0,MONERAGALA,BRAND NEW-L/ASSEMBLE,1,,,,X55 II LUXURY
CAR,BAIC,X55 II LUXURY,SRI LANKA,PETROL,1498.0,HAMBANTOTA,BRAND NEW-L/ASSEMBLE,1,,,,X55 II LUXURY
CAR,BAIC,X55 II LUXURY,SRI LANKA,PETROL,1498.0,JAFFNA,BRAND NEW-L/ASSEMBLE,1,,,,X55 II LUXURY
CAR,BAIC,X55 II LUXURY,SRI LANKA,PETROL,1498.0,COLOMBO,BRAND NEW-L/MANUFACT,2,,,,X55 II LUXURY
