Class of Vehicle,Make/Manufa. Name,Model,Country,Fuel Used,Cylinder Capacity,District,Registration Status,No of vehicle,Model_Code,Clean_Name
AMBULANCE,TOYOTA,HIACE,JAPAN,DIESEL,2982.0,GAMPAHA,BRAND NEW,1,,HIACE
CAR,SUZUKI,4AA-MN71S XBEE,JAPAN,PETROL/ELE,990.0,COLOMBO,RECONDITIONED,1,4AA-MN71S,XBEE
CAR,SUZUKI,5BD-DA17V EVERY,JAPAN,PETROL,658.0,COLOMBO,RECONDITIONED,31,5BD-DA17V,EVERY
CAR,HONDA,6AA-RV5 VEZEL,JAPAN,PETROL/ELE,1496.0,COLOMBO,RECONDITIONED,166,6AA-RV5,VEZEL
CAR,SUZUKI,5AA-MK53S SPACIA,JAPAN,PETROL,658.0,COLOMBO,RECONDITIONED,1,5AA-MK53S,SPACIA
CAR,HONDA,VEZEL 6AA-RV5,JAPAN,PETROL/ELE,1496.0,KALUTARA,RECONDITIONED,1,,VEZEL 6AA-RV5
CAR,TOYOTA,5BA-KSP210 YARIS,JAPAN,PETROL,996.0,COLOMBO,RECONDITIONED,71,5BA-KSP210,YARIS
CAR,TOYOTA,5BA-KSP210 YARIS,JAPAN,PETROL,996.0,KANDY,RECONDITIONED,24,5BA-KSP210,YARIS
CAR,VOLKSWAGEN,3BA-AWDLA POLO,GERMANY,PETROL,990.0,COLOMBO,RECONDITIONED,1,3BA-AWDLA,POLO
CAR,TOYOTA,5BA-KSP210 YARIS,JAPAN,PETROL,990.0,COLOMBO,RECONDITIONED,2,5BA-KSP210,YARIS
CAR,TOYOTA,6AA-MXPJ10 YARIS,JAPAN,PETROL/ELE,1490.0,KANDY,RECONDITIONED,1,6AA-MXPJ10,YARIS
CAR,TOYOTA,3BA-A210A RAIZE,JAPAN,PETROL,996.0,MATARA,RECONDITIONED,4,3BA-A210A,RAIZE
CAR,DAIHATSU,5BA-LA900S,JAPAN,PETROL,650.0,KANDY,RECONDITIONED,2,5BA-LA900S,TALF
CAR,TOYOTA,5BA-KSP210 YARIS,JAPAN,PETROL,996.0,NUWARA-ELIYA,RECONDITIONED,1,5BA-KSP210,YARIS
CAR,DAIHATSU,5BA-LA900S TAFT,JAPAN,PETROL,658.0,GAMPAHA,RECONDITIONED,19,5BA-LA900S,TAFT
CAR,AUDI,3AA-GYDLA A3,GERMANY,PETROL,990.0,GALLE,RECONDITIONED,1,3AA-GYDLA,A3
CAR,SUZUKI,3BA-DA17W EVERY,JAPAN,PETROL,658.0,COLOMBO,RECONDITIONED,6,3BA-DA17W,EVERY
CAR,SUZUKI,5BA-MH85S WAGON R,JAPAN,PETROL,656.0,MATALE,RECONDITIONED,3,5BA-MH85S,WAGON R
CAR,SUZUKI,3BA-HA37S ALTO,JAPAN,PETROL,650.0,GAMPAHA,RECONDITIONED,1,3BA-HA37S,ALTO
CAR,HONDA,6AA-RV5 VEZEL,JAPAN,PETROL/ELE,1500.0,GALLE,RECONDITIONED,1,6AA-RV5,VEZEL
CAR,TOYOTA,6AA-ZWR90W VOXY,JAPAN,PETROL/ELE,1797.0,COLOMBO,RECONDITIONED,6,6AA-ZWR90W,VOXY
CAR,HONDA,6AA-RV5-VEZEL,JAPAN,PETROL/ELE,1496.0,GAMPAHA,RECONDITIONED,4,6AA-RV5-VEZEL,Unknown
CAR,TOYOTA,5BA-KSP210 YARIS,JAPAN,PETROL,996.0,ANURADHAPURA,RECONDITIONED,8,5BA-KSP210,YARIS
CAR,HONDA,6BA-JH3 NWGN,JAPAN,PETROL,658.0,COLOMBO,RECONDITIONED,1,6BA-JH3,NWGN
CAR,MINI,3BA-XU15MW COOPER,GERMANY,PETROL,1498.0,KURUNEGALA,RECONDITIONED,1,3BA-XU15MW,COOPER
CAR,HONDA,6AA-RV5-VEZEL,JAPAN,PETROL/ELE,1496.0,MATARA,RECONDITIONED,1,6AA-RV5-VEZEL,Unknown
CAR,HONDA,CRV VTIL 7,THAILAND,PETROL,1498.0,COLOMBO,RECONDITIONED,1,,CRV VTIL 7
CAR,DAIHATSU,5BA-LA350S MIRA ES,JAPAN,PETROL,650.0,KURUNEGALA,RECONDITIONED,1,5BA-LA350S,MIRA ES
CAR,DAIHATSU,5BA-LA350S MIRA,JAPAN,PETROL,658.0,KURUNEGALA,RECONDITIONED,2,5BA-LA350S,MIRA
CAR,TOYOTA,6AA-NKE165 COROLLA,JAPAN,PETROL/ELE,1496.0,GALLE,RECONDITIONED,1,6AA-NKE165,COROLLA
CAR,SUZUKI,3BA-JB64W GIMNY,JAPAN,PETROL,650.0,KANDY,RECONDITIONED,1,3BA-JB64W,GIMNY
CAR,TOYOTA,3BA-A210A,JAPAN,PETROL,996.0,KALUTARA,RECONDITIONED,1,3BA-A210A,- RAIZE
CAR,TOYOTA,5BA-KSP210 YARIS,JAPAN,PETROL,996.0,KEGALLE,RECONDITIONED,4,5BA-KSP210,YARIS
