Class of Vehicle,Make/Manufa. Name,Model,Country,Fuel Used,Cylinder Capacity,District,Registration Status,No of vehicle,Model_Code,Clean_Name
MOTOR CYCLE,HONDA,PCX 160,JAPAN,PETROL,157.0,GALLE,RECONDITIONED,3,,PCX 160
MOTOR CYCLE,HONDA,ADV 160,JAPAN,PETROL,157.0,MANNAR,RECONDITIONED,1,,ADV 160
MOTOR CYCLE,HONDA,ADV 160,JAPAN,PETROL,157.0,PUTTALAM,RECONDITIONED,2,,ADV 160
MOTOR CYCLE,HONDA,PCX 125,VIETNAM,PETROL,124.0,KURUNEGALA,RECONDITIONED,4,,PCX 125
MOTOR CYCLE,KAWASAKI,8BK-EX250Y,JAPAN,PETROL,248.0,AMPARA,RECONDITIONED,1,8BK-EX250Y,Unknown
MOTOR LORRY (COMMERCIAL),MITSUBISHI,TKG-FEA50,JAPAN,DIESEL,2990.0,MATALE,RECONDITIONED,1,TKG-FEA50,CANTER
MOTOR CYCLE,HONDA,PCX,VIETNAM,PETROL,157.0,PUTTALAM,RECONDITIONED,1,,PCX
MOTOR CYCLE,HONDA,PCX,VIETNAM,PETROL,156.0,KURUNEGALA,RECONDITIONED,2,,PCX
LAND VEHICLE (SMALL),KUBOTA,K18,JAPAN,DIESEL,422.0,GAMPAHA,RECONDITIONED,1,,K18
SPECIAL PURPOSE VEHICLE,KOMATSU,WA350-1SHOVEL LOADER,JAPAN,DIESEL,0.0,MATARA,RECONDITIONED,1,WA350-1SHOVEL,LOADER
CAR,MG,MG4 ELECTRIC,THAILAND,ELECTRIC,125.0,COLOMBO,RECONDITIONED,1,,MG4 ELECTRIC
SPECIAL PURPOSE VEHICLE,TOYOTA,KC-BU102A TYMMS3,JAPAN,DIESEL,4100.0,HAMBANTOTA,RECONDITIONED,1,KC-BU102A,TYMMS3
MOTOR CYCLE,HONDA,PCX 160,VIETNAM,PETROL,157.0,AMPARA,RECONDITIONED,1,,PCX 160
MOTOR CYCLE,HONDA,PCX 160,VIETNAM,PETROL,157.0,KURUNEGALA,RECONDITIONED,1,,PCX 160
CAR,G.M.C.,HUMMER EV3X,UNITED KINGDOM,ELECTRIC,610.0,KANDY,RECONDITIONED,1,,HUMMER EV3X
LAND VEHICLE (SMALL),KUBOTA,K700,JAPAN,DIESEL,508.0,GAMPAHA,RECONDITIONED,1,,K700
CAR,MERCEDES BENZ,EQE300 SUV,GERMANY,ELECTRIC,180.0,GAMPAHA,NEW,1,,EQE300 SUV
CAR,AUDI,E-TRON-50-QUATTRO,GERMANY,ELECTRIC,230.0,COLOMBO,NEW,1,,E-TRON-50-QUATTRO
MOTOR CYCLE,RISE,LEADER R80,SRI LANKA,ELECTRIC,2.0,PUTTALAM,BRAND NEW-L/MANUFACT,11,,LEADER R80
MOTOR CYCLE,RISE,LEADER R 100,SRI LANKA,ELECTRIC,2.0,RATNAPURA,BRAND NEW-L/MANUFACT,2,,LEADER R 100
TRACTOR TRAILER/BOWSER,LOCALLY BUILT,LOW BED TRAILER,SRI LANKA,NOT STATED,0.0,TRINCOMALEE,LOCALLY BUILT,3,,LOW BED TRAILER
TRACTOR TRAILER/BOWSER,LOCALLY BUILT,TRACTOR TRAILER,SRI LANKA,NOT STATED,0.0,MATARA,LOCALLY BUILT,2,,TRACTOR TRAILER
TRACTOR TRAILER/BOWSER,LOCALLY BUILT,LOW BED TRAILER,SRI LANKA,NOT STATED,0.0,VAVUNIYA,LOCALLY BUILT,2,,LOW BED TRAILER
MOTOR TRICYCLE VAN,PIAGGIO,APE XTRA LD,INDIA,DIESEL,435.0,GAMPAHA,BOUGHT FROM AUCTION,1,,APE XTRA LD
TRACTOR TRAILER/BOWSER,LOCALLY BUILT,LAW BED TRAILER,SRI LANKA,NOT STATED,0.0,POLONNARUWA,LOCALLY BUILT,3,,LAW BED TRAILER
TRACTOR TRAILER/BOWSER,LOCALLY BUILT,LAW BED TRAILER,SRI LANKA,NOT STATED,0.0,TRINCOMALEE,LOCALLY BUILT,2,,LAW BED TRAILER
TRACTOR TRAILER/BOWSER,LOCALLY BUILT,LOW BED TRAILER,SRI LANKA,NOT STATED,0.0,MULLATIVU,LOCALLY BUILT,1,,LOW BED TRAILER
TRACTOR TRAILER/BOWSER,LOCALLY BUILT,LOW BED TRAILER,SRI LANKA,NOT STATED,0.0,BADULLA,LOCALLY BUILT,1,,LOW BED TRAILER
CAR,DFSK,GLORY I AUTO,SRI LANKA,PETROL,1498.0,NUWARA-ELIYA,LOCALLY BUILT,1,,GLORY I AUTO
MOTOR CYCLE,TVS,IQUBE,INDIA,ELECTRIC,3.34,KURUNEGALA,BRAND NEW,2,,IQUBE
MOTOR CYCLE,ATHER,450X,INDIA,ELECTRIC,3.0,KALUTARA,BRAND NEW,1,,450X
MOTOR CYCLE,QUANLE,ZS,CHINA,ELECTRIC,1.2,COLOMBO,BRAND NEW,5,,ZS
MOTOR CYCLE,YADEA,EZEEGO,CHINA,ELECTRIC,1.2,GAMPAHA,BRAND NEW,3,,EZEEGO
MOTOR CYCLE,NWOW,TK 10,CHINA,ELECTRIC,0.8,GAMPAHA,BRAND NEW,5,,TK 10
MOTOR CYCLE,YADEA,EPOC H,CHINA,ELECTRIC,2.0,MATARA,BRAND NEW,7,,EPOC H
