Class of Vehicle,Make/Manufa. Name,Model,Country,Fuel Used,Cylinder Capacity,District,Registration Status,YOM,No of vehicle,Model_Code,Clean_Name
CAR,HONDA,6AA-RV5 VEZEL,JAPAN,PETROL/ELE,1496.0,GAMPAHA,RECONDITIONED,2024.0,30,6AA-RV5,VEZEL
CAR,NISSAN,5BA-B43W DAYZ,JAPAN,PETROL,658.0,GAMPAHA,RECONDITIONED,2024.0,3,5BA-B43W,DAYZ
CAR,MERCEDES BENZ,C200 AMG LINE,UNITED KINGDOM,PETROL,1496.0,COLOMBO,RECONDITIONED,2025.0,1,,C200 AMG LINE
MOTOR CYCLE,HONDA,PCX,JAPAN,PETROL,157.0,GALLE,RECONDITIONED,2024.0,1,,PCX
MOTOR CYCLE,YAMAHA,N-MAX 125,JAPAN,PETROL,124.0,PUTTALAM,RECONDITIONED,2025.0,1,,N-MAX 125
COMMERCIAL,TOYOTA,3DF-GDH223B HIACE,JAPAN,DIESEL,2754.0,GAMPAHA,RECONDITIONED,2024.0,2,3DF-GDH223B,HIACE
MOTOR CYCLE,HONDA,ADV160,JAPAN,PETROL,157.0,AMPARA,RECONDITIONED,2025.0,1,,ADV160
CAR,TOYOTA,3BA-TRJ250W,JAPAN,PETROL,2693.0,COLOMBO,RECONDITIONED,2025.0,11,3BA-TRJ250W,VX
MOTOR CYCLE,HONDA,ADV160,JAPAN,PETROL,157.0,RATNAPURA,RECONDITIONED,2025.0,1,,ADV160
CAR,TOYOTA,6AA-MXPJ10 YARIS,JAPAN,PETROL/ELE,1490.0,COLOMBO,RECONDITIONED,2024.0,4,6AA-MXPJ10,YARIS
CAR,LAND ROVER,DEFENDER 110,UNITED KINGDOM,PETROL/ELE,1997.0,COLOMBO,RECONDITIONED,2025.0,1,,DEFENDER 110
CAR,SUZUKI,5BA-MH85S WAGON R,JAPAN,PETROL,658.0,GAMPAHA,RECONDITIONED,2023.0,10,5BA-MH85S,WAGON R
CAR,SUZUKI,5BA-MH85S WAGON R,JAPAN,PETROL,656.0,ANURADHAPURA,RECONDITIONED,2024.0,3,5BA-MH85S,WAGON R
CAR,HONDA,6AA-RV5 VEZEL,JAPAN,PETROL/ELE,1496.0,ANURADHAPURA,RECONDITIONED,2025.0,8,6AA-RV5,VEZEL
CAR,TOYOTA,5BA-KSP210 YARIS,JAPAN,PETROL,996.0,MATARA,RECONDITIONED,2024.0,5,5BA-KSP210,YARIS
CAR,NISSAN,ALMERA,THAILAND,PETROL,999.0,GAMPAHA,RECONDITIONED,2025.0,13,,ALMERA
CAR,TOYOTA,4BA-M900A ROOMY,JAPAN,PETROL,998.0,BATTICALOA,RECONDITIONED,2025.0,1,4BA-M900A,ROOMY
CAR,NISSAN,5BA-B43W DAYZ,JAPAN,PETROL,658.0,MATALE,RECONDITIONED,2023.0,1,5BA-B43W,DAYZ
CAR,TOYOTA,5AA-A202A RAIZE,JAPAN,PETROL/ELE,78.0,COLOMBO,RECONDITIONED,2025.0,33,5AA-A202A,RAIZE
CAR,SUZUKI,5AA-MH95S WAGON R,JAPAN,PETROL,658.0,GAMPAHA,RECONDITIONED,2024.0,12,5AA-MH95S,WAGON R
CAR,TOYOTA,3BA-TRJ250W,JAPAN,PETROL,2698.0,KANDY,RECONDITIONED,2024.0,1,3BA-TRJ250W,VX
CAR,TOYOTA,5BA-M900A ROOMY,JAPAN,PETROL,996.0,GAMPAHA,RECONDITIONED,2023.0,19,5BA-M900A,ROOMY
MOTOR LORRY (COMMERCIAL),MITSUBISHI,PDG-FE82D,JAPAN,DIESEL,4890.0,KEGALLE,RECONDITIONED,2008.0,1,PDG-FE82D,Unknown
CAR,SUZUKI,5AA-MK94S,JAPAN,PETROL,658.0,KANDY,RECONDITIONED,2024.0,1,5AA-MK94S,SPECIA
CAR,DAIHATSU,5BA-LA350S MIRA ES,JAPAN,PETROL,658.0,COLOMBO,RECONDITIONED,2024.0,12,5BA-LA350S,MIRA ES
CAR,TOYOTA,YARIS CROSS,THAILAND,PETROL/ELE,1496.0,GALLE,RECONDITIONED,2025.0,3,,YARIS CROSS
COMMERCIAL,ISUZU,U-LV771R,JAPAN,DIESEL,16680.0,KURUNEGALA,RECONDITIONED,2004.0,1,,U-LV771R
CAR,TOYOTA,3BA-A210A RAIZE,JAPAN,PETROL,996.0,BADULLA,RECONDITIONED,2024.0,2,3BA-A210A,RAIZE
CAR,TOYOTA,5BA-MZEA17  COROLLA,JAPAN,PETROL,1490.0,POLONNARUWA,RECONDITIONED,2024.0,1,5BA-MZEA17,COROLLA
CAR,NISSAN MT,6AA RP15 KICKS,THAILAND,PETROL/ELE,1190.0,MATARA,RECONDITIONED,2024.0,1,,6AA RP15 KICKS
CAR,SUZUKI,5AA-MH95S WAGON R,JAPAN,PETROL,658.0,COLOMBO,RECONDITIONED,2025.0,14,5AA-MH95S,WAGON R
CAR,SUZUKI,5BA-DA17W EVERY,JAPAN,PETROL,658.0,KANDY,RECONDITIONED,2023.0,1,5BA-DA17W,EVERY
CAR,TOYOTA,5AA-A202A RAIZE,JAPAN,PETROL/ELE,78.0,MANNAR,RECONDITIONED,2025.0,1,5AA-A202A,RAIZE
MOTOR CYCLE,HONDA,MD 90,JAPAN,PETROL,90.0,MATARA,RECONDITIONED,2001.0,1,,MD 90
CAR,TOYOTA,6AA-ZWE219 COROLLA,JAPAN,PETROL/ELE,1790.0,COLOMBO,RECONDITIONED,2025.0,1,6AA-ZWE219,COROLLA
MOTOR LORRY (COMMERCIAL),ISUZU,TPG-NMR85AN ELF,JAPAN,DIESEL,2990.0,COLOMBO,RECONDITIONED,2017.0,1,TPG-NMR85AN,ELF
CAR,NISSAN,5BD-DR17V CLIPPER,JAPAN,PETROL,658.0,KANDY,RECONDITIONED,2024.0,1,5BD-DR17V,CLIPPER
CAR,SUZUKI,4AA-MK54S SPACIA,JAPAN,PETROL,658.0,POLONNARUWA,RECONDITIONED,2024.0,1,4AA-MK54S,SPACIA
DUAL PURPOSE (COMMERCIAL),FORD,RANGER RAPTOR,THAILAND,DIESEL,1996.0,COLOMBO,RECONDITIONED,2025.0,12,,RANGER RAPTOR
CAR,HONDA,6AA RV5 VEZEL,JAPAN,PETROL/ELE,1496.0,GAMPAHA,RECONDITIONED,2025.0,17,,6AA RV5 VEZEL
CAR,TOYOTA,5AA-A202A RAIZE,JAPAN,PETROL/ELE,1196.0,GALLE,RECONDITIONED,2025.0,2,5AA-A202A,RAIZE
CAR,SUZUKI,5AA-ZCEDS SWIFT,JAPAN,PETROL,1200.0,GAMPAHA,RECONDITIONED,2023.0,1,5AA-ZCEDS,SWIFT
CAR,DAIHATSU,3BD-S710V,JAPAN,PETROL,658.0,KURUNEGALA,RECONDITIONED,2022.0,1,3BD-S710V,ATRAI
CAR,TOYOTA,5BA-A201A RAIZE,JAPAN,PETROL,1196.0,KURUNEGALA,RECONDITIONED,2023.0,4,5BA-A201A,RAIZE
CAR,HONDA,6AA-RV5 VEZEL,JAPAN,PETROL/ELE,1496.0,NUWARA-ELIYA,RECONDITIONED,2023.0,1,6AA-RV5,VEZEL
CAR,HONDA,6AA-RV5 VEZEL,JAPAN,PETROL/ELE,1496.0,NUWARA-ELIYA,RECONDITIONED,2025.0,4,6AA-RV5,VEZEL
CAR,TOYOTA,5AA-A202A RAIZE,JAPAN,ELECTRIC,78.0,GAMPAHA,RECONDITIONED,2024.0,5,5AA-A202A,RAIZE
CAR,HONDA,6AA-RV5 VEZEL,JAPAN,PETROL/ELE,1496.0,BADULLA,RECONDITIONED,2025.0,6,6AA-RV5,VEZEL
CAR,TOYOTA,5BA-A201A RAIZE,JAPAN,PETROL,1196.0,COLOMBO,RECONDITIONED,2024.0,10,5BA-A201A,RAIZE
CAR,SUZUKI,5BA-MH85S WAGONR,JAPAN,PETROL,658.0,KANDY,RECONDITIONED,2024.0,1,5BA-MH85S,WAGONR
CAR,NISSAN,3BD-DA17V NV100,JAPAN,PETROL,658.0,COLOMBO,RECONDITIONED,2024.0,1,3BD-DA17V,NV100
CAR,TOYOTA,3BA-A210A RAIZE,JAPAN,PETROL,996.0,KURUNEGALA,RECONDITIONED,2025.0,3,3BA-A210A,RAIZE
CAR,TOYOTA,4BA-M900A ROOMY,JAPAN,PETROL,996.0,KANDY,RECONDITIONED,2024.0,2,4BA-M900A,ROOMY
CAR,TOYOTA,6AA-ZWR90W VOXY,JAPAN,PETROL/ELE,1797.0,GAMPAHA,RECONDITIONED,2024.0,1,6AA-ZWR90W,VOXY
CAR,TOYOTA,3BA-TRJ150W,JAPAN,PETROL,2693.0,AMPARA,RECONDITIONED,2023.0,2,3BA-TRJ150W,PRADO
CAR,HONDA,6AA-RV5   VEZEL,JAPAN,PETROL/ELE,1496.0,GALLE,RECONDITIONED,2023.0,1,6AA-RV5,VEZEL
CAR,SUZUKI,5AA-MK94S SPACIA,JAPAN,PETROL,657.0,KURUNEGALA,RECONDITIONED,2024.0,4,5AA-MK94S,SPACIA
MOTOR CYCLE,HONDA,PCX 125,JAPAN,PETROL,125.0,KALUTARA,RECONDITIONED,2025.0,1,,PCX 125
CAR,DAIHATSU,5BA-LA350S MIRA E.S,JAPAN,PETROL,658.0,HAMBANTOTA,RECONDITIONED,2023.0,1,5BA-LA350S,MIRA E.S
CAR,DAIHATSU,4BA-M900S THOR,JAPAN,PETROL,996.0,KALUTARA,RECONDITIONED,2023.0,1,4BA-M900S,THOR
CAR,TOYOTA,5BA-KSP210  YARIS,JAPAN,PETROL,996.0,RATNAPURA,RECONDITIONED,2022.0,1,5BA-KSP210,YARIS
CAR,VOLKSWAGEN,3BA-AWDLA  POLO,GERMANY,PETROL/ELE,996.0,GALLE,RECONDITIONED,2023.0,1,3BA-AWDLA,POLO
CAR,TOYOTA,6AA-MXPJ10 YARIS,JAPAN,PETROL/ELE,1496.0,GAMPAHA,RECONDITIONED,2023.0,6,6AA-MXPJ10,YARIS
CAR,DAIHATSU,5BA-LA900S TAFT,JAPAN,PETROL,658.0,COLOMBO,RECONDITIONED,2024.0,14,5BA-LA900S,TAFT
CAR,TOYOTA,URBAN CRUISER TAISOR,INDIA,PETROL,998.0,COLOMBO,RECONDITIONED,2024.0,28,,URBAN CRUISER TAISOR
CAR,TOYOTA,6AA-MXPJ10 YARIS,JAPAN,PETROL/ELE,1490.0,COLOMBO,RECONDITIONED,2025.0,7,6AA-MXPJ10,YARIS
