Class of Vehicle,Make/Manufa. Name,Model,Country,Fuel Used,Cylinder Capacity,District,Registration Status,No of vehicle,Model_Code,Clean_Name
AMBULANCE,TOYOTA,HIACE KDH223R LEMDYT,JAPAN,DIESEL,2982.0,COLOMBO,BRAND NEW,20,,HIACE KDH223R LEMDYT
AMBULANCE,NISSAN,CBF-FPWGE50-KAI,JAPAN,PETROL,3490.0,COLOMBO,RECONDITIONED,1,CBF-FPWGE50-KAI,Unknown
AMBULANCE,TOYOTA,HIACE KDH223R LEMDYT,JAPAN,DIESEL,2982.0,KANDY,BRAND NEW,1,,HIACE KDH223R LEMDYT
CAR,HONDA,6AA-RV5 VEZEL,JAPAN,PETROL/ELE,1496.0,COLOMBO,RECONDITIONED,244,6AA-RV5,VEZEL
CAR,SUZUKI,5BD-DA17V EVERY,JAPAN,PETROL,658.0,COLOMBO,RECONDITIONED,43,5BD-DA17V,EVERY
CAR,TOYOTA,5BA-KSP210 YARIS,JAPAN,PETROL,996.0,COLOMBO,RECONDITIONED,82,5BA-KSP210,YARIS
CAR,SUZUKI,3BA-DA17W EVERY,JAPAN,PETROL,658.0,COLOMBO,RECONDITIONED,14,3BA-DA17W,EVERY
CAR,SUZUKI,5BA-MH85S WAGON R,JAPAN,PETROL,657.0,COLOMBO,RECONDITIONED,16,5BA-MH85S,WAGON R
CAR,TOYOTA,5BA-KSP210 YARIS,JAPAN,PETROL,996.0,KEGALLE,RECONDITIONED,7,5BA-KSP210,YARIS
CAR,SUZUKI,5AA-MH95S WAGON R,JAPAN,PETROL,658.0,KEGALLE,RECONDITIONED,3,5AA-MH95S,WAGON R
CAR,TOYOTA,6AA-AAHH40W VELLFIRE,JAPAN,PETROL/ELE,2487.0,COLOMBO,RECONDITIONED,2,6AA-AAHH40W,VELLFIRE
CAR,NISSAN,3BA-DR17W CLIPPER,JAPAN,PETROL,658.0,KALUTARA,RECONDITIONED,1,3BA-DR17W,CLIPPER
CAR,DAIHATSU,5BA-LA900S TAFT,JAPAN,PETROL,658.0,GAMPAHA,RECONDITIONED,34,5BA-LA900S,TAFT
CAR,TOYOTA,6AA-ZWR90W VOXY,JAPAN,PETROL/ELE,1797.0,COLOMBO,RECONDITIONED,10,6AA-ZWR90W,VOXY
CAR,TOYOTA,5BA-KSP210 YARIS,JAPAN,PETROL,996.0,ANURADHAPURA,RECONDITIONED,9,5BA-KSP210,YARIS
CAR,TOYOTA,3BA-A210A RAIZE,JAPAN,PETROL,996.0,MATARA,RECONDITIONED,6,3BA-A210A,RAIZE
CAR,TOYOTA,6AA-MXPJ10 YARIS,JAPAN,PETROL/ELE,1490.0,KANDY,RECONDITIONED,2,6AA-MXPJ10,YARIS
CAR,SUZUKI,5AA-MK94S,JAPAN,PETROL,658.0,COLOMBO,RECONDITIONED,3,5AA-MK94S,SPACIA
CAR,TOYOTA,3DA-CDJ250W,JAPAN,DIESEL,2754.0,COLOMBO,RECONDITIONED,1,3DA-CDJ250W,Unknown
