Class of Vehicle,Make/Manufa. Name,Model,Country,Fuel Used,Cylinder Capacity,District,Registration Status,YOM,No of vehicle,Model_Code,Clean_Name
CAR,SUZUKI,5BA-MH85S WAGON R,JAPAN,PETROL,657.0,GAMPAHA,RECONDITIONED,2024.0,6,5BA-MH85S,WAGON R
CAR,WULING,BINGUO,INDONESIA,ELECTRIC,49.0,KALUTARA,BRAND NEW,2025.0,2,,BINGUO
CAR,DAIHATSU,3BA-A210S,JAPAN,PETROL,996.0,GAMPAHA,RECONDITIONED,2024.0,1,3BA-A210S,ROCKY
CAR,HONDA,6AA-RV5 VEZEL,JAPAN,PETROL/ELE,1496.0,GAMPAHA,RECONDITIONED,2024.0,49,6AA-RV5,VEZEL
CAR,TOYOTA,6AA-ZVG13 COROLLA,JAPAN,PETROL/ELE,1797.0,JAFFNA,RECONDITIONED,2024.0,1,6AA-ZVG13,COROLLA
CAR,TOYOTA,3BA-A210A RAIZE,JAPAN,PETROL,998.0,RATNAPURA,RECONDITIONED,2023.0,1,3BA-A210A,RAIZE
CAR,SUZUKI,4AA-MK54S SPACIA,JAPAN,PETROL,658.0,GAMPAHA,RECONDITIONED,2025.0,2,4AA-MK54S,SPACIA
CAR,TOYOTA,6AA-MXPJ10 YARIS,JAPAN,PETROL/ELE,1496.0,JAFFNA,RECONDITIONED,2024.0,2,6AA-MXPJ10,YARIS
CAR,NISSAN,ALMERA,THAILAND,PETROL,999.0,GAMPAHA,RECONDITIONED,2025.0,5,,ALMERA
CAR,SUZUKI,5AA-MK94S SPACIA,JAPAN,PETROL,658.0,COLOMBO,RECONDITIONED,2024.0,7,5AA-MK94S,SPACIA
CAR,TOYOTA,6AA-ZVG13 COROLLA,JAPAN,PETROL/ELE,1797.0,COLOMBO,RECONDITIONED,2025.0,6,6AA-ZVG13,COROLLA
CAR,TOYOTA,5AA-A202A RAIZE,JAPAN,PETROL/ELE,78.0,COLOMBO,RECONDITIONED,2025.0,43,5AA-A202A,RAIZE
CAR,HONDA,6AA-RV5 VEZEL,JAPAN,PETROL/ELE,1496.0,JAFFNA,RECONDITIONED,2025.0,7,6AA-RV5,VEZEL
CAR,TOYOTA,5BA-A201A   RAIZE,JAPAN,PETROL,1196.0,GAMPAHA,RECONDITIONED,2023.0,1,5BA-A201A,RAIZE
CAR,HONDA,5BA-RZ3  ZR-V,JAPAN,PETROL,1496.0,COLOMBO,RECONDITIONED,2024.0,2,5BA-RZ3,ZR-V
