Vehicle Type,Make,Model,Year,Price,Mileage,Location,Published Time,Vehicle URL
Car,,,,"Rs 10,800,000",,,19 hours,
Car,,,,"Rs 10,800,000",,,19 hours,
Car,,,,"Rs 8,975,000",,,2 hours,
Car,,,,"Rs 8,975,000",,,2 hours,
Car,,,,"Rs 13,500,000",,,13 hours,
Car,,,,"Rs 13,500,000",,,13 hours,
Car,,,,"Rs 8,900,000",,,10 hours,
Car,,,,"Rs 8,900,000",,,10 hours,
Car,,,,"Rs 9,850,000",,,1 day,
Car,,,,"Rs 9,850,000",,,1 day,
Car,,,,"Rs 33,800,000",,,3 days,
Car,,,,"Rs 33,800,000",,,3 days,
Car,,,,"Rs 6,850,000",,,1 hour,
Car,,,,"Rs 6,850,000",,,1 hour,
Car,,,,"Rs 4,500,000",,,2 hours,
Car,,,,"Rs 4,500,000",,,2 hours,
Car,,,,"Rs 6,850,000",,,14 hours,
Car,,,,"Rs 6,850,000",,,14 hours,
Car,,,,"Rs 19,200,000",,,3 days,
Car,,,,"Rs 19,200,000",,,3 days,
Car,,,,"Rs 20,500,000",,,14 hours,
Car,,,,"Rs 20,500,000",,,14 hours,
Car,,,,"Rs 20,250,000",,,3 hours,
Car,,,,"Rs 20,250,000",,,3 hours,
