Vehicle Type,Make,Model,Year,Price,Milleage,District,published date,Vehicle URL
Car,Ford,Ranger,2017,Negotiable,110000,Colombo,Yesterday,https://riyasewana.com/buy/ford-ranger-sale-colombo-11368027
Car,Isuzu,ELF 250,2019,"Rs. 9,950,000",148000,Kandy,Mar 13,https://riyasewana.com/buy/isuzu-elf-250-sale-kandy-11335248
Car,Mitsubishi,Montero,2013,"Rs. 21,500,000",181247,Kottawa,Mar 12,https://riyasewana.com/buy/mitsubishi-montero-sale-kottawa-11330840
Car,Suzuki,Alto S Hybrid,2024,"Rs. 6,585,000",3985,Mirigama,9h ago,https://riyasewana.com/buy/suzuki-alto-s-sale-mirigama-11372178
Car,BMW,X5 Straight Diesel 3L X-Drive,2015,"Rs. 18,000,000",140000,Katunayake,Just now,https://riyasewana.com/buy/bmw-x5-straight-sale-katunayake-11374933
Car,Bajaj,Platina,2008,"Rs. 220,000",34215,Kandy,Just now,https://riyasewana.com/buy/bajaj-platina-sale-kandy-11374932
Car,Toyota,Toyota LiteAce Original Condition Accident Free Kandy,1989,"Rs. 3,300,000",180000,Kandy,Just now,https://riyasewana.com/buy/toyota-toyota-liteace-sale-kandy-11374931
Car,Daihatsu,Thor,2024,"Rs. 9,750,000",4500,Kalutara,Just now,https://riyasewana.com/buy/daihatsu-thor-sale-kalutara-11374930
Car,Bajaj,Pulsar 150,2016,Negotiable,62000,Kandy,1m ago,https://riyasewana.com/buy/bajaj-pulsar-150-sale-kandy-11374929
Car,Honda,Fit Gp1,2011,"Rs. 6,150,000",123800,Colombo,1m ago,https://riyasewana.com/buy/honda-fit-gp1-sale-colombo-11374928
Car,Isuzu,Gemini,1989,"Rs. 75,000",,Colombo,1m ago,https://riyasewana.com/buy/isuzu-gemini-sale-colombo-11374927
Car,Nissan,Vanette,1991,"Rs. 2,600,000",225559,Horana,1m ago,https://riyasewana.com/buy/nissan-vanette-sale-horana-11374926
Car,Mitsubishi,Minicab U61,2006,"Rs. 3,475,000",189000,Kandy,1m ago,https://riyasewana.com/buy/mitsubishi-minicab-u61-sale-kandy-11374925
Car,Mahindra,Bolero,2016,"Rs. 3,975,000",77000,Embilipitiya,2m ago,https://riyasewana.com/buy/mahindra-bolero-sale-embilipitiya-11374924
