Vehicle Type,Make,Model,Year,Price,Milleage,District,published date,Vehicle URL
Car,Nissan,Clipper,2023,"Rs. 7,200,000",7609,Polgahawela,Mar 15,https://riyasewana.com/buy/nissan-clipper-sale-polgahawela-11347638
Car,Mitsubishi,Outlander G Navi Premium PHEV,2015,"Rs. 15,500,000",129000,Kandy,Mar 16,https://riyasewana.com/buy/mitsubishi-outlander-g-sale-kandy-11352581
Car,Toyota,Raize,2025,"Rs. 14,600,000",19,Gampaha,Mar 18,https://riyasewana.com/buy/toyota-raize-sale-gampaha-11360471
Car,Yamaha,Ray ZR,2025,"Rs. 840,000",1200,Colombo,Yesterday,https://riyasewana.com/buy/yamaha-ray-zr-sale-colombo-11364167
Car,Bajaj,RE205,2016,"Rs. 1,430,000",1,Gampaha,Just now,https://riyasewana.com/buy/bajaj-re205-sale-gampaha-11370037
Car,Mitsubishi,Mitsubishi,1982,"Rs. 850,000",78000,Matara,Just now,https://riyasewana.com/buy/mitsubishi-mitsubishi-sale-matara-11370036
Car,Bajaj,RE205,2016,"Rs. 1,430,000",1,Gampaha,Just now,https://riyasewana.com/buy/bajaj-re205-sale-gampaha-11370035
Car,Bajaj,Pulsar 135,2015,"Rs. 316,000",,Malabe,Just now,https://riyasewana.com/buy/bajaj-pulsar-135-sale-malabe-11370034
Car,Honda,CD50,1995,"Rs. 165,000",59514,Minuwangoda,Just now,https://riyasewana.com/buy/honda-cd50-sale-minuwangoda-11370033
Car,Mitsubishi,Mitsubishi,1982,"Rs. 850,000",78000,Matara,Just now,https://riyasewana.com/buy/mitsubishi-mitsubishi-sale-matara-11370032
Car,Hero,Pleasure,2015,"Rs. 295,000",,Moneragala,Just now,https://riyasewana.com/buy/hero-pleasure-sale-moneragala-11370031
Car,Bajaj,RE205,2015,"Rs. 1,530,000",30000,Badulla,Just now,https://riyasewana.com/buy/bajaj-re205-sale-badulla-11370030
Car,Peugeot,407,2007,"Rs. 4,775,000",174000,Boralesgamuwa,1m ago,https://riyasewana.com/buy/peugeot-407-sale-boralesgamuwa-11370029
