iter	Passed	Remaining
0	291	582737
1	372	372078
2	427	284516
3	469	234038
4	506	202285
5	544	181005
6	581	165533
7	612	152544
8	646	143055
9	684	136169
10	720	130223
11	760	126001
12	799	122161
13	837	118762
14	876	115932
15	912	113149
16	949	110806
17	992	109256
18	1036	108045
19	1070	105990
20	1104	104045
21	1137	102275
22	1172	100813
23	1206	99323
24	1244	98304
25	1279	97131
26	1314	96025
27	1349	95064
28	1385	94150
29	1416	93015
30	1448	92003
31	1480	91064
32	1515	90304
33	1550	89657
34	1586	89065
35	1621	88460
36	1658	88007
37	1692	87363
38	1725	86763
39	1758	86186
40	1793	85694
41	1827	85209
42	1862	84752
43	1901	84526
44	1941	84357
45	2040	86690
46	2087	86760
47	2123	86349
48	2162	86100
49	2201	85849
50	2240	85617
51	2277	85306
52	2312	84951
53	2343	84439
54	2376	84025
55	2409	83658
56	2450	83530
57	2489	83371
58	2524	83048
59	2557	82691
60	2594	82481
61	2640	82542
62	2693	82807
63	2739	82854
64	2784	82882
65	2826	82826
66	2863	82609
67	2902	82461
68	2940	82284
69	2975	82046
70	3010	81788
71	3043	81503
72	3078	81268
73	3111	80993
74	3147	80788
75	3184	80615
76	3223	80495
77	3264	80439
78	3306	80405
79	3348	80367
80	3384	80183
81	3419	79974
82	3454	79785
83	3491	79629
84	3529	79521
85	3567	79406
86	3605	79278
87	3645	79210
88	3673	78868
89	3706	78657
90	3755	78779
91	3788	78580
92	3823	78412
93	3858	78242
94	3893	78071
95	3927	77890
96	3961	77714
97	3994	77516
98	4028	77354
99	4063	77211
100	4098	77054
101	4136	76975
102	4171	76826
103	4208	76727
104	4244	76610
105	4281	76494
106	4316	76369
107	4354	76286
108	4391	76179
109	4425	76039
110	4461	75918
111	4475	75450
112	4507	75263
113	4542	75155
114	4575	74994
115	4607	74831
116	4639	74669
117	4677	74597
118	4717	74574
119	4766	74670
120	4809	74692
121	4865	74902
122	4915	75008
123	4956	74988
124	4996	74940
125	5031	74831
126	5066	74716
127	5105	74664
128	5144	74620
129	5182	74553
130	5217	74432
131	5250	74306
132	5284	74178
133	5318	74058
134	5362	74082
135	5416	74242
136	5466	74334
137	5503	74255
138	5536	74127
139	5567	73971
140	5600	73845
141	5634	73724
142	5668	73607
143	5704	73521
144	5740	73435
145	5775	73338
146	5810	73249
147	5849	73199
148	5886	73124
149	5922	73047
150	5958	72963
151	5994	72884
152	6030	72798
153	6065	72709
154	6101	72631
155	6138	72556
156	6177	72518
157	6214	72453
158	6253	72406
159	6297	72424
160	6341	72434
161	6383	72426
162	6427	72434
163	6467	72404
164	6503	72329
165	6541	72273
166	6580	72229
167	6614	72134
168	6649	72039
169	6681	71927
170	6725	71933
171	6760	71854
172	6796	71774
173	6831	71690
174	6869	71640
175	6906	71575
176	6944	71528
177	6988	71529
178	7026	71480
179	7063	71423
180	7101	71367
181	7136	71281
182	7171	71203
183	7207	71137
184	7245	71083
185	7287	71068
186	7324	71014
187	7364	70979
188	7401	70924
189	7438	70863
190	7474	70797
191	7508	70701
192	7542	70619
193	7577	70545
194	7613	70477
195	7648	70396
196	7682	70310
197	7716	70225
198	7749	70132
199	7785	70070
200	7819	69987
201	7852	69894
202	7883	69790
203	7919	69723
204	7954	69648
205	7989	69575
206	8025	69519
207	8061	69455
208	8097	69388
209	8130	69303
210	8162	69211
211	8195	69120
212	8227	69023
213	8258	68924
214	8292	68850
215	8328	68785
216	8363	68719
217	8397	68646
218	8433	68582
219	8467	68511
220	8501	68438
221	8537	68376
222	8576	68339
223	8612	68281
224	8647	68219
225	8681	68146
226	8718	68093
227	8750	68007
228	8783	67931
229	8816	67848
230	8848	67764
231	8882	67693
232	8915	67612
233	8951	67555
234	8990	67523
235	9028	67482
236	9060	67398
237	9092	67312
238	9133	67300
239	9167	67231
240	9208	67212
241	9246	67169
242	9283	67126
243	9322	67092
244	9365	67089
245	9406	67071
246	9441	67007
247	9482	66989
248	9519	66942
249	9555	66888
250	9591	66838
251	9629	66795
252	9669	66766
253	9713	66767
254	9752	66736
255	9796	66738
256	9832	66685
257	9847	66487
258	9879	66412
259	9914	66348
260	9948	66287
261	9987	66250
262	10026	66221
263	10068	66206
264	10200	66783
265	10261	66890
266	10308	66910
267	10351	66899
268	10396	66902
269	10444	66922
270	10492	66943
271	10543	66984
272	10606	67099
273	10662	67166
274	10719	67239
275	10767	67255
276	10814	67270
277	10861	67277
278	10904	67265
279	10945	67237
280	10991	67239
281	11053	67339
282	11093	67306
283	11142	67328
284	11202	67410
285	11246	67401
286	11292	67400
287	11337	67395
288	11379	67369
289	11421	67347
290	11436	67166
291	11451	66983
292	11490	66945
293	11539	66962
294	11584	66956
295	11628	66943
296	11687	67017
297	11731	67006
298	11775	66989
299	11824	67006
300	11871	67007
301	11917	67003
302	11961	66993
303	12006	66982
304	12050	66968
305	12094	66956
306	12135	66924
307	12181	66921
308	12226	66909
309	12277	66932
310	12323	66926
311	12371	66931
312	12414	66909
313	12458	66895
314	12502	66877
315	12546	66860
316	12594	66863
317	12638	66849
318	12686	66850
319	12727	66820
320	12768	66786
321	12806	66737
322	12854	66742
323	12892	66688
324	12936	66674
325	12979	66650
326	13029	66662
327	13075	66652
328	13122	66649
329	13173	66667
330	13221	66667
331	13267	66656
332	13306	66614
333	13346	66574
334	13380	66502
335	13417	66449
336	13452	66383
337	13488	66325
338	13541	66347
339	13588	66344
340	13627	66300
341	13662	66234
342	13696	66164
343	13732	66109
344	13767	66045
345	13801	65976
346	13833	65897
347	13865	65822
348	13900	65759
349	13937	65704
350	13974	65652
351	14012	65604
352	14069	65645
353	14115	65633
354	14164	65637
355	14222	65681
356	14272	65686
357	14327	65712
358	14372	65695
359	14417	65677
360	14462	65659
361	14508	65650
362	14553	65629
363	14597	65608
364	14642	65591
365	14691	65587
366	14736	65571
367	14780	65548
368	14825	65527
369	14873	65524
370	14917	65501
371	14930	65342
372	14971	65306
373	15018	65294
374	15059	65259
375	15107	65250
376	15151	65229
377	15196	65208
378	15240	65183
379	15283	65157
380	15327	65129
381	15375	65123
382	15472	65324
383	15529	65352
384	15585	65377
385	15635	65379
386	15683	65369
387	15737	65383
388	15786	65378
389	15835	65370
390	15880	65351
391	15899	65220
392	15950	65222
393	15997	65206
394	16043	65190
395	16088	65168
396	16135	65151
397	16179	65125
398	16221	65090
399	16264	65059
400	16306	65022
401	16354	65013
402	16399	64987
403	16437	64936
404	16482	64910
405	16524	64877
406	16570	64855
407	16618	64844
408	16660	64809
409	16701	64768
410	16745	64741
411	16785	64698
412	16829	64670
413	16872	64637
414	16914	64601
415	16955	64562
416	16998	64529
417	17040	64494
418	17086	64471
419	17133	64454
420	17181	64439
421	17291	64658
422	17363	64732
423	17424	64764
424	17473	64755
425	17520	64734
426	17565	64707
427	17611	64685
428	17647	64625
429	17687	64580
430	17725	64528
431	17761	64467
432	17802	64427
433	17840	64374
434	17887	64354
435	17929	64314
436	17974	64290
437	18020	64264
438	18064	64235
439	18106	64195
440	18139	64127
441	18173	64058
442	18206	63988
443	18243	63936
444	18279	63874
445	18314	63814
446	18351	63758
447	18386	63696
448	18423	63640
449	18463	63597
450	18500	63542
451	18538	63488
452	18578	63445
453	18612	63380
454	18646	63315
455	18681	63254
456	18716	63195
457	18751	63132
458	18785	63069
459	18822	63013
460	18858	62956
461	18893	62896
462	18929	62840
463	18966	62785
464	19001	62723
465	19038	62672
466	19073	62610
467	19108	62550
468	19141	62486
469	19176	62425
470	19211	62366
471	19251	62323
472	19287	62267
473	19324	62213
474	19361	62160
475	19400	62113
476	19426	62027
477	19459	61962
478	19493	61900
479	19527	61837
480	19560	61771
481	19592	61703
482	19623	61632
483	19658	61576
484	19691	61509
