Make,Model,Year,Avg_Price,Avg_Mileage,Count
Acura,Ford Tractor,1980,900000,11,1
Audi,A1,2018,9250000,50900,2
Audi,A3,2023,15300000,30000,1
Audi,A3 18,2016,13300000,154000,1
Audi,A3 S-Line Sedan Highest Possible Spec,2018,13500000,128000,1
Audi,A4,2010,8890000,111000,1
Audi,A4,2011,11400000,149900,2
Audi,A4,2012,11983333,145667,3
Audi,A4,2013,10000000,190500,1
Audi,A4 20 Tdi,2013,11390000,105000,1
Audi,A4 B6,2003,4800000,198000,1
Audi,A4 S Line,2012,700000,141000,1
Audi,A4 Sport Tfsi,2018,16190000,85000,1
Audi,A5 Sportback,2019,22500000,154000,1
Audi,A6,1998,1000000,255000,1
Audi,A6,2004,3732500,160500,2
Audi,A6,2007,8675000,105,1
Audi,A6,2010,8950000,139650,2
Audi,A6,2013,13066667,129333,3
Audi,A6 S Line,2016,19800000,92000,1
Audi,A8,2013,28000000,78000,1
Audi,Q2,2017,12121667,88717,6
Audi,Q2,2018,12987500,73800,12
Audi,Q2,2019,13750000,97125,4
Audi,Q2,2020,17500000,100000,1
Audi,Q2 10 Tfsi Turbo,2018,14000000,95000,1
Audi,Q2 Anniversary,2018,11975000,84000,1
Audi,Q2 S Line,2018,13200000,64000,1
Audi,Q2 S Line Black,2019,14500000,74000,1
Audi,Q2 Tfsi,2017,13237500,91000,2
Audi,Q2 Tfsi,2018,14700000,66000,1
Audi,Q2 Tfsi Special Edition,2018,13000000,97000,1
Audi,Q2 Virtual,2018,12300000,90000,1
Audi,Q3,2013,12900000,47250,2
Audi,Q3,2015,11500000,80000,1
Audi,Q3,2016,15833333,71000,3
Audi,Q3 S-Line,2018,16250000,46000,1
Audi,Q3 Tfsi,2016,15000000,135000,1
Audi,Q3 Vorsprung Sportback,2019,20500000,85000,1
Audi,Q4,2023,28500000,13600,1
Audi,Q5 Quattro,2011,13800000,154000,1
Audi,Q7,2016,25550000,94500,2
Audi,Q7,2017,25750000,153000,2
Audi,Q7 40Tfsi,2016,23500000,135000,1
Audi,Q7 40Tfsi Quattro,2016,23500000,140000,1
Audi,Q7 Quattro,2016,15725000,117500,2
Austin,Cambridge,1961,1175000,1500,1
Austin,Mini,1966,2500000,123456,1
Austin,Mini Moke,1962,2650000,100000,1
Baic,Beijing X55,2025,15000000,10000,1
Bajaj,2 Stroke,1999,575000,22222,1
Bajaj,4 Stroke,2010,1175000,64000,1
Bajaj,4 Stroke,2011,1275000,54000,1
Bajaj,4 Stroke,2017,1499900,20560,1
Bajaj,Discover 100,2012,260000,42652,1
Bajaj,Discover 125,2019,475000,45000,1
Bajaj,Pulsar 150,2018,610000,51365,1
Bajaj,Pulsar 180,2008,215000,15555,1
Bajaj,Qute,2018,1000000,30000,1
Bajaj,Qute,2019,1295000,1,1
Bajaj,Qute,2020,1400000,54000,1
Bajaj,Re,2015,1575000,25095,2
Bajaj,Re 205,2020,1675000,55000,1
Bmw,218I M Sports Anniversary,2023,23500000,1900,1
Bmw,225Xe,2016,12500000,58000,1
Bmw,225Xe,2018,14500000,89000,1
Bmw,316I E36,1992,4275000,165000,1
Bmw,318I,2016,19000000,65000,1
Bmw,318I,2017,16825000,111000,2
Bmw,318I F30 Msport,2018,22800000,85000,1
Bmw,318I Luxury Line,2016,18000000,64000,1
Bmw,318I M Sport,2017,17600000,112000,1
Bmw,318I M Sport,2018,20750000,73250,2
Bmw,318I M Sport Highest Spec,2019,18785000,42000,1
Bmw,318I Sport Line,2016,18300000,62500,2
Bmw,320D,2011,11750000,145500,2
Bmw,320D,2013,20500000,149000,1
Bmw,320I,2011,4975000,440,1
Bmw,320I E90,2006,8975000,128000,1
Bmw,320Imported,2011,4975000,1234,1
Bmw,520D,2012,17760000,98667,3
Bmw,520D,2013,18150000,111500,2
Bmw,520D,2014,21000000,105000,1
Bmw,520D,2015,28500000,119000,1
Bmw,520D,2016,28500000,47000,1
Bmw,520D F10,2015,5000000,79680,1
Bmw,520I,2003,12000000,125000,1
Bmw,523I,2010,16500000,110000,2
Bmw,523I M5 Kitted Stage 1 Remapped,2010,16900000,100000,1
Bmw,530E,2018,24500000,79000,1
Bmw,530E M Sport,2017,27500000,69500,1
Bmw,730Ld Lwb,2011,26950000,75000,1
Bmw,I3Range,2017,9500000,48550,1
Bmw,I8,2018,14750000,1,1
Bmw,Mini Cooper,2004,6975000,100000,1
Bmw,Mini Cooper,2015,12500000,85000,1
Bmw,X1,2010,8900000,76647,1
Bmw,X1,2011,9621429,131607,7
Bmw,X1,2016,16100000,78000,3
Bmw,X1,2017,17483333,73000,3
Bmw,X1,2018,18280000,73800,5
Bmw,X1,2019,17800000,86000,1
Bmw,X1,2020,17700000,37000,1
Bmw,X1 M Sport,2018,18500000,114000,1
Bmw,X1 M Sport Sdrive,2019,21000000,45000,1
Bmw,X1 M-Sport S-Drive,2016,16500000,120000,1
Bmw,X1 S Drive 18I Luxury Line,2019,19200000,66000,1
Bmw,X1 S-Drive 18I,2016,18650000,71000,1
Bmw,X1 S-Drive 18I Luxury Line,2018,19975000,35350,1
Bmw,X1 Sdrive 18I,2018,19800000,67000,1
Bmw,X1F48,2020,21500000,79800,1
Bmw,X2,2018,18900000,109400,1
Bmw,X2 M Sport,2018,26000000,60000,1
Bmw,X2 M Sport Highest Spec,2018,18900000,65000,1
Bmw,X3,2011,12590000,150000,1
Bmw,X3,2012,14780000,123400,5
Bmw,X3,2013,14778000,144600,5
Bmw,X3 M Sport,2013,16900000,110000,1
Bmw,X5,2000,1975000,150000,1
Bmw,X5,2010,18500000,130000,1
