Unnamed: 0,Vehicle Type,Make,Model,Year,Price,Milleage,District,published date,Vehicle URL,Condition
3,Car,Suzuki,Alto Japan,2023.0,6590000.0,9900.0,Kiribathgoda,2/7/2026,https://riyasewana.com/buy/suzuki-alto-japan-sale-kiribathgoda-11167345,Recondition
11,Car,Suzuki,Spacia Custom Xs,2024.0,8700000.0,15000.0,Puttalam,2/6/2026,https://riyasewana.com/buy/suzuki-spacia-custom-sale-puttalam-11167325,Recondition
36,Car,Daihatsu,Tanto,2024.0,7500000.0,7000.0,Colombo,2/6/2026,https://riyasewana.com/buy/daihatsu-tanto-sale-colombo-11167272,Recondition
38,Car,Nissan,Dayz,2023.0,7500000.0,4000.0,Colombo,2/6/2026,https://riyasewana.com/buy/nissan-dayz-sale-colombo-11167268,Brand New
61,Car,Toyota,Yaris,2024.0,9500000.0,6000.0,Colombo,2/5/2026,https://riyasewana.com/buy/toyota-yaris-sale-colombo-11161368,Recondition
62,Car,Audi,A3 S Line,2023.0,22500000.0,10000.0,Colombo,2/4/2026,https://riyasewana.com/buy/audi-a3-s-sale-colombo-11155681,Recondition
89,Car,Mercedes-Benz,A180 AMG PREMIUM Registered,2024.0,26500000.0,9500.0,Colombo,2/6/2026,https://riyasewana.com/buy/mercedes-benz-a180-amg-sale-colombo-11167137,Recondition
90,Car,Toyota,Vitz,2023.0,8875000.0,4100.0,Polgahawela,2/6/2026,https://riyasewana.com/buy/toyota-vitz-sale-polgahawela-11167136,Brand New
120,Car,Toyota,Yaris,2023.0,8875000.0,4132.0,Polgahawela,2/6/2026,https://riyasewana.com/buy/toyota-yaris-sale-polgahawela-11167038,Brand New
188,Car,DFSK,I-Auto Limited Edition,2024.0,1395000.0,17100.0,Panadura,2/6/2026,https://riyasewana.com/buy/dfsk-i-auto-limited-sale-panadura-11166870,Recondition
191,Car,Suzuki,Wagon R FX Safety,2024.0,7150000.0,9000.0,Homagama,2/6/2026,https://riyasewana.com/buy/suzuki-wagon-r-sale-homagama-11166863,Recondition
205,Car,Toyota,Yaris G,2023.0,9975000.0,25000.0,Colombo,2/6/2026,https://riyasewana.com/buy/toyota-yaris-g-sale-colombo-11166827,Recondition
223,Car,Suzuki,Custom Zx,2023.0,3275000.0,34000.0,Gampaha,2/6/2026,https://riyasewana.com/buy/suzuki-custom-zx-sale-gampaha-11166786,Recondition
230,Car,Suzuki,Spacia Custom,2024.0,8600000.0,3000.0,Panadura,2/6/2026,https://riyasewana.com/buy/suzuki-spacia-custom-sale-panadura-11166776,Brand New
284,Car,Tesla,Model 3 Highland,2024.0,28500000.0,14000.0,Kotte,2/6/2026,https://riyasewana.com/buy/tesla-model-3-sale-kotte-11166632,Recondition
298,Car,Suzuki,Wagon R FX Safety,2024.0,7200000.0,20350.0,Colombo,2/6/2026,https://riyasewana.com/buy/suzuki-wagon-r-sale-colombo-11166589,Recondition
305,Car,Nissan,Roox Highway Star Pro Pilot,2024.0,8975000.0,3000.0,Kadawatha,2/2/2026,https://riyasewana.com/buy/nissan-roox-highway-sale-kadawatha-11143791,Brand New
337,Car,Honda,N Box Coordinate Style,2024.0,8750000.0,4200.0,Mirigama,2/6/2026,https://riyasewana.com/buy/honda-n-box-sale-mirigama-11166484,Brand New
354,Car,Daihatsu,Mira X Limited Sa3,2025.0,6880000.0,28.0,Colombo,2/3/2026,https://riyasewana.com/buy/daihatsu-mira-x-sale-colombo-11149374,Brand New
361,Car,Toyota,Yaris,2023.0,8850000.0,50000.0,Gampaha,2/6/2026,https://riyasewana.com/buy/toyota-yaris-sale-gampaha-11166387,Recondition
364,Car,Suzuki,Spacia,2023.0,8200000.0,5380.0,Polgahawela,2/5/2026,https://riyasewana.com/buy/suzuki-spacia-sale-polgahawela-11159305,Recondition
391,Car,Suzuki,Wagon R,2023.0,7075000.0,8000.0,Katunayake,2/6/2026,https://riyasewana.com/buy/suzuki-wagon-r-sale-katunayake-11166288,Recondition
411,Car,Mitsubishi,EK WAGON SAFETY DAYZ,2023.0,7175000.0,9000.0,Homagama,2/6/2026,https://riyasewana.com/buy/mitsubishi-ek-wagon-sale-homagama-11166251,Recondition
478,Car,Suzuki,Wagon R Custom ZX,2024.0,8550000.0,8000.0,Nittambuwa,2/1/2026,https://riyasewana.com/buy/suzuki-wagon-r-sale-nittambuwa-11138601,Recondition
489,Car,Suzuki,Wagon R FX Safety,2024.0,7250000.0,900.0,Homagama,2/6/2026,https://riyasewana.com/buy/suzuki-wagon-r-sale-homagama-11166048,Brand New
530,Car,Suzuki,Wagon R ZX,2023.0,8000000.0,10.0,Wennappuwa,2/6/2026,https://riyasewana.com/buy/suzuki-wagon-r-sale-wennappuwa-11165963,Brand New
581,Car,Toyota,Axio EX HYBRID,2023.0,12900000.0,30000.0,Colombo,2/6/2026,https://riyasewana.com/buy/toyota-axio-ex-sale-colombo-11165841,Recondition
588,Car,Suzuki,Wagon R FX Hybrid Interior,2024.0,7625000.0,3600.0,Mirigama,2/6/2026,https://riyasewana.com/buy/suzuki-wagon-r-sale-mirigama-11165823,Brand New
608,Car,Toyota,Yaris,2024.0,9350000.0,33000.0,Colombo,2/6/2026,https://riyasewana.com/buy/toyota-yaris-sale-colombo-11165766,Recondition
612,Car,Toyota,Roomy G,2023.0,9450000.0,2000.0,Colombo,2/6/2026,https://riyasewana.com/buy/toyota-roomy-g-sale-colombo-11165055,Brand New
616,Car,Suzuki,Wagon RMH85S FX SAFETY PEARL,2025.0,7100000.0,5.0,Colombo,2/6/2026,https://riyasewana.com/buy/suzuki-wagon-rmh85s-sale-colombo-11165721,Brand New
646,Car,Toyota,Passo,2023.0,9500000.0,1490.0,Polgahawela,1/30/2026,https://riyasewana.com/buy/toyota-passo-sale-polgahawela-11129820,Brand New
665,Car,Suzuki,Wagon R Custom Hybrid ZX,2024.0,8400000.0,3000.0,Colombo,1/28/2026,https://riyasewana.com/buy/suzuki-wagon-r-sale-colombo-11119916,Brand New
669,Car,Toyota,YARIS X GRADE,2024.0,9800000.0,4000.0,Welisara,2/6/2026,https://riyasewana.com/buy/toyota-yaris-x-sale-welisara-11165589,Brand New
713,Car,Honda,N-Box JF5 Fashion Style,2023.0,7300000.0,20000.0,Colombo,2/6/2026,https://riyasewana.com/buy/honda-n-box-jf5-sale-colombo-11165426,Recondition
721,Car,Toyota,Yaris CrossZ Black,2023.0,14700000.0,25000.0,Colombo,2/6/2026,https://riyasewana.com/buy/toyota-yaris-crossz-sale-colombo-11165397,Recondition
730,Car,Suzuki,Wagon R Custom Z,2023.0,8100000.0,40000.0,Galle,2/6/2026,https://riyasewana.com/buy/suzuki-wagon-r-sale-galle-11165376,Recondition
745,Car,Nissan,Roox B45A Highway Star G Turbo Pro Pilot Edition,2023.0,8000000.0,25000.0,Colombo,2/6/2026,https://riyasewana.com/buy/nissan-roox-b45a-sale-colombo-11165319,Recondition
755,Car,Suzuki,WAGON R FX,2024.0,7175000.0,600.0,Kottawa,2/6/2026,https://riyasewana.com/buy/suzuki-wagon-r-sale-kottawa-11165277,Brand New
758,Car,Nissan,Dayz B44W Highway Star X,2023.0,7000000.0,20000.0,Colombo,2/6/2026,https://riyasewana.com/buy/nissan-dayz-b44w-sale-colombo-11165266,Recondition
763,Car,Toyota,Roomy Custom G Turbo,2024.0,10450000.0,5192.0,Wattala,2/6/2026,https://riyasewana.com/buy/toyota-roomy-custom-sale-wattala-11165248,Recondition
766,Car,Daihatsu,TAFT,2024.0,8250000.0,220.0,Matugama,2/6/2026,https://riyasewana.com/buy/daihatsu-taft-sale-matugama-11165238,Brand New
768,Car,Toyota,Roomy G,2024.0,9350000.0,10034.0,Wattala,2/6/2026,https://riyasewana.com/buy/toyota-roomy-g-sale-wattala-11165236,Recondition
776,Car,Suzuki,Wagon R Safety Sensing,2024.0,7450000.0,14100.0,Panadura,2/6/2026,https://riyasewana.com/buy/suzuki-wagon-r-sale-panadura-11165210,Recondition
777,Car,Toyota,Roomy G,2024.0,9350000.0,5467.0,Wattala,2/6/2026,https://riyasewana.com/buy/toyota-roomy-g-sale-wattala-11165208,Recondition
785,Car,Honda,N BOX,2023.0,6980000.0,23000.0,Kurunegala,2/6/2026,https://riyasewana.com/buy/honda-n-box-sale-kurunegala-11165186,Recondition
