Unnamed: 0,Vehicle Type,Make,Model,Year,Price,Milleage,District,published date,Vehicle URL,Condition
0,Car,Toyota,AXIO,2008.0,7150000.0,178000.0,Colombo,2/1/2026,https://riyasewana.com/buy/toyota-axio-sale-colombo-11139348,Used
1,Car,Suzuki,WAGON R,2016.0,5690000.0,79000.0,Ragama,2/7/2026,https://riyasewana.com/buy/suzuki-wagon-r-sale-ragama-11167348,Used
3,Car,Suzuki,ALTO,2023.0,6590000.0,9900.0,Kiribathgoda,2/7/2026,https://riyasewana.com/buy/suzuki-alto-japan-sale-kiribathgoda-11167345,Recondition
5,Car,Suzuki,ALTO,2011.0,3245000.0,156100.0,Veyangoda,2/7/2026,https://riyasewana.com/buy/suzuki-alto-k10-sale-veyangoda-11167343,Used
6,Car,Mazda,6,2013.0,12200000.0,76000.0,Colombo,2/7/2026,https://riyasewana.com/buy/mazda-6-sale-colombo-11167340,Used
10,Car,Suzuki,ALTO,2014.0,3590000.0,142000.0,Malabe,2/6/2026,https://riyasewana.com/buy/suzuki-alto-sale-malabe-11167326,Used
11,Car,Suzuki,SPACIA,2024.0,8700000.0,15000.0,Puttalam,2/6/2026,https://riyasewana.com/buy/suzuki-spacia-custom-sale-puttalam-11167325,Recondition
13,Car,Toyota,DUET,2003.0,3050000.0,233800.0,Maharagama,2/6/2026,https://riyasewana.com/buy/toyota-duet-sale-maharagama-11167323,Used
14,Car,Toyota,VITZ,2008.0,5450000.0,114000.0,Colombo,2/6/2026,https://riyasewana.com/buy/toyota-vitz-ksp90-sale-colombo-11167319,Used
15,Car,Toyota,COROLLA,2007.0,6760000.0,141000.0,Battaramulla,2/6/2026,https://riyasewana.com/buy/toyota-corolla-141-sale-battaramulla-11167317,Used
16,Car,Renault,KWID,2016.0,3625000.0,60125.0,Kandy,2/6/2026,https://riyasewana.com/buy/renault-kwid-rxt-sale-kandy-11167315,Used
17,Car,Toyota,ALLION,2002.0,6575000.0,165000.0,Ampara,2/6/2026,https://riyasewana.com/buy/toyota-allion-240-sale-ampara-11167314,Used
18,Car,Toyota,ALLION,2012.0,8900000.0,177000.0,Kandana,2/6/2026,https://riyasewana.com/buy/toyota-allion-260-sale-kandana-11167312,Used
19,Car,Perodua,VIVA,2012.0,4290000.0,110000.0,Kurunegala,2/6/2026,https://riyasewana.com/buy/perodua-viva-elite-sale-kurunegala-11167311,Used
21,Car,Toyota,AXIO,2015.0,10500000.0,105000.0,Malabe,2/6/2026,https://riyasewana.com/buy/toyota-axio-sale-malabe-11167309,Used
22,Car,Micro,PANDA,2018.0,3980000.0,73200.0,Kiribathgoda,2/5/2026,https://riyasewana.com/buy/micro-panda-cross-sale-kiribathgoda-11157659,Used
23,Car,Toyota,AXIO,2018.0,10800000.0,140000.0,Maharagama,1/30/2026,https://riyasewana.com/buy/toyota-axio-fielder-sale-maharagama-11131494,Used
24,Car,Suzuki,SWIFT,2011.0,5990000.0,59400.0,Bandaragama,2/6/2026,https://riyasewana.com/buy/suzuki-swift-sale-bandaragama-11167306,Used
