Vehicle Type,Make,Model,Year,Price,Milleage,District,published date,Vehicle URL
Car,Toyota,Vitz,2008,Negotiable,95360,Moratuwa,Mar 18,https://riyasewana.com/buy/toyota-vitz-sale-moratuwa-11360152
Car,Toyota,CHR,2018,"Rs. 11,990,000",89500,Panadura,Mar 17,https://riyasewana.com/buy/toyota-chr-sale-panadura-11356130
Car,Toyota,Allion 240,2003,"Rs. 7,625,000",160000,Kaduwela,13h ago,https://riyasewana.com/buy/toyota-allion-240-sale-kaduwela-11366469
Car,Mitsubishi,L400,1999,Negotiable,180000,Colombo,Mar 13,https://riyasewana.com/buy/mitsubishi-l400-sale-colombo-11336781
Car,Bajaj,4 Stroke,2013,"Rs. 1,300,000",,Colombo,Just now,https://riyasewana.com/buy/bajaj-4-stroke-sale-colombo-11370232
Car,Mercedes-Benz,Benz W211 E240,2003,Rs. 1,129000,Nittambuwa,1m ago,https://riyasewana.com/buy/mercedes-benz-benz-w211-sale-nittambuwa-11370231
Car,Toyota,KR42 7k Noah,2001,"Rs. 8,250,000",180000,Kurunegala,1m ago,https://riyasewana.com/buy/toyota-kr42-7k-sale-kurunegala-11370230
Car,Mercedes-Benz,Benz W211 E240,2003,Rs. 1,129000,Nittambuwa,1m ago,https://riyasewana.com/buy/mercedes-benz-benz-w211-sale-nittambuwa-11370229
Car,Mercedes-Benz,Benz W211 E240,2003,Rs. 1,129000,Nittambuwa,2m ago,https://riyasewana.com/buy/mercedes-benz-benz-w211-sale-nittambuwa-11370227
Car,Hero,Maestro,2017,"Rs. 275,000",60000,Moratuwa,2m ago,https://riyasewana.com/buy/hero-maestro-sale-moratuwa-11370226
Car,Bajaj,4 Stroke,2017,"Rs. 1,499,900",20560,Kegalle,2m ago,https://riyasewana.com/buy/bajaj-4-stroke-sale-kegalle-11370225
Car,Mercedes-Benz,Benz W211 E240,2003,Rs. 1,129000,Nittambuwa,2m ago,https://riyasewana.com/buy/mercedes-benz-benz-w211-sale-nittambuwa-11370224
Car,Nissan,FB14,1994,"Rs. 2,750,000",111000,Gampaha,3m ago,https://riyasewana.com/buy/nissan-fb14-sale-gampaha-11370223
Car,Toyota,Axio Limited,2009,Negotiable,138211,Katunayake,3m ago,https://riyasewana.com/buy/toyota-axio-limited-sale-katunayake-11370222
Car,Mercedes-Benz,Benz W211 E240,2003,Rs. 1,129000,Nittambuwa,3m ago,https://riyasewana.com/buy/mercedes-benz-benz-w211-sale-nittambuwa-11370221
Car,Bajaj,Pulsar 150,2018,"Rs. 610,000",51365,Kandy,3m ago,https://riyasewana.com/buy/bajaj-pulsar-150-sale-kandy-11370219
