iter	RMSE
0	0.765648415
1	0.7540698422
2	0.742722546
3	0.7312916571
4	0.7207137811
5	0.709830052
6	0.6996312773
7	0.6889344479
8	0.6788527452
9	0.6687906507
10	0.6595669479
11	0.6500602084
12	0.6405134584
13	0.6312410104
14	0.6233672695
15	0.6147949841
16	0.6063427954
17	0.5983030856
18	0.5905506732
19	0.5826653095
20	0.5748456681
21	0.5674550169
22	0.5596990978
23	0.55238158
24	0.5458486614
25	0.538627726
26	0.5317589499
27	0.5249750532
28	0.5181396549
29	0.5116881243
30	0.5053275489
31	0.4994704674
32	0.4937255131
33	0.4879590352
34	0.4821017482
35	0.4763361662
36	0.4704456808
37	0.4654392463
38	0.4604007723
39	0.4556522363
40	0.4508487519
41	0.4460809721
42	0.4413976924
43	0.4365714697
44	0.4318424562
45	0.4277594456
46	0.4232244156
47	0.4191815305
48	0.4152283452
49	0.4111660468
50	0.4071282198
51	0.4034562212
52	0.3995845884
53	0.3959473737
54	0.392515833
55	0.3890425492
56	0.3861364575
57	0.3829651009
58	0.3799732563
59	0.3769242882
60	0.3737681917
61	0.3710248802
62	0.3681168493
63	0.3654164564
64	0.3625564533
65	0.3599799617
66	0.3573808249
67	0.3546921822
68	0.3521102826
69	0.349725455
70	0.3471965916
71	0.3449202668
72	0.3426235905
73	0.3403075933
74	0.3380818662
75	0.335818844
76	0.3336816816
77	0.3317182197
78	0.3300238315
79	0.3282829544
80	0.3264110749
81	0.3244925423
82	0.3226850826
83	0.3212480407
84	0.3196522428
85	0.3180112255
86	0.3163140101
87	0.3149725965
88	0.3136179569
89	0.3120939088
90	0.3106930167
91	0.3093919251
92	0.3080621314
93	0.3067134224
94	0.3053269607
95	0.3040619754
96	0.3027124145
97	0.3014756403
98	0.3003653136
99	0.2993290776
100	0.2983675672
101	0.297144342
102	0.2960281127
103	0.2950880879
104	0.2942128689
105	0.2932444149
106	0.2924355707
107	0.2915339693
108	0.2905481894
109	0.2896347261
110	0.2886501866
111	0.2879764678
112	0.2870678271
113	0.2863158643
114	0.2854711409
115	0.284742013
116	0.2838627284
117	0.2830778975
118	0.2823652082
119	0.2815773061
120	0.2808480187
121	0.280257366
122	0.2796413766
123	0.2789137167
124	0.2782801082
125	0.2777657014
126	0.2772118068
127	0.2765446141
128	0.2759625668
129	0.2754310354
130	0.2748412351
131	0.2743737331
132	0.2738232168
133	0.2733294095
134	0.2728270823
135	0.2722910227
136	0.2717276467
137	0.2712661726
138	0.270816861
139	0.2702771623
140	0.2698592386
141	0.269447471
142	0.2690090071
143	0.2685724037
144	0.2682584536
145	0.2678715451
146	0.2675379819
147	0.2671742549
148	0.2668569513
149	0.266396666
150	0.2660625931
151	0.2657614518
152	0.2653382517
153	0.2649909586
154	0.264615378
155	0.2642561582
156	0.2639578334
157	0.2635218384
158	0.2631556047
159	0.2629274137
160	0.2625886789
161	0.2622946266
162	0.261991262
163	0.2616813002
164	0.2613620422
165	0.2610750599
166	0.2607816967
167	0.2605653269
168	0.2603429018
169	0.2600591723
170	0.2597845851
171	0.2594324321
172	0.2592088754
173	0.2589752904
174	0.258798768
175	0.258605594
176	0.2583207099
177	0.2580570294
178	0.2577034789
179	0.2573905752
180	0.2569459778
181	0.2567288406
182	0.2565260548
183	0.2562171572
184	0.255949478
185	0.2557005405
186	0.2555150336
187	0.2553644634
188	0.2550959033
189	0.2548588485
190	0.2546850387
191	0.2544624192
192	0.2542544006
193	0.2540453036
194	0.2539198678
195	0.2536495655
196	0.253398087
197	0.2532386662
198	0.2530461621
199	0.2528928556
200	0.2526527393
201	0.2523512215
202	0.2520776299
203	0.2519172982
204	0.2517258583
205	0.2514872114
206	0.2513214082
207	0.2511219506
208	0.2510440085
209	0.2508503006
210	0.2507178349
211	0.2504334718
212	0.2502427467
213	0.2500759713
214	0.2497965996
215	0.2496328358
216	0.2494831731
217	0.2492163582
218	0.249017696
219	0.2488245085
220	0.2485720039
221	0.2483979969
222	0.2481150367
223	0.2479165992
224	0.2477412539
225	0.2475003323
226	0.2473418217
227	0.2470942283
228	0.2470071292
229	0.2468344862
230	0.2467296062
231	0.2466802743
232	0.2465034488
233	0.2463792696
234	0.2462102474
235	0.2459906542
236	0.2458875838
237	0.2456979153
238	0.2455831297
239	0.2455322316
240	0.2453484625
241	0.2450932958
242	0.2450122113
243	0.2447892561
244	0.2445240921
245	0.2444084965
246	0.2443373053
247	0.244081423
248	0.2439742701
249	0.2437843844
250	0.2436529913
251	0.2435111622
252	0.2433893764
253	0.2432509279
254	0.2430297722
255	0.2428582826
256	0.2427192022
257	0.2426868335
258	0.2425295633
259	0.2424020268
260	0.2422012061
261	0.2421063322
262	0.2419813288
263	0.2418792933
264	0.2417523325
265	0.2414910501
266	0.2413664705
267	0.2413020975
268	0.2411774127
269	0.2410744744
270	0.240935726
271	0.2407881576
272	0.2406533283
273	0.2405720762
274	0.240338129
275	0.2402157643
276	0.240087315
277	0.2399389025
278	0.2398303014
279	0.2396121992
280	0.2394597556
281	0.2393182816
282	0.2391737233
283	0.2389639596
284	0.238902592
285	0.2387975383
286	0.238625234
287	0.2385600413
288	0.2384966333
289	0.2384539608
290	0.2384320078
291	0.2384056262
292	0.2383454443
293	0.2381751209
294	0.2379952114
295	0.237880458
296	0.2377475226
297	0.2376287237
298	0.2374290702
299	0.2372697608
300	0.2371770012
301	0.2371359181
302	0.2370186139
303	0.2369088218
304	0.2368389569
305	0.236742569
306	0.2365464231
307	0.2364197494
308	0.2362118678
309	0.2360657722
310	0.2360138918
311	0.2358675611
312	0.2356720572
313	0.2353838927
314	0.2352760132
315	0.2350749358
316	0.234927976
317	0.2348202088
318	0.2347565111
319	0.2345277851
320	0.2344935088
321	0.2343629431
322	0.2342974151
323	0.2342659808
324	0.2340400138
325	0.23388419
326	0.2337238185
327	0.2334027525
328	0.2331951911
329	0.2331189986
330	0.2330628897
331	0.2328861739
332	0.2326793955
333	0.2326130852
334	0.2324438599
335	0.2323635164
336	0.2322972522
337	0.2321312937
338	0.2319303089
339	0.2317645647
340	0.2316931969
341	0.23154533
342	0.2314457395
343	0.2312582494
344	0.2311079044
345	0.2310484424
346	0.2309649672
347	0.2307937306
348	0.2306624735
349	0.2304901612
350	0.2303812279
351	0.2302457543
352	0.2300974549
353	0.2298716094
354	0.2297525207
355	0.229678935
356	0.2295995045
357	0.2294847776
358	0.2294060053
359	0.2292389563
360	0.2290865226
361	0.2289891686
362	0.2288882831
363	0.2288499826
364	0.2287321853
365	0.2285229504
366	0.2284753908
367	0.228337966
368	0.2282357758
369	0.2281195763
370	0.22806399
371	0.2280521255
372	0.227913366
373	0.2277774709
374	0.2277201601
375	0.2275436811
376	0.2274636273
377	0.2272857413
378	0.2271747672
379	0.2270865876
380	0.2270413363
381	0.2269469248
382	0.2268658179
383	0.2267484023
384	0.2265804607
385	0.2264665757
386	0.2263772728
387	0.226277005
388	0.2261120912
389	0.2260404287
390	0.2259158443
391	0.2258965365
392	0.225750497
393	0.2256183938
394	0.225562704
395	0.225487552
396	0.2253118665
397	0.2252023074
398	0.2250337718
399	0.2249804389
400	0.2248133865
401	0.2246956488
402	0.2245455286
403	0.2243795309
404	0.2241692404
405	0.2240453997
406	0.2238718615
407	0.2236369794
408	0.2234796291
409	0.2233659232
410	0.2232164598
411	0.2231126168
412	0.2229649611
413	0.2228362243
414	0.2227280371
415	0.2226186913
416	0.2225576324
417	0.2223675937
418	0.2222397704
419	0.2219894715
420	0.2218286988
421	0.2217629886
422	0.2216436871
423	0.2214646904
424	0.2213898413
425	0.2212854287
426	0.2212290575
427	0.221102374
428	0.221047253
429	0.220824397
430	0.2206227042
431	0.2205786587
432	0.2203868574
433	0.2203374013
434	0.2202349551
435	0.2201149138
436	0.2198954706
437	0.2198225904
438	0.2195717879
439	0.2195445681
440	0.2195047477
441	0.2194417936
442	0.2193190605
443	0.2192312751
444	0.2191792496
445	0.2190483596
446	0.2188422875
447	0.2187468589
448	0.2185185093
449	0.2183695183
450	0.2182777498
451	0.2181884496
452	0.2180648892
453	0.2180130901
454	0.2178447906
455	0.2176868645
456	0.2175316988
457	0.2174667309
458	0.217321447
459	0.2171973291
460	0.2171104363
461	0.21699876
462	0.2168044601
463	0.2166299576
