iter	Passed	Remaining
0	190	380431
1	237	237176
2	289	192453
3	356	178097
4	434	173450
5	508	169115
6	577	164462
7	654	162882
8	725	160386
9	799	159190
10	875	158264
11	930	154102
12	982	150174
13	1052	149286
14	1122	148548
15	1197	148445
16	1270	148185
17	1327	146224
18	1382	144114
19	1437	142357
20	1497	141088
21	1566	140832
22	1643	141248
23	1717	141413
24	1795	141816
25	1867	141778
26	1955	142865
27	2026	142712
28	2101	142795
29	2173	142715
30	2261	143652
31	2327	143164
32	2391	142543
33	2467	142696
34	2532	142203
35	2608	142303
36	2684	142442
37	2762	142640
38	2836	142602
39	2908	142519
40	2965	141711
41	3017	140668
42	3083	140352
43	3150	140034
44	3218	139844
45	3296	140008
46	3368	139992
47	3441	139964
48	3511	139806
49	3584	139783
50	3668	140179
51	3756	140732
52	3838	141009
53	3923	141379
54	4014	141975
55	4123	143149
56	4233	144315
57	4358	145933
58	4471	147092
59	4651	150382
60	4751	151032
61	4894	152999
62	4964	152626
63	5092	154039
64	5156	153500
65	5218	152917
66	5283	152443
67	5346	151899
68	5413	151487
69	5475	150962
70	5540	150526
71	5606	150123
72	5671	149699
73	5732	149196
74	5795	148758
75	5862	148415
76	5924	147956
77	5987	147527
78	6048	147077
79	6110	146648
80	6172	146232
81	6237	145901
82	6300	145507
83	6376	145453
84	6452	145368
85	6512	144938
86	6575	144596
87	6639	144247
88	6693	143731
89	6755	143377
90	6823	143144
91	6904	143202
92	6988	143301
93	7075	143470
94	7142	143228
95	7198	142778
96	7267	142579
97	7347	142602
98	7427	142625
99	7509	142685
100	7599	142894
101	7665	142632
102	7721	142214
103	7781	141868
104	7847	141637
105	7909	141334
106	7992	141400
107	8077	141509
108	8152	141439
109	8230	141410
110	8313	141474
111	8343	140641
112	8404	140340
113	8460	139972
114	8516	139600
115	8574	139253
116	8631	138913
117	8722	139115
118	8821	139431
119	8916	139688
120	8993	139662
121	9072	139664
122	9142	139509
123	9216	139433
124	9296	139442
125	9374	139422
126	9460	139517
127	9544	139588
128	9622	139565
129	9705	139604
130	9779	139522
131	9853	139445
132	9945	139616
133	10031	139694
134	10113	139716
135	10266	140704
136	10354	140807
137	10466	141221
138	10547	141221
139	10640	141360
140	10728	141455
141	10829	141699
142	10969	142446
143	11089	142930
144	11167	142864
145	11256	142943
146	11332	142848
147	11410	142785
148	11500	142864
149	11590	142953
150	11674	142951
151	11754	142909
152	11833	142849
153	11911	142787
154	11978	142581
155	12063	142598
156	12147	142599
157	12234	142632
158	12308	142520
159	12394	142534
160	12477	142520
161	12554	142439
162	12655	142625
163	12720	142403
164	12804	142400
165	12878	142286
166	12957	142217
167	13031	142107
168	13120	142147
169	13200	142104
170	13280	142047
171	13369	142090
172	13455	142104
173	13542	142113
174	13611	141945
175	13676	141740
176	13740	141514
177	13799	141250
178	13853	140932
179	13907	140616
180	13963	140325
181	14020	140051
182	14076	139761
183	14131	139475
184	14186	139181
185	14257	139048
186	14333	138963
187	14408	138877
188	14471	138669
189	14533	138455
190	14609	138368
191	14672	138166
192	14745	138055
193	14799	137776
194	14859	137543
195	14945	137556
196	15008	137363
197	15059	137058
198	15114	136788
199	15176	136587
200	15231	136325
201	15286	136064
202	15342	135814
203	15398	135566
204	15453	135310
205	15510	135080
206	15564	134815
207	15617	134553
208	15669	134277
209	15723	134022
210	15775	133755
211	15829	133507
212	15886	133282
213	15938	133019
214	15989	132751
215	16041	132488
216	16091	132217
217	16144	131972
218	16197	131725
219	16250	131478
220	16303	131241
221	16356	130998
222	16408	130752
223	16469	130579
224	16519	130323
225	16576	130114
226	16630	129890
227	16687	129694
228	16741	129469
229	16796	129258
230	16851	129045
231	16903	128816
232	16957	128598
233	17010	128380
234	17065	128169
235	17120	127968
236	17173	127752
237	17226	127532
238	17280	127328
239	17318	127000
240	17371	126791
241	17425	126590
242	17477	126372
243	17530	126159
244	17585	125969
245	17640	125780
246	17691	125560
247	17745	125366
248	17800	125177
249	17854	124978
250	17910	124805
251	17965	124618
252	18022	124447
253	18077	124262
254	18132	124085
255	18189	123917
256	18242	123720
257	18263	123315
258	18321	123159
259	18375	122975
260	18430	122800
261	18484	122620
262	18539	122446
263	18594	122274
264	18649	122103
265	18705	121938
266	18764	121790
267	18800	121499
268	18854	121325
269	18910	121166
270	18982	121109
271	19035	120934
272	19087	120749
273	19142	120582
274	19200	120437
275	19258	120296
276	19313	120136
277	19370	119983
278	19423	119813
279	19480	119664
280	19536	119510
281	19591	119357
282	19646	119198
283	19698	119021
284	19753	118864
285	19814	118749
286	19868	118590
287	19922	118428
288	19974	118254
289	20027	118090
290	20041	117701
291	20062	117352
292	20116	117194
293	20169	117036
294	20222	116876
295	20276	116725
296	20328	116562
297	20381	116405
298	20435	116255
299	20489	116108
300	20541	115948
301	20595	115796
302	20648	115646
303	20701	115490
304	20759	115370
305	20820	115259
306	20882	115157
307	20937	115018
308	20991	114877
309	21044	114725
310	21099	114587
311	21152	114438
312	21206	114300
313	21259	114152
314	21314	114013
315	21366	113862
316	21419	113719
317	21474	113585
318	21528	113447
319	21587	113332
320	21641	113194
321	21694	113053
322	21761	112983
323	21827	112910
324	21883	112783
325	21940	112666
326	22015	112635
327	22070	112507
328	22126	112379
329	22181	112251
330	22235	112116
331	22292	111999
332	22346	111867
333	22401	111741
334	22458	111619
335	22519	111524
336	22574	111401
337	22630	111278
338	22685	111153
339	22743	111043
340	22804	110945
341	22862	110836
342	22920	110728
343	22983	110642
344	23046	110555
345	23105	110452
346	23164	110348
347	23221	110236
348	23282	110142
349	23340	110031
350	23408	109975
351	23468	109873
352	23528	109779
353	23588	109680
354	23651	109595
355	23705	109472
356	23760	109351
357	23814	109229
358	23866	109093
359	23919	108967
360	23973	108843
361	24029	108728
362	24085	108618
363	24140	108498
364	24192	108368
365	24244	108237
366	24298	108117
367	24350	107988
368	24403	107862
369	24456	107740
370	24507	107608
371	24522	107317
372	24577	107204
373	24630	107081
374	24682	106956
375	24735	106834
376	24790	106723
377	24844	106607
378	24897	106486
379	24952	106376
380	25006	106262
381	25057	106134
382	25110	106012
383	25163	105896
384	25217	105780
385	25266	105648
386	25319	105528
387	25370	105407
388	25421	105280
