Make,Model,Year,Average_Price_LKR,Average_Mileage_km,Listings_Count,Predicted_Next_Week_LKR,Predicted_Next_Month_LKR
ACURA,ZEN,2000,1800000,100000,1,1741169,1741169
ALFA-ROMEO,155,1994,2150000,52000,1,1421354,1421354
ALFA-ROMEO,156,2001,4100000,170,1,4259233,4259233
ALFA-ROMEO,COOPER,1980,1625000,80000,1,1421354,1421354
ASHOK-LEYLAND,1613,2006,4800000,300000,1,5400560,5598834
ASHOK-LEYLAND,1613,2009,7650000,258518,1,7920763,7920763
ASHOK-LEYLAND,20,2013,8500000,12345,1,7703723,7703723
ASHOK-LEYLAND,CARGO,2009,2400000,150000,1,2026134,2026134
ASHOK-LEYLAND,CARGO,2010,3750000,90000,1,4040832,4040832
ASHOK-LEYLAND,CARGO,2011,5275000,212844,2,6457348,6694419
ASHOK-LEYLAND,CARGO,2012,6200000,400000,1,6493286,6493286
AUDI,100,1974,4500000,54000,1,3975401,3975401
AUDI,A,2017,9500000,95000,1,8056443,8056443
AUDI,A06,2006,1975000,168000,1,1844654,1844654
AUDI,A1,2015,8720000,111300,5,8056443,8056443
AUDI,A1,2016,7803000,96414,10,8143202,8143202
AUDI,A1,2017,8662500,176500,8,8056443,8056443
AUDI,A1,2018,9400000,100600,1,8056443,8056443
AUDI,A1,2022,13250000,12000,1,14531806,14531806
AUDI,A3,2015,14750000,93500,2,15352145,15352145
AUDI,A3,2016,14110000,85750,4,15352145,15352145
AUDI,A3,2017,11315556,81056,9,15352145,15352145
AUDI,A3,2018,14194444,77758,9,15352145,15352145
AUDI,A3,2019,14996667,36300,3,15025775,15025775
AUDI,A3,2022,17850000,21000,1,15025775,15025775
AUDI,A3,2023,18648103,12022,29,14715159,14715159
AUDI,A3,2024,20500000,17000,1,15375000,15352145
AUDI,A3S,2018,14850000,218000,1,15352145,15352145
AUDI,A4,2001,4566667,224475,3,5605406,5937875
AUDI,A4,2003,5850000,191200,1,6607387,6607387
AUDI,A4,2004,1233334,140000,1,1726668,2038381
AUDI,A4,2005,6200000,143000,1,6587819,6587819
AUDI,A4,2010,9700000,133000,1,8269317,8269317
AUDI,A4,2011,9796875,132750,8,15352145,15352145
AUDI,A4,2012,10500000,140000,1,8487064,8311446
AUDI,A4,2013,12150000,130500,4,15352145,15352145
AUDI,A4,2014,14000000,110000,1,15352145,15352145
AUDI,A4,2016,17200000,185000,1,15352145,15352145
AUDI,A4,2017,15900000,95000,1,15352145,15352145
AUDI,A4,2018,18750000,54000,2,15025775,15025775
AUDI,A42020,2017,18500000,75000,1,15352145,15352145
AUDI,A5,2018,23850000,62456,10,15210110,15210110
AUDI,A5,2019,23166667,77645,6,15352145,15352145
AUDI,A5P,2019,22500000,5600,1,16875000,14991769
AUDI,A6,2002,5325000,195000,1,5937875,5937875
AUDI,A6,2003,1500000,158000,1,2038381,2038381
AUDI,A6,2004,6163333,189333,3,5937875,5937875
AUDI,A6,2006,9950000,178000,1,8269317,8269317
AUDI,A6,2007,1975000,154500,2,2105267,2105267
AUDI,A6,2010,9500000,125324,1,8269317,8269317
AUDI,A6,2011,11975000,113000,2,15210110,15210110
AUDI,A6,2012,14100000,102950,2,15210110,15210110
AUDI,A6,2013,15507143,126429,7,15352145,15352145
AUDI,A6,2014,13133333,170467,3,15352145,15352145
AUDI,A6,2016,17775000,95188,4,15352145,15352145
AUDI,A6,2017,3875000,75000,1,4262392,4262392
AUDI,AUDI,2017,12790000,85000,1,15352145,15352145
AUDI,Q2,2017,11994444,96706,9,15352145,15352145
AUDI,Q2,2018,13574000,88399,25,15352145,15352145
AUDI,Q2,2019,13896429,90214,7,15352145,15352145
AUDI,Q3,2013,13200000,72500,3,15025775,15025775
AUDI,Q3,2015,12995000,77248,2,15210110,15210110
AUDI,Q3,2016,15350000,91500,2,15352145,15352145
AUDI,Q3,2017,16500000,36000,1,14715159,14715159
AUDI,Q3,2018,15200000,91750,4,15352145,15352145
AUDI,Q3,2019,21200000,72000,5,15352145,15352145
AUDI,Q3,2022,26500000,5000,1,19875000,14991769
AUDI,Q4,2024,28500000,900,1,24225000,19504826
AUDI,Q5,2010,15250000,150000,1,15352145,15352145
AUDI,Q5,2011,13121667,87167,3,15025775,15025775
AUDI,Q7,2011,19900000,117000,1,15210110,15210110
AUDI,Q7,2015,25500000,109000,1,15352145,15352145
AUDI,Q7,2016,26200000,89000,2,15720000,15352145
AUDI,RS3,2016,1550000,130000,1,1886114,1886114
AUSTIN,10,1900,5200000,500,1,4447785,4447785
AUSTIN,7,1980,5500000,5000,1,4687979,4447785
AUSTIN,A,1958,1750000,10000,1,1421354,1421354
AUSTIN,A30,1954,650000,12546,1,877500,1351525
AUSTIN,A30,1955,350000,115000,1,490000,797502
AUSTIN,A30,1969,1300000,1111,1,1421354,1421354
AUSTIN,A35,1957,750000,120000,1,1050000,1421354
AUSTIN,CAMBRIDGE,1957,350000,26000,1,472500,727744
AUSTIN,CAMBRIDGE,1961,1175000,100000,1,1421354,1421354
AUSTIN,MINI,1960,1765000,52500,2,1421354,1421354
AUSTIN,MINI,1962,2875000,100000,1,1977338,1977338
AUSTIN,MINI,1966,2500000,123456,1,1500000,1421354
AUSTIN,MINI,1969,2570000,137500,2,2320084,2077872
AUSTIN,MINI,1970,2400000,89000,1,1440000,1421354
AUSTIN,MINI,1972,4200000,100000,1,3285586,3285586
AUSTIN,MINI,1978,1850000,12345,1,1421354,1421354
AUSTIN,MINI,1980,3990000,66000,1,2906892,2547382
AUSTIN,MINI,1991,2600000,80000,1,1560000,1421354
AUSTIN,ROVER,1960,3000000,850000,1,2470461,2164927
BAIC,BEIJING,2024,15500000,4100,1,14991769,14991769
BAIC,BEIJING,2025,6500000,19065,1,7095338,7095338
BAIC,D20,2018,5850000,86000,1,6436869,6436869
BAIC,HIGHEST,2025,14500000,10000,1,15352145,15352145
BAIC,X,2018,6800000,51000,1,7124126,7124126
BAIC,X,2025,15600000,30,1,14991769,14991769
BAIC,X25,2017,5825000,118500,2,5899437,5899437
BAIC,X25,2018,5850000,97172,3,6636754,6636754
BAIC,X25,2021,6475000,30000,1,6650312,6650312
BAIC,X55,2024,13500000,30000,1,15352145,15352145
BAIC,X55,2025,15720000,10484,5,15352145,15352145
BAJAJ,DISCOVER,2019,475000,45000,1,641250,987653
BAJAJ,QUTE,2018,1266667,40099,3,1710000,1875157
BAJAJ,QUTE,2019,1341818,32020,11,1723500,1810271
BAJAJ,QUTE,2020,1357500,68000,2,1886114,1886114
BAW,E7,2025,4800000,189,1,5276382,5497965
BMW,118I,2010,17000000,40000,1,14991769,14991769
BMW,218I,2017,16500000,72000,1,15352145,15352145
BMW,218I,2018,15750000,77000,1,15352145,15352145
BMW,218I,2023,24750000,7450,2,18562500,14991769
BMW,218I,2024,25666667,7667,3,19250000,14715159
BMW,225XE,2016,12900000,56600,1,15025775,15025775
BMW,225XE,2018,14300000,106000,1,15352145,15352145
BMW,250D,2013,15500000,150000,1,15352145,15352145
BMW,316I,2015,16900000,105000,1,15352145,15352145
BMW,318,2016,19300000,60000,1,15025775,15025775
BMW,318,2017,19750000,129500,2,15352145,15352145
BMW,318I,2010,13900000,114000,1,15210110,15210110
BMW,318I,2016,19028571,93622,7,15352145,15352145
BMW,318I,2017,19386111,83149,9,15352145,15352145
BMW,318I,2018,21136364,91858,11,15352145,15352145
BMW,318I,2019,21500000,85000,1,15352145,15352145
BMW,320D,2000,6891667,227287,3,7059373,7059373
BMW,320D,2008,13750000,174000,1,15352145,15352145
BMW,320D,2009,13650000,210000,1,15352145,15352145
BMW,320D,2011,11890000,149000,14,15352145,15352145
BMW,320D,2012,17600000,134500,2,15352145,15352145
BMW,320D,2013,15691667,121333,3,15352145,15352145
BMW,320D,2015,17500000,218000,1,15352145,15352145
BMW,320DE90,2011,12000000,185000,1,15352145,15352145
BMW,320I,2006,9112500,151852,6,7941447,7941447
BMW,320I,2007,3856250,32389,4,6097500,7747214
BMW,320I,2008,10900000,110000,1,10180103,9918918
BMW,320I,2009,9500000,140000,1,8015606,8015606
BMW,320I,2010,1875000,150000,1,2096770,2096770
BMW,320I,2011,11750000,31006,2,10157063,9896470
BMW,330E,2016,23750000,77950,2,15210110,15210110
BMW,335I,2013,19500000,82000,1,15025775,15025775
BMW,335I,2014,26500000,115000,1,15900000,15352145
BMW,520,2011,14900000,176000,1,15352145,15352145
BMW,520D,2006,500000,199870,1,700000,1139289
BMW,520D,2011,21000000,140000,1,15352145,15352145
BMW,520D,2012,17353500,129175,20,15352145,15352145
BMW,520D,2013,20422619,122810,21,15352145,15352145
BMW,520D,2014,22466000,108300,5,15352145,15352145
BMW,520D,2015,26650000,148500,2,15990000,15352145
BMW,520I,1995,4550000,100000,1,4766548,4766548
BMW,520I,2003,9100000,161000,1,8192810,8192810
BMW,520I,2011,16133333,119333,3,15352145,15352145
BMW,523I,2005,11950000,211500,2,15352145,15352145
BMW,523I,2006,12875000,169000,2,15352145,15352145
BMW,523I,2007,12010000,137280,5,8363537,8192810
BMW,523I,2010,17650000,117097,11,15210110,15210110
BMW,523I,2011,19000000,141000,1,15352145,15352145
BMW,528I,2012,9775000,114000,2,5865000,2402382
BMW,530D,2006,1380000,105000,1,1833937,1833937
BMW,530E,2017,28000000,115000,1,16800000,15352145
BMW,530E,2018,27450000,77333,3,16470000,15352145
BMW,730,2010,18000000,49000,1,14991769,14991769
BMW,730LD,2012,27950000,50000,1,16770000,14991769
BMW,740,2010,23500000,56000,1,14991769,14991769
BMW,920D,2009,10900000,1,1,10478556,10478556
BMW,920D,2011,10900000,67000,2,10066682,9808407
BMW,BMW,2007,5475000,237500,1,5598705,5598705
BMW,BMW,2012,1850000,53000,1,1933541,1933541
BMW,COOPER,2018,16500000,84000,1,15352145,15352145
BMW,E12,1974,1475000,1,1,1421354,1421354
BMW,E34,1992,3150000,180000,1,2912170,2552007
BMW,E34,1993,3300000,130000,1,2914856,2554361
BMW,E36,1999,4550000,179000,1,4703907,4703907
BMW,E39,1996,5500000,55000,1,5578304,5578304
BMW,E39,1998,6300000,48000,1,6604875,6604875
BMW,E39,2003,4950000,170000,1,5353388,5549930
BMW,E46,1999,6400000,97000,1,6648997,6648997
BMW,E46,2000,6487500,179500,2,7038740,7038740
BMW,E46,2001,7000000,220000,1,7215051,7215051
BMW,E46,2002,6800000,200000,1,7104469,7104469
BMW,E60,2004,7216667,160667,3,8026967,8026967
BMW,E90,2008,9800000,136000,1,8192810,8192810
BMW,E90,2011,13250000,157008,1,15352145,15352145
BMW,F10,2011,15500000,101000,1,15025775,15025775
BMW,F30,2015,22000000,107000,1,15352145,15352145
BMW,I3,2016,14990000,55000,1,15025775,15025775
BMW,I8,2016,28000000,40000,1,21000000,14715159
BMW,JCW,2016,13650000,60000,1,15025775,15025775
BMW,MINI,2015,12500000,85000,1,14660837,14660837
BMW,MINI,2017,500000,85000,1,700000,1139289
BMW,X,2016,2750000,28000,1,2518386,2518386
BMW,X1,2010,10200000,66000,1,7761381,7761381
BMW,X1,2011,10787812,178100,16,8269317,8269317
BMW,X1,2016,16263889,89467,9,13891150,15352145
BMW,X1,2017,17391667,61000,6,15025775,15025775
BMW,X1,2018,18620833,89338,12,15352145,15352145
BMW,X1,2019,20021000,69533,15,15352145,15352145
BMW,X1D,2011,10500000,118713,1,8306007,8092904
BMW,X1F48,2020,22500000,79800,1,15352145,15352145
BMW,X2,2018,19992857,88857,7,15352145,15352145
BMW,X2,2019,20500000,47500,2,15375000,15025775
BMW,X2M,2018,19200000,64000,1,15352145,15352145
BMW,X3,2011,15550000,159180,1,15352145,15352145
BMW,X3,2012,16225000,106000,2,15210110,15210110
BMW,X3,2013,15891667,123817,6,15352145,15352145
BMW,X5,2002,8447500,164500,2,7925213,7925213
BMW,X5,2006,13000000,180000,1,15352145,15352145
BMW,X5,2011,20000000,163000,1,15352145,15352145
BMW,X5,2012,19747500,135776,2,15352145,15352145
BMW,X5,2016,25581250,82115,16,15352145,15352145
BMW,X5,2017,26500000,86833,3,15900000,15352145
BMW,X5,2018,27500000,114500,3,16500000,15352145
BORGWARD,BX5,2019,11600000,77000,2,15352145,15352145
BYD,ATTO,2024,16433333,30000,3,15352145,15352145
BYD,ATTO,2025,16046875,8478,16,15352145,15352145
BYD,ATTO3,2025,16000000,4650,2,14402497,14402497
BYD,DOLPHIN,2025,8383333,10833,3,11317500,14797742
BYD,SEAL,2025,20850000,6200,1,15637500,15025775
BYD,SEALION,2025,18671667,6244,9,15025775,15025775
BYD,SEALION5,2025,18200000,100,1,15470000,14991769
BYD,SHACK,2025,25000000,3000,1,21250000,17109497
BYD,SHARK,2025,25150000,13750,2,18862500,15352145
CAT,CR27,1996,5200000,368963,1,5381104,5671700
CHERY,FULWIN,2014,4250000,105000,2,4787587,4787587
CHERY,FULWIN2FL,2014,4065000,162000,1,4584226,4584226
CHERY,J2,2014,4212500,123800,2,4584226,4584226
CHERY,J2,2016,4875000,138000,1,5321890,5545384
CHERY,QQ,2005,1525000,108558,4,1833937,1833937
CHERY,QQ,2006,1847500,135112,14,1787333,1833937
CHERY,QQ,2007,1797059,82176,17,1810271,1810271
CHERY,QQ,2008,1545818,78372,11,1810271,1810271
CHERY,QQ,2009,1800000,38000,1,1810271,1810271
CHERY,QQ,2010,1693750,90000,4,1875157,1875157
CHERY,QQ,2011,2038333,56500,3,1810271,1810271
CHERY,QQ,2012,2195000,39009,2,1810271,1810271
CHERY,QQ,2015,2391667,91667,3,1886114,1886114
CHERY,QQ308,2011,2175000,105000,1,1886114,1886114
CHERY,TIGGO,2014,6975000,104000,2,6995218,6995218
CHERY,TIGGO,2024,10433333,9733,3,7825000,7795657
CHERY,TIGGO,2025,11000000,10500,1,14850000,15024633
CHERY,YOYO,2015,3095000,123,1,3352387,3352387
CHEVROLET,AVEO,2007,2987500,87672,2,3280230,3352387
CHEVROLET,AVEO,2008,3136667,120000,6,3128159,3128159
CHEVROLET,AVEO,2010,4175000,118260,1,4267425,4267425
CHEVROLET,BEAT,2011,2990000,122000,1,3380021,3380021
CHEVROLET,BEAT,2012,3925000,104779,3,4130146,4130146
CHEVROLET,CHEVROLET,2004,4400000,191900,1,4780427,4780427
CHEVROLET,CHEVVOLAT,2004,4350000,17000,1,4701707,4701707
CHEVROLET,CRUZE,2002,3875000,143553,9,3886585,3886585
CHEVROLET,CRUZE,2003,4015625,163410,8,3972489,3972489
CHEVROLET,CRUZE,2004,4057812,155034,16,4409236,4409236
CHEVROLET,CRUZE,2005,4050000,137430,3,3967221,3967221
CHEVROLET,CRUZE,2006,3813333,183000,3,4039357,4039357
CHEVROLET,CRUZE,2007,4650000,170000,1,4812541,4812541
CHEVROLET,OPTRA,2011,4250000,96872,1,4502359,4502359
CHEVROLET,SPARK,2007,2200000,165900,1,1886114,1886114
CHEVROLET,UVA,2008,3200000,191000,1,3787230,3787230
CHRYSLER,300,2012,19000000,33000,1,14991769,14991769
CHRYSLER,300C,2007,8500000,107248,1,7925213,7925213
CHRYSLER,300C,2013,16500000,90000,1,15210110,15210110
CHRYSLER,C300,2012,18500000,108000,1,15210110,15210110
CHRYSLER,GRAND,2004,5425000,77000,2,5622978,5622978
CHRYSLER,GRAND,2006,5300000,143000,1,5664228,5664228
CHRYSLER,P,2007,6250000,103000,1,6385276,6385276
CITROEN,CITROEN,1994,680000,100000,1,952000,1421354
CITROEN,CITROEN,1998,575000,165000,1,805000,1310182
CITROEN,XSARA,2000,2050000,120000,1,1741169,1741169
DAEWOO,CIELO,1996,1300000,186085,1,1728241,1728241
DAEWOO,ESPERO,1993,775000,123562,1,1085000,1421354
DAEWOO,ESPERO,1994,750000,10,1,937500,1287435
DAEWOO,LANOS,2000,1322500,143000,2,1803578,1803578
DAEWOO,LANOS,2001,1975000,100000,1,1741169,1741169
DAEWOO,LANOS,2003,1650000,201000,1,1814117,1814117
DAEWOO,LANOS,2006,1925000,136000,1,1833937,1833937
DAEWOO,LEGANZA,2002,3275000,192015,1,3483135,3483135
DAEWOO,LEGANZA,2003,1650000,128000,1,1803578,1803578
DAEWOO,MARTIZ,2002,1650000,90000,1,1741169,1741169
DAEWOO,MATIZ,1999,1050000,137000,1,1470000,1773993
DAEWOO,MATIZ,2001,1750000,117500,2,1741169,1741169
DAEWOO,MIRA,2024,6250000,3000,1,6449228,6449228
DAEWOO,NUBIRA,2000,2250000,128000,1,1803578,1803578
DAEWOO,RACE,1994,435000,65255,1,609000,991181
DAEWOO,RACER,1993,792500,41429,2,1069875,1421354
DAEWOO,RACER,1995,1000000,123,1,1250000,1668438
DAEWOO,RACER,2001,2600000,161648,1,1803578,1803578
DAIHATSU,320S,2007,4675000,119000,1,4782355,4782355
DAIHATSU,ATRAI,1999,3450000,123456,1,3655655,3655655
DAIHATSU,ATRAI,2000,3390000,142500,2,3849837,3849837
DAIHATSU,ATRAI,2004,3600000,150000,1,3849837,3849837
DAIHATSU,ATRAI,2011,4650000,115124,1,4873364,4873364
DAIHATSU,ATRAI,2013,1475000,146000,1,2065000,2085021
DAIHATSU,ATRAI,2015,5028000,98400,5,6436869,6436869
DAIHATSU,ATRAI,2016,5860000,77853,6,6813564,6813564
DAIHATSU,ATRAI,2017,4688333,110000,3,6563667,6877191
DAIHATSU,ATRAI,2018,5950000,119125,4,6436869,6436869
DAIHATSU,ATRAI,2019,5700000,149000,1,5899437,5899437
DAIHATSU,BOON,2010,5200000,140000,1,5582781,5787744
DAIHATSU,BOON,2017,7100000,75600,2,7292673,7292673
DAIHATSU,BOON,2023,8078750,7082,4,7703723,7703723
DAIHATSU,CANBUS,2023,7541250,9825,4,6978001,6978001
DAIHATSU,CAST,2016,6200000,100000,2,7251810,7251810
DAIHATSU,CAST,2017,6050000,87000,2,6877191,6877191
DAIHATSU,CHARADE,1980,650000,1000,1,812500,1115777
DAIHATSU,CHARADE,1984,875000,1234,1,1093750,1421354
DAIHATSU,CHARADE,1985,987500,122458,2,1382500,1421354
DAIHATSU,CHARADE,1986,1416667,51000,3,1421354,1421354
DAIHATSU,CHARADE,1987,1139167,175015,6,1332333,1421354
DAIHATSU,CHARADE,1988,1150000,96500,2,1421354,1421354
DAIHATSU,CHARADE,1989,1425000,94725,3,1421354,1421354
DAIHATSU,CHARADE,1990,1518750,108090,4,1421354,1421354
DAIHATSU,CHARADE,1991,1412500,79394,2,1421354,1421354
DAIHATSU,CHARADE,1992,1695000,1,1,1440750,1421354
DAIHATSU,CHARADE,1993,2100000,171200,1,1472300,1472300
DAIHATSU,CHARADE,1995,3600000,180000,1,3318251,3318251
DAIHATSU,CHARADE,1997,2890000,161200,1,2529702,2529702
DAIHATSU,CHARADE,2006,1300000,12345,1,1755000,1770478
DAIHATSU,CHARMANT,1987,1358333,84400,3,1421354,1421354
DAIHATSU,CHARMANT,1988,700000,25025,1,945000,1421354
DAIHATSU,CHARMANT,1991,1475000,1111,1,1421354,1421354
DAIHATSU,COPEN,2016,6550000,54000,2,6417807,6417807
DAIHATSU,COPEN,2017,6900000,68000,1,7184717,7184717
DAIHATSU,CUORE,1990,1075000,90000,2,1421354,1421354
DAIHATSU,CUORE,1992,2075000,103000,1,1421354,1421354
DAIHATSU,CUORE,1997,2150000,70000,1,1712607,1712607
DAIHATSU,CUORE,1998,2750000,168000,1,2467917,2467917
DAIHATSU,DARK,2024,8600000,4000,1,7703723,7703723
DAIHATSU,DELTA,1982,590000,166000,1,826000,1344361
