Title,Price,Year,Fuel,Engine,Transmission,Posted,URL,Page,Price_Numeric
BMW 520d 2013 Car,"Rs. 19,000,000",2013,,,,,https://riyasewana.com/buy/bmw-520d-sale-colombo-10869167,1,19000000
Bajaj Discover 2013 Motorbike,"Rs. 295,000",2013,,,,,https://riyasewana.com/buy/bajaj-discover-sale-kotte-10893506,1,295000
Daihatsu Mira E.S L SA 3 2025 Car,"Rs. 7,150,000",2025,,,,,https://riyasewana.com/buy/daihatsu-mira-e-s-sale-nugegoda-10888727,1,7150000
Toyota Premio 2007 Car,"Rs. 8,900,000",2007,,,,,https://riyasewana.com/buy/toyota-premio-sale-colombo-10851547,1,8900000
Toyota Aqua 2012 Car,"Rs. 7,850,000",2012,,,,,https://riyasewana.com/buy/toyota-aqua-sale-colombo-10894730,1,7850000
Bajaj RE 2015 Three Wheel,"Rs. 1,450,000",2015,,,,,https://riyasewana.com/buy/bajaj-re-sale-bandaragama-10894729,1,1450000
Yadea Yadiya 2024 Motorbike,"Rs. 275,000",2024,,,,,https://riyasewana.com/buy/yadea-yadiya-sale-kegalle-10894728,1,275000
Toyota Vios 2008 Car,"Rs. 6,800,000",2008,,,,,https://riyasewana.com/buy/toyota-vios-sale-kandy-10894727,1,6800000
Yamaha V90 1997 Motorbike,"Rs. 118,000",1997,,,,,https://riyasewana.com/buy/yamaha-v90-sale-kandy-10894726,1,118000
Suzuki Wagon R Stingray 2014 Car,"Rs. 5,625,000",2014,,,,,https://riyasewana.com/buy/suzuki-wagon-r-sale-panadura-10894725,1,5625000
Suzuki ALTO 2015 Car,"Rs. 3,590,000",2015,,,,,https://riyasewana.com/buy/suzuki-alto-sale-galle-10894724,1,3590000
Yamaha Ray Zr 2025 Motorbike,"Rs. 689,900",2025,,,,,https://riyasewana.com/buy/yamaha-ray-zr-sale-trincomalee-10894723,1,689900
Toyota Aqua X Urban 2015 Car,,2015,,,,,https://riyasewana.com/buy/toyota-aqua-x-sale-jaffna-10894721,1,0
Nissan Fb 14 1996 Car,"Rs. 2,925,000",1996,,,,,https://riyasewana.com/buy/nissan-fb-14-sale-matugama-10894720,1,2925000
Honda Grazia 2018 Motorbike,"Rs. 535,000",2018,,,,,https://riyasewana.com/buy/honda-grazia-sale-tangalle-10894719,1,535000
Toyota Axio G Grade 2008 Car,,2008,,,,,https://riyasewana.com/buy/toyota-axio-g-sale-nugegoda-10894718,1,0
Toyota Hiace 109 1993 Van,"Rs. 7,325,000",1993,,,,,https://riyasewana.com/buy/toyota-hiace-109-sale-mawanella-10894717,1,7325000
Yamaha Tw 225 2014 Motorbike,"Rs. 885,000",2014,,,,,https://riyasewana.com/buy/yamaha-tw-225-sale-badulla-10894716,1,885000
Suzuki Hustler 2025 Car,"Rs. 7,950,000",2025,,,,,https://riyasewana.com/buy/suzuki-hustler-sale-kandy-10894715,1,7950000
Toyota Belta 1300 CC 2008 Car,"Rs. 6,500,000",2008,,1300 CC,,,https://riyasewana.com/buy/toyota-belta-1300-sale-kottawa-10894714,1,6500000
Toyota Premio 2019 Car,"Rs. 17,800,000",2019,,,,,https://riyasewana.com/buy/toyota-premio-sale-nugegoda-10894713,1,17800000
Toyota Hiace 109 1993 Van,"Rs. 7,325,000",1993,,,,,https://riyasewana.com/buy/toyota-hiace-109-sale-mawanella-10894711,1,7325000
Honda Vezel Z Orange Package 2015 Car,"Rs. 9,875,000",2015,,,,,https://riyasewana.com/buy/honda-vezel-z-sale-nugegoda-10894710,1,9875000
Toyota Hiace 109 1993 Van,"Rs. 7,325,000",1993,,,,,https://riyasewana.com/buy/toyota-hiace-109-sale-mawanella-10894709,1,7325000
Honda 48cc 2020 Motorbike,"Rs. 165,000",2020,,48cc,,,https://riyasewana.com/buy/honda-48cc-sale-kandy-10894708,1,165000
Suzuki Burgman 2019 Motorbike,"Rs. 475,000",2019,,,,,https://riyasewana.com/buy/suzuki-burgman-sale-mirigama-10894706,1,475000
Honda Gp1 Moon Roof 2013 Car,,2013,,,,,https://riyasewana.com/buy/honda-gp1-moon-sale-galle-10894705,1,0
Honda Grace Ex 2015 Car,"Rs. 8,775,000",2015,,,,,https://riyasewana.com/buy/honda-grace-ex-sale-kandy-10894703,1,8775000
Toyota Premio G Superior 2011 Car,"Rs. 9,975,000",2011,,,,,https://riyasewana.com/buy/toyota-premio-g-sale-nugegoda-10894702,1,9975000
Toyota Townace CR26 1985 Van,"Rs. 2,450,000",1985,,,,,https://riyasewana.com/buy/toyota-townace-cr26-sale-divulapitiya-10894700,1,2450000
Toyota Aqua 2014 Car,,2014,,,,,https://riyasewana.com/buy/toyota-aqua-sale-gampaha-10894699,1,0
Suzuki ALTO 2015 Car,"Rs. 3,600,000",2015,,,,,https://riyasewana.com/buy/suzuki-alto-sale-galle-10894698,1,3600000
Bajaj RE 2006 Three Wheel,"Rs. 820,000",2006,,,,,https://riyasewana.com/buy/bajaj-re-sale-matale-10894697,1,820000
Nissan N16 Super Saloon N17 2011 Car,"Rs. 4,800,000",2011,,,,,https://riyasewana.com/buy/nissan-n16-super-sale-homagama-10894696,1,4800000
Suzuki Wagon R Stingray 2018 Car,"Rs. 6,900,000",2018,,,,,https://riyasewana.com/buy/suzuki-wagon-r-sale-kurunegala-10894695,1,6900000
Bajaj RE 2020 Three Wheel,"Rs. 1,685,000",2020,,,,,https://riyasewana.com/buy/bajaj-re-sale-gampaha-10894694,1,1685000
Hero Pleasure 2010 Motorbike,"Rs. 220,000",2010,,,,,https://riyasewana.com/buy/hero-pleasure-sale-kandy-10894692,1,220000
Daihatsu Mira X Grade 2023 Car,"Rs. 6,650,000",2023,,,,,https://riyasewana.com/buy/daihatsu-mira-x-sale-kadawatha-10894691,1,6650000
Toyota Noah Kr42 2002 Van,"Rs. 735,000",2002,,,,,https://riyasewana.com/buy/toyota-noah-kr42-sale-wennappuwa-10894690,1,735000
Volvo S40 2003 Car,"Rs. 4,880,000",2003,,,,,https://riyasewana.com/buy/volvo-s40-sale-kandy-10894689,1,4880000
Toyota Prius 2012 Car,,2012,,,,,https://riyasewana.com/buy/toyota-prius-sale-ja-ela-10894688,1,0
Toyota Belta 2011 Car,,2011,,,,,https://riyasewana.com/buy/toyota-belta-sale-gampaha-10894687,1,0
Nissan March 2003 Car,"Rs. 3,195,000",2003,,,,,https://riyasewana.com/buy/nissan-march-sale-matara-10894686,1,3195000
Bajaj 135 2010 Motorbike,"Rs. 340,000",2010,,,,,https://riyasewana.com/buy/bajaj-135-sale-kurunegala-10894685,1,340000
Suzuki Spacia Custom XS TURBO 2025 Car,,2025,,,,,https://riyasewana.com/buy/suzuki-spacia-custom-sale-kandy-10864008,2,0
Daihatsu Mira Es Limited G Grade 2024 Car,,2024,,,,,https://riyasewana.com/buy/daihatsu-mira-es-sale-panadura-10894131,2,0
Daihatsu Mira X Limited LED Version 2023 Car,"Rs. 6,650,000",2023,,,,,https://riyasewana.com/buy/daihatsu-mira-x-sale-colombo-10891086,2,6650000
Toyota Premio G Superior 2010 Car,,2010,,,,,https://riyasewana.com/buy/toyota-premio-g-sale-colombo-10891733,2,0
Toyota ROOMY CUSTOM G 2025 Car,"Rs. 11,600,000",2025,,,,,https://riyasewana.com/buy/toyota-roomy-custom-sale-kandy-10894626,2,11600000
Suzuki Swift 2004 Car,"Rs. 4,500,000",2004,,,,,https://riyasewana.com/buy/suzuki-swift-sale-gampaha-10894625,2,4500000
Toyota Vios 2003 Car,"Rs. 5,450,000",2003,,,,,https://riyasewana.com/buy/toyota-vios-sale-negombo-10894623,2,5450000
