Title,Price,Year,Fuel,Engine,Transmission,Posted,URL,Page,Source,Full_Text,Price_Numeric
BMW 520d 2013 Car,"Rs. 19,000,000",2013,,,,,https://riyasewana.com/buy/bmw-520d-sale-colombo-10869167,1,li,"BMW 520d 2013 Car Colombo Rs. 19,000,000 145500 (km) 2025-12-09",19000000
Bajaj Discover 2013 Motorbike,"Rs. 295,000",2013,,,,,https://riyasewana.com/buy/bajaj-discover-sale-kotte-10893506,1,li,"Bajaj Discover 2013 Motorbike Kotte Rs. 295,000 60000 (km) 2025-12-14",295000
Daihatsu Mira E.S L SA 3 2025 Car,"Rs. 7,150,000",2025,,,,,https://riyasewana.com/buy/daihatsu-mira-e-s-sale-nugegoda-10888727,1,li,"Daihatsu Mira E.S L SA 3 2025 Car Nugegoda Rs. 7,150,000 3000 (km) 2025-12-13",7150000
Toyota Premio 2007 Car,"Rs. 8,900,000",2007,,,,,https://riyasewana.com/buy/toyota-premio-sale-colombo-10851547,1,li,"Toyota Premio 2007 Car Colombo Rs. 8,900,000 215000 (km) 2025-12-06",8900000
Toyota Aqua 2012 Car,"Rs. 7,850,000",2012,,,,,https://riyasewana.com/buy/toyota-aqua-sale-colombo-10894730,1,li,"Toyota Aqua 2012 Car Colombo Rs. 7,850,000 130000 (km) 2025-12-14",7850000
Bajaj RE 2015 Three Wheel,"Rs. 1,450,000",2015,,,,,https://riyasewana.com/buy/bajaj-re-sale-bandaragama-10894729,1,li,"Bajaj RE 2015 Three Wheel Bandaragama Rs. 1,450,000 80000 (km) 2025-12-14",1450000
Yadea Yadiya 2024 Motorbike,"Rs. 275,000",2024,,,,,https://riyasewana.com/buy/yadea-yadiya-sale-kegalle-10894728,1,li,"Yadea Yadiya 2024 Motorbike Kegalle Rs. 275,000 2025-12-14",275000
Toyota Vios 2008 Car,"Rs. 6,800,000",2008,,,,,https://riyasewana.com/buy/toyota-vios-sale-kandy-10894727,1,li,"Toyota Vios 2008 Car Kandy Rs. 6,800,000 150000 (km) 2025-12-14",6800000
Yamaha V90 1997 Motorbike,"Rs. 118,000",1997,,,,,https://riyasewana.com/buy/yamaha-v90-sale-kandy-10894726,1,li,"Yamaha V90 1997 Motorbike Kandy Rs. 118,000 2025-12-14",118000
Suzuki Wagon R Stingray 2014 Car,"Rs. 5,625,000",2014,,,,,https://riyasewana.com/buy/suzuki-wagon-r-sale-panadura-10894725,1,li,"Suzuki Wagon R Stingray 2014 Car Panadura Rs. 5,625,000 130000 (km) 2025-12-14",5625000
Suzuki ALTO 2015 Car,"Rs. 3,590,000",2015,,,,,https://riyasewana.com/buy/suzuki-alto-sale-galle-10894724,1,li,"Suzuki ALTO 2015 Car Galle Rs. 3,590,000 110000 (km) 2025-12-14",3590000
Yamaha Ray Zr 2025 Motorbike,"Rs. 689,900",2025,,,,,https://riyasewana.com/buy/yamaha-ray-zr-sale-trincomalee-10894723,1,li,"Yamaha Ray Zr 2025 Motorbike Trincomalee Rs. 689,900 2025-12-14",689900
Toyota Aqua X Urban 2015 Car,,2015,,,,,https://riyasewana.com/buy/toyota-aqua-x-sale-jaffna-10894721,1,li,Toyota Aqua X Urban 2015 Car Jaffna Negotiable 98000 (km) 2025-12-14,0
Nissan Fb 14 1996 Car,"Rs. 2,925,000",1996,,,,,https://riyasewana.com/buy/nissan-fb-14-sale-matugama-10894720,1,li,"Nissan Fb 14 1996 Car Matugama Rs. 2,925,000 2025-12-14",2925000
Honda Grazia 2018 Motorbike,"Rs. 535,000",2018,,,,,https://riyasewana.com/buy/honda-grazia-sale-tangalle-10894719,1,li,"Honda Grazia 2018 Motorbike Tangalle Rs. 535,000 35500 (km) 2025-12-14",535000
Toyota Axio G Grade 2008 Car,,2008,,,,,https://riyasewana.com/buy/toyota-axio-g-sale-nugegoda-10894718,1,li,Toyota Axio G Grade 2008 Car Nugegoda Negotiable 153000 (km) 2025-12-14,0
Toyota Hiace 109 1993 Van,"Rs. 7,325,000",1993,,,,,https://riyasewana.com/buy/toyota-hiace-109-sale-mawanella-10894717,1,li,"Toyota Hiace 109 1993 Van Mawanella Rs. 7,325,000 2025-12-14",7325000
Yamaha Tw 225 2014 Motorbike,"Rs. 885,000",2014,,,,,https://riyasewana.com/buy/yamaha-tw-225-sale-badulla-10894716,1,li,"Yamaha Tw 225 2014 Motorbike Badulla Rs. 885,000 29000 (km) 2025-12-14",885000
Suzuki Hustler 2025 Car,"Rs. 7,950,000",2025,,,,,https://riyasewana.com/buy/suzuki-hustler-sale-kandy-10894715,1,li,"Suzuki Hustler 2025 Car Kandy Rs. 7,950,000 450 (km) 2025-12-14",7950000
