Vehicle Type,Make,Model,Year,Price,Milleage,District,published date,Vehicle URL
SUV,Toyota,Prado 120,2005,"Rs. 14,750,000",209753,Anuradapura,2026-02-17,https://riyasewana.com/buy/toyota-prado-120-sale-anuradapura-11217464
Van,Suzuki,Every DA 17 PC LIMITED,2016,"Rs. 6,285,000",136500,Beruwala,2026-02-24,https://riyasewana.com/buy/suzuki-every-da-sale-beruwala-11255904
Van,Toyota,KDH,2025,"Rs. 29,900,000",1,Welisara,2026-02-20,https://riyasewana.com/buy/toyota-kdh-sale-welisara-11233945
Car,Toyota,Allion 240 Japan SL Same Owner,2004,Negotiable,203500,Galle,2026-02-19,https://riyasewana.com/buy/toyota-allion-240-sale-galle-11229071
Lorry,HINO,Boom Truck,1981,"Rs. 2,700,000",173000,Kurunegala,2026-02-25,https://riyasewana.com/buy/hino-boom-truck-sale-kurunegala-11260233
Car,Toyota,Allion G Plus,2016,"Rs. 12,800,000",187000,Colombo,2026-02-25,https://riyasewana.com/buy/toyota-allion-g-sale-colombo-11260232
Three Wheel,Bajaj,RE,2014,Negotiable,12345,Kolonnawa,2026-02-25,https://riyasewana.com/buy/bajaj-re-sale-kolonnawa-11260231
Motorbike,TVS,Scooty Pept,2011,"Rs. 175,000",23223,Kandy,2026-02-25,https://riyasewana.com/buy/tvs-scooty-pept-sale-kandy-11260230
Three Wheel,Bajaj,Threeweel,2003,"Rs. 775,000",11111,Nittambuwa,2026-02-25,https://riyasewana.com/buy/bajaj-threeweel-sale-nittambuwa-11260228
Lorry,Isuzu,14.5,2025,Negotiable,1500,Gampaha,2026-02-25,https://riyasewana.com/buy/isuzu-14-5-sale-gampaha-11260227
Motorbike,Bajaj,Boxer-cT,2004,"Rs. 159,000",52123,Kandy,2026-02-25,https://riyasewana.com/buy/bajaj-boxer-ct-sale-kandy-11260225
Three Wheel,Bajaj,Re 2stroke,2000,"Rs. 585,000",,Colombo,2026-02-25,https://riyasewana.com/buy/bajaj-re-2stroke-sale-colombo-11260224
Car,Nissan,TIda,2007,"Rs. 5,490,000",147000,Malabe,2026-02-25,https://riyasewana.com/buy/nissan-tida-sale-malabe-11260223
Car,Mitsubishi,I-Miev,2013,"Rs. 3,200,000",90353,Negombo,2026-02-25,https://riyasewana.com/buy/mitsubishi-i-miev-sale-negombo-11260222
Motorbike,Bajaj,Platina 125,2013,"Rs. 285,000",55000,Katunayake,2026-02-25,https://riyasewana.com/buy/bajaj-platina-125-sale-katunayake-11260221
