Make,Model,Year,Average_Price,Average_Mileage,Predicted_Next_Week_Price
Acura,Zen,2000,1800000.0,100000.0,
Alfa-Romeo,155 T Spark,1994,2150000.0,52000.0,
Alfa-Romeo,156,2001,4100000.0,170.0,
Alfa-Romeo,Cooper,1980,1625000.0,80000.0,
Ashok-Leyland,1613 Bouser Cargo,2006,4800000.0,300000.0,
Ashok-Leyland,1613 CARGO,2009,7650000.0,258518.0,
Ashok-Leyland,20 Ft Container Cargo,2013,8500000.0,12345.0,
Ashok-Leyland,Cargo,2011,4200000.0,80000.0,
Ashok-Leyland,Cargo 1613,2012,6200000.0,400000.0,
Ashok-Leyland,Cargo TIPPER,2009,2400000.0,150000.0,
Ashok-Leyland,Cargo Tipper,2010,3750000.0,90000.0,
Ashok-Leyland,Cargo Tipper,2011,6350000.0,345687.0,
Audi,100 GL,1974,4500000.0,54000.0,
Audi,A 1,2017,9500000.0,95000.0,
Audi,A06,2006,1975000.0,168000.0,
Audi,A1,2015,8720000.0,111300.0,7892630.0
Audi,A1,2016,7468571.0,101286.0,7641845.0
Audi,A1,2017,8700000.0,192000.0,7611775.0
Audi,A1,2018,9400000.0,100600.0,7717100.0
Audi,A1 S Line,2016,8150000.0,74500.0,
Audi,A1 S Line Sportsback,2016,8700000.0,77638.0,
Audi,A1 SPORT TFSI,2022,13250000.0,12000.0,
Audi,A1 Sportback,2016,8900000.0,103000.0,
Audi,A1 TFSI,2017,8400000.0,68000.0,
Audi,A3,2015,14000000.0,61000.0,14332234.0
Audi,A3,2016,13100000.0,85000.0,15746236.0
Audi,A3,2017,12900000.0,72000.0,16381348.0
Audi,A3,2018,12650000.0,73925.0,16859709.0
Audi,A3,2019,16000000.0,7400.0,17755052.0
Audi,A3,2023,17978571.0,9143.0,17596765.0
Audi,A3 1.8,2015,15500000.0,126000.0,
Audi,A3 30 TFSI,2023,14800000.0,20000.0,
Audi,A3 Advance,2024,20500000.0,17000.0,
Audi,A3 Advance Pack,2023,17950000.0,6000.0,
Audi,A3 Advanced,2023,18746667.0,13167.0,17894871.0
Audi,A3 Advanced Safety,2023,18200000.0,18000.0,
Audi,A3 Advanced Sedan,2023,18350000.0,9700.0,
Audi,A3 Advanced Sportback,2023,15750000.0,10000.0,
Audi,A3 Advanced Sportback MHEV,2023,15700000.0,20000.0,
Audi,A3 Advanced TFSI,2022,17850000.0,21000.0,
Audi,A3 Hatchback,2017,10190000.0,105000.0,
Audi,A3 RS Sedan,2018,17400000.0,53000.0,
Audi,A3 S LINE,2019,14990000.0,61500.0,
Audi,A3 S Line,2023,23000000.0,11500.0,
Audi,A3 S Line Sedan,2023,20990000.0,10000.0,
Audi,A3 S-LINE SEDAN,2018,14500000.0,105000.0,
Audi,A3 SLine,2018,14800000.0,135000.0,
Audi,A3 Sedan,2017,13800000.0,88000.0,
Audi,A3 Sedan,2018,15800000.0,51000.0,
Audi,A3 Sedan 1400cc,2016,14990000.0,52000.0,
Audi,A3 Sedan Safety Line,2023,18150000.0,5960.0,
Audi,A3 Sedan Urban Style,2023,17450000.0,5470.0,
Audi,A3 Sline Highest Spec,2023,23500000.0,10000.0,
Audi,A3 Sport HatchBack,2017,2200000.0,98000.0,
Audi,A3 Sportback,2017,11950000.0,90750.0,12052577.0
Audi,A3 Sportback,2019,14000000.0,40000.0,13222582.0
Audi,A3 Sportback Advanced,2017,10950000.0,72000.0,
Audi,A3 Sportback S Line,2023,19225000.0,13500.0,
Audi,A3 TFSI,2017,15000000.0,41000.0,
Audi,A3 TFSI 1800,2016,15250000.0,121000.0,
Audi,A3 TFSI Advance,2023,18500000.0,24000.0,
Audi,A3 TFSI Sedan,2018,14650000.0,60123.0,
Audi,A3 URBAN STYLE,2023,18900000.0,11000.0,
Audi,A3 Urdan Style,2023,19000000.0,19000.0,
Audi,A3S Line Quattro,2018,14850000.0,218000.0,
Audi,A4,2001,5200000.0,195000.0,5113313.0
Audi,A4,2004,1233334.0,140000.0,6533412.0
Audi,A4,2011,8687500.0,130250.0,9091096.0
Audi,A4,2013,12175000.0,153000.0,10982535.0
Audi,A4,2014,14000000.0,110000.0,11143376.0
Audi,A4,2016,17200000.0,185000.0,11894523.0
Audi,A4,2017,15900000.0,95000.0,12054729.0
Audi,A4,2018,19000000.0,80000.0,12503567.0
Audi,A4 1.8 TFSI,2010,9700000.0,133000.0,
Audi,A4 1.9 TDI,2001,3300000.0,283427.0,
Audi,A4 2.0 Turbo Charged,2013,11450000.0,118000.0,
Audi,A4 B6,2003,5850000.0,191200.0,
Audi,A4 B6,2005,6200000.0,143000.0,
Audi,A4 B8,2011,10906250.0,135250.0,8922342.0
Audi,A4 B8 Electric Seat,2012,10500000.0,140000.0,
Audi,A4 B8.5,2013,12800000.0,98000.0,
Audi,A4 TFSI Highest Spec,2018,18500000.0,28000.0,
Audi,A42020,2017,18500000.0,75000.0,
Audi,A5,2018,25000000.0,51500.0,22329973.0
Audi,A5,2019,23500000.0,70150.0,22692554.0
Audi,A5 1.4 TFSI,2018,26000000.0,17558.0,
Audi,A5 S Line,2018,23500000.0,67500.0,
Audi,A5 S-LINE,2018,19500000.0,71000.0,22666877.0
Audi,A5 S-Line,2018,27250000.0,61500.0,22666877.0
Audi,A5 S-Line,2019,24000000.0,56660.0,23029458.0
Audi,A5 S-Line Sportback,2018,19000000.0,127000.0,
Audi,A5 Sline,2018,22500000.0,48000.0,
Audi,A5 Sportback,2019,22500000.0,94133.0,22692554.0
Audi,A5p S Line,2019,22500000.0,5600.0,
Audi,A6,2002,5325000.0,195000.0,6302160.0
Audi,A6,2004,6163333.0,189333.0,7337133.0
Audi,A6,2006,9950000.0,178000.0,7984552.0
Audi,A6,2007,1975000.0,154500.0,8984381.0
Audi,A6,2010,9500000.0,125324.0,8592878.0
Audi,A6,2011,11450000.0,150000.0,8967306.0
Audi,A6,2012,14400000.0,59000.0,9958992.0
Audi,A6,2013,15008333.0,131167.0,10733446.0
Audi,A6,2014,13133333.0,170467.0,10963431.0
Audi,A6,2016,15500000.0,121253.0,11785021.0
Audi,A6,2017,3875000.0,75000.0,11982800.0
Audi,A6 2.0,2011,12500000.0,76000.0,
Audi,A6 2.0T,2012,13800000.0,146900.0,
Audi,A6 Rs Modified,2016,19600000.0,91500.0,
Audi,A6 S LINE,2016,19800000.0,92000.0,
Audi,A6 S Line,2013,18500000.0,98000.0,
Audi,A6 S Line,2016,16200000.0,76000.0,
Audi,A6 Turbo,2003,1500000.0,158000.0,
Audi,Audi,2017,12790000.0,85000.0,
Audi,Q2,2017,11083333.0,109667.0,12242755.0
Audi,Q2,2018,13467857.0,96539.0,12718198.0
Audi,Q2,2019,13550000.0,88250.0,13694484.0
Audi,Q2 1.0 TFSI Turbo,2018,14000000.0,95000.0,
Audi,Q2 1.0L TFSI,2019,12875000.0,116000.0,
Audi,Q2 Anniversary S-Tron Model,2019,15000000.0,88500.0,
Audi,Q2 Luxury Spec,2018,12800000.0,110000.0,
Audi,Q2 S Line,2018,15000000.0,55000.0,
Audi,Q2 S-Line,2018,12800000.0,113000.0,
Audi,Q2 S-Line,2019,15200000.0,74000.0,
Audi,Q2 S-Line 1.4L 4,2018,15000000.0,100200.0,
Audi,Q2 TFSI,2017,13975000.0,61500.0,12974194.0
Audi,Q2 TFSI,2018,13950000.0,67333.0,13436722.0
Audi,Q2 TFSI 1.0 Turbo,2018,14500000.0,86000.0,
Audi,Q2 TFSI S-TRONIC,2017,13500000.0,89350.0,
Audi,Q2 TFSI Special Edition,2018,13000000.0,97000.0,
Audi,Q2 Virtual Cockpit,2018,11850000.0,225.0,
Audi,Q3,2013,13250000.0,80250.0,12438773.0
Audi,Q3,2015,12995000.0,77248.0,11977054.0
Audi,Q3,2016,15350000.0,91500.0,13345539.0
Audi,Q3,2017,16500000.0,36000.0,13347026.0
Audi,Q3,2018,15200000.0,91750.0,13690014.0
Audi,Q3,2019,20000000.0,88000.0,14566921.0
Audi,Q3,2022,26500000.0,5000.0,14375504.0
Audi,Q3 Quattro,2013,13100000.0,57000.0,
Audi,Q3 S Line VORSPRUNG,2019,20500000.0,85000.0,
Audi,Q3 S-Line Highest Spec,2019,21500000.0,44000.0,
Audi,Q3 Sline,2019,21500000.0,96000.0,
Audi,Q3 VORSPRUNG,2019,22500000.0,47000.0,
Audi,Q4 E-tron,2024,28500000.0,900.0,
Audi,Q5,2010,15250000.0,150000.0,
Audi,Q5 Quattro,2011,12975000.0,97000.0,
Audi,Q5 SLine,2011,14790000.0,87500.0,
Audi,Q5 Turbo,2011,11600000.0,77000.0,
Audi,Q7,2015,25500000.0,109000.0,
Audi,Q7,2016,26900000.0,89000.0,
