Vehicle Type,Make,Model,Year,Price,Milleage,District,published date,Vehicle URL
SUV,Mitsubishi,Pajero MK1,1985.0,"Rs. 7,000,000",340000.0,Kuliyapitiya,2026-01-26,https://riyasewana.com/buy/mitsubishi-pajero-mk1-sale-kuliyapitiya-11110001
SUV,Toyota,Raize,2023.0,Negotiable,30000.0,Kuliyapitiya,2026-01-29,https://riyasewana.com/buy/toyota-raize-sale-kuliyapitiya-11123566
SUV,Mitsubishi,Outlander,2015.0,"Rs. 14,900,000",120000.0,Dehiwala-Mount-Lavinia,2026-01-26,https://riyasewana.com/buy/mitsubishi-outlander-sale-dehiwala-mount-lavinia-11110675
Car,Micro,Panda Cross,2014.0,"Rs. 3,680,000",114000.0,Matara,2026-02-02,https://riyasewana.com/buy/micro-panda-cross-sale-matara-11144379
Motorbike,MG,Maduruwa,2014.0,Negotiable,25831.0,Kurunegala,2026-02-05,https://riyasewana.com/buy/mg-maduruwa-sale-kurunegala-11159256
Motorbike,Honda,GRAZIA,2019.0,"Rs. 180,000",,Kurunegala,2026-02-05,https://riyasewana.com/buy/honda-grazia-sale-kurunegala-11159255
Tractor,Sonalika,50 D,2020.0,"Rs. 3,350,000",,Kurunegala,2026-02-05,https://riyasewana.com/buy/sonalika-50-d-sale-kurunegala-11159254
Car,Nissan,March K 11,1997.0,"Rs. 2,390,000",195000.0,Battaramulla,2026-02-05,https://riyasewana.com/buy/nissan-march-k-sale-battaramulla-11159253
Motorbike,TVS,Star Sport,2010.0,"Rs. 165,000",,Gampaha,2026-02-05,https://riyasewana.com/buy/tvs-star-sport-sale-gampaha-11159251
Lorry,Foton,Bj1008,2016.0,Negotiable,90000.0,Veyangoda,2026-02-05,https://riyasewana.com/buy/foton-bj1008-sale-veyangoda-11159250
Car,Toyota,Axio WXB,2019.0,Negotiable,79000.0,Gampaha,2026-02-05,https://riyasewana.com/buy/toyota-axio-wxb-sale-gampaha-11159249
Car,Ford,Laser,2000.0,Negotiable,123456.0,Malabe,2026-02-05,https://riyasewana.com/buy/ford-laser-sale-malabe-11159248
Car,Perodua,Elite,2012.0,"Rs. 4,375,000",140000.0,Kandana,2026-02-05,https://riyasewana.com/buy/perodua-elite-sale-kandana-11159247
Motorbike,Honda,DIO,2018.0,Negotiable,,Kurunegala,2026-02-05,https://riyasewana.com/buy/honda-dio-sale-kurunegala-11159246
Motorbike,Yamaha,Ray ZR,2017.0,"Rs. 130,000",45218.0,Gampaha,2026-02-05,https://riyasewana.com/buy/yamaha-ray-zr-sale-gampaha-11159244
Car,Suzuki,Alto,2016.0,"Rs. 3,790,000",90000.0,Kottawa,2026-02-05,https://riyasewana.com/buy/suzuki-alto-sale-kottawa-11159243
Car,Micro,Panda,2012.0,"Rs. 2,690,000",125000.0,Badulla,2026-02-05,https://riyasewana.com/buy/micro-panda-sale-badulla-11159242
Three Wheel,Bajaj,RE,2020.0,Negotiable,39000.0,Kurunegala,2026-02-05,https://riyasewana.com/buy/bajaj-re-sale-kurunegala-11159241
Three Wheel,Bajaj,2 Stork,2004.0,"Rs. 695,000",45000.0,Kegalle,2026-02-05,https://riyasewana.com/buy/bajaj-2-stork-sale-kegalle-11159240
Car,Suzuki,Wagon R Custome Z,2023.0,"Rs. 8,175,000",39000.0,Galle,2026-02-05,https://riyasewana.com/buy/suzuki-wagon-r-sale-galle-11159238
Car,Chery,Chery QQ,2006.0,"Rs. 850,000",108854.0,Gampaha,2026-02-05,https://riyasewana.com/buy/chery-chery-qq-sale-gampaha-11159237
Car,Audi,A4 TFSI Highest Spec,2018.0,"Rs. 18,500,000",28000.0,Colombo,2026-02-05,https://riyasewana.com/buy/audi-a4-tfsi-sale-colombo-11159236
Motorbike,Bajaj,Platina 100,2009.0,"Rs. 205,000",123456.0,Horana,2026-02-05,https://riyasewana.com/buy/bajaj-platina-100-sale-horana-11159235
Motorbike,Suzuki,GN125 Japan Onlight,2008.0,"Rs. 445,000",73526.0,Mawanella,2026-02-05,https://riyasewana.com/buy/suzuki-gn125-japan-sale-mawanella-11159234
Car,Suzuki,Alto,2016.0,"Rs. 4,125,000",66000.0,Kalutara,2026-02-05,https://riyasewana.com/buy/suzuki-alto-sale-kalutara-11159233
Car,Nissan,Y11,2001.0,"Rs. 2,960,000",173480.0,Tangalle,2026-02-05,https://riyasewana.com/buy/nissan-y11-sale-tangalle-11159232
Car,Toyota,Passo,2005.0,Negotiable,110749.0,Malabe,2026-02-05,https://riyasewana.com/buy/toyota-passo-sale-malabe-11159230
Van,Toyota,Townace CR27,1993.0,Negotiable,,Embilipitiya,2026-02-05,https://riyasewana.com/buy/toyota-townace-cr27-sale-embilipitiya-11159229
Lorry,Tata,407,2004.0,"Rs. 1,680,000",200000.0,Warakapola,2026-02-05,https://riyasewana.com/buy/tata-407-sale-warakapola-11159228
Car,Toyota,Vitz,2017.0,Negotiable,130.0,Kadawatha,2026-02-05,https://riyasewana.com/buy/toyota-vitz-sale-kadawatha-11159227
Car,Toyota,VITZ Safety EDTION 2,2018.0,Negotiable,22500.0,Marawila,2026-02-05,https://riyasewana.com/buy/toyota-vitz-safety-sale-marawila-11159226
Motorbike,TVS,Metro,2014.0,"Rs. 265,000",68521.0,Kurunegala,2026-02-05,https://riyasewana.com/buy/tvs-metro-sale-kurunegala-11159225
Car,Micro,Panda,2017.0,"Rs. 2,995,000",75487.0,Colombo,2026-02-05,https://riyasewana.com/buy/micro-panda-sale-colombo-11159224
Motorbike,Honda,Navi,2016.0,"Rs. 370,000",45000.0,Weligama,2026-02-05,https://riyasewana.com/buy/honda-navi-sale-weligama-11159223
