Vehicle Type,Make,Model,Year,Price,Milleage,District,published date
Car,Suzuki,Swift ZC71S,2008.0,"Rs. 5,500,000",152000.0,Colombo,2025-12-14
SUV,Porsche,Cayenne S Hybrid,2013.0,"Rs. 20,000,000",112990.0,Weligama,2025-12-05
Car,Daihatsu,Mira L,2024.0,Negotiable,2300.0,Ragama,2025-12-05
Van,Nissan,Vanette,2001.0,"Rs. 5,950,000",,Kurunegala,2025-12-13
Car,Suzuki,Indian Wagonr Stingray,2014.0,"Rs. 3,990,000",66800.0,Kilinochchi,2025-12-14
Motorbike,Ranomoto,Pattaya,2019.0,"Rs. 215,000",15000.0,Minuwangoda,2025-12-14
Motorbike,Yamaha,Mate50,1992.0,"Rs. 80,000",,Gampaha,2025-12-14
Three Wheel,Bajaj,Auto RE,2015.0,"Rs. 1,535,000",15222.0,Kurunegala,2025-12-14
Motorbike,Ranomoto,Pattaya,2019.0,"Rs. 200,000",16548.0,Homagama,2025-12-14
SUV,Mitsubishi,Montero Sport,2008.0,"Rs. 10,700,000",180000.0,Colombo,2025-12-14
Motorbike,Bajaj,Discover 125,2007.0,"Rs. 185,000",85000.0,Matale,2025-12-14
SUV,Kia,Sorento,2011.0,Negotiable,136000.0,Kegalle,2025-12-14
Motorbike,Honda,Dio,2018.0,"Rs. 548,000",,Kegalle,2025-12-14
Car,Mazda,Flair,2015.0,"Rs. 5,900,000",118000.0,Colombo,2025-12-14
SUV,DFSK,Glory 330,2016.0,"Rs. 4,700,000",130187.0,Galle,2025-12-14
Motorbike,Yamaha,Fz V2,2017.0,"Rs. 765,000",55600.0,Kurunegala,2025-12-14
Motorbike,Bajaj,Platina 100,2007.0,"Rs. 220,000",88000.0,Kelaniya,2025-12-14
Three Wheel,Bajaj,2 Stroke,1995.0,"Rs. 505,000",,Ja-Ela,2025-12-14
Van,Nissan,Vanettet,1982.0,"Rs. 1,875,000",125000.0,Kurunegala,2025-12-14
Motorbike,Loncin,Abans,2019.0,"Rs. 140,000",,Gampaha,2025-12-14
Motorbike,Honda,Hornet Fx,2011.0,"Rs. 1,595,000",34500.0,Tangalle,2025-12-14
SUV,Mitsubishi,Outlander,2013.0,Negotiable,,Gampaha,2025-12-14
Car,Honda,Civic Ex Tech Pack,2017.0,"Rs. 13,350,000",70000.0,Kelaniya,2025-12-14
Motorbike,Yadea,Yadea,2025.0,"Rs. 465,000",,Anuradapura,2025-12-14
Car,Suzuki,Alto,2015.0,Negotiable,98000.0,Tangalle,2025-12-14
SUV,Honda,Vezel Z Play Premium Moon Roof,2025.0,"Rs. 20,490,000",8.0,Kottawa,2025-12-14
Van,Toyota,Noah KR41 Convert 3C,1998.0,"Rs. 6,850,000",,Horana,2025-12-14
Bus,Mitsubishi,Rosa,2001.0,"Rs. 9,950,000",215000.0,Colombo,2025-12-14
Car,Honda,Civic Ex Tech Pack,2018.0,"Rs. 13,850,000",65000.0,Kelaniya,2025-12-14
Car,Toyota,Aqua,2013.0,"Rs. 7,590,000",70000.0,Piliyandala,2025-12-14
Motorbike,Bajaj,Discover,2009.0,"Rs. 325,000",5885.0,Puttalam,2025-12-14
Three Wheel,Bajaj,4 Stroke,2017.0,"Rs. 850,000",35000.0,Wennappuwa,2025-12-14
Motorbike,Hero,Pleasure,2013.0,"Rs. 250,000",40950.0,Gampaha,2025-12-14
Motorbike,Bajaj,CT-100,2004.0,"Rs. 180,000",1234.0,Kurunegala,2025-12-14
Lorry,Mitsubishi,Canter,1984.0,"Rs. 2,250,000",,Negombo,2025-12-14
Motorbike,Honda,Custom C50,2002.0,"Rs. 112,500",,Gampaha,2025-12-14
Motorbike,Hero,Pleasure,2015.0,"Rs. 297,000",37555.0,Kurunegala,2025-12-14
Van,Toyota,Noah KR42 GL,2007.0,Negotiable,102000.0,Horana,2025-12-14
Car,Toyota,Vista CV30,1991.0,"Rs. 1,800,000",,Kadawatha,2025-12-14
Motorbike,Hero,Pleasure,2011.0,"Rs. 245,000",49000.0,Wennappuwa,2025-12-14
SUV,Suzuki,Grand Vitara,2006.0,"Rs. 6,950,000",214000.0,Maharagama,2025-12-14
Motorbike,Hero,Maestro,2017.0,"Rs. 300,000",88040.0,Kurunegala,2025-12-14
Motorbike,TVS,Star Sport,2006.0,"Rs. 185,000",48800.0,Embilipitiya,2025-12-14
Motorbike,TVS,Victor,2006.0,Negotiable,1.0,Colombo,2025-12-14
Pickup,Toyota,Hilux Revo,2016.0,"Rs. 18,900,000",68000.0,Kandy,2025-12-14
Pickup,Toyota,Hilux GR SPORT,2024.0,Negotiable,17500.0,Kandy,2025-12-12
Car,Suzuki,WAGON R CUSTOM Z,2025.0,"Rs. 7,750,000",,Colombo,2025-12-09
Car,Suzuki,Swift ZC71S,2008.0,"Rs. 5,500,000",152000.0,Colombo,2025-12-14
SUV,Honda,Vezel ZPlay,2025.0,"Rs. 20,200,000",20.0,Maharagama,2025-12-14
Car,Honda,Fit GP5 L Grade,2014.0,"Rs. 7,900,000",116000.0,Dehiwala-Mount-Lavinia,2025-12-14
Motorbike,Singer,4 STOCK,2012.0,Negotiable,45286.0,Ratnapura,2025-12-14
Van,Toyota,Noah CR42 GL,2000.0,"Rs. 8,250,000",124000.0,Horana,2025-12-14
