Index,Mileage
1,135000 (km)
2,80000 (km)
3,137000 (km)
4,103000 (km)
5,128000 (km)
6,59500 (km)
7,183000 (km)
8,1600000 (km)
9,92000 (km)
10,78000 (km)
11,98000 (km)
12,119000 (km)
13,165000 (km)
14,32000 (km)
15,115000 (km)
16,110000 (km)
17,1700000 (km)
18,156000 (km)
19,150000 (km)
20,74000 (km)
21,120000 (km)
22,191000 (km)
23,159000 (km)
24,190000 (km)
25,4 (km)
26,165000 (km)
27,105223 (km)
28,99000 (km)
29,138400 (km)
30,166500 (km)
31,110000 (km)
32,92600 (km)
33,78000 (km)
34,123200 (km)
35,139000 (km)
36,95000 (km)
37,170000 (km)
38,151000 (km)
39,120000 (km)
40,160000 (km)
41,160000 (km)
42,126000 (km)
