Make,Model,YOM,Price,Mileage,Engine CC,Fuel Type,URL
toyota,N/A,2016,Post Free Vehicle AdLoginEdit My AdLeasing OfferContact UsContributeBuyCarsBuySUVsBuyVansBuyMotorbikesBuyLorriesBuyThree WheelBuyPickupsBuyHeavy-DutyBuySpare PartsPremium AdToyota Vitz 2016 Car (Used)Posted by Sanjeewa on 2025-12-13 1:54 pm Nugegoda< BackContact077 234 8753Price 7100000Get LeasingCentral Finance වෙතින් මාසික වාරිකය රු.1885 සිට ලීසිං පහසුකම්.MakeToyotaModelVitzYOM2016Mileage (km)140000GearAutomaticFuel TypePetrolOptionsAIR CONDITION POWER STEERING POWER MIRROR POWER WINDOWEngine (cc)1000Details🚗 Toyota Vitz KSP130 – 2016Year of Manufacture: 2016Condition: ExcellentOwnership: 1st Owner(Registerd owner)Mileage: 141000 kmEngine Capacity: 1000 cc (Petrol)Transmission: Automatic GearPrice is negotiableKey Features:Auto Head LightsAuto BrakeLane Departure AssistKey StartWhite Color6 Speakers Audio SystemMultifunction Steering WheelAndroid Multimedia SystemReverse Camera & Front CameraAccident Free Vehicleservice record available upto dateWell maintained and carefully driven. Ideal for city use with excellent fuel efficiency.257 Views⚠Report a Problem☆Save Ad to FavoriteToyota Cars in Sri LankaToyota Vitz Cars in Sri LankaToyota Vitz 2016 Cars in Sri LankaToyota Vitz Cars in Nugegoda Sri LankaPlayadstudio.cloudCopyright © Riyasewana Lanka (Pvt) Ltd.Terms & Conditions|Privacy Policy,N/A,N/A,N/A,https://riyasewana.com/buy/toyota-vitz-sale-nugegoda-10888156
toyota,N/A,2022,Post Free Vehicle AdLoginEdit My AdLeasing OfferContact UsContributeBuyCarsBuySUVsBuyVansBuyMotorbikesBuyLorriesBuyThree WheelBuyPickupsBuyHeavy-DutyBuySpare PartsPremium AdToyota Yaris G 2022 Car Unregistered (Recondition)Posted by UBro Trading on 2025-12-06 11:16 pm Kandy< BackContact077 171 1210Price 9750000Get LeasingCentral Finance වෙතින් මාසික වාරිකය රු.1885 සිට ලීසිං පහසුකම්.MakeToyotaModelYaris GYOM2022Mileage (km)24000GearAutomaticFuel TypePetrolOptionsAIR CONDITION POWER STEERING POWER MIRROR POWER WINDOWEngine (cc)1000Details🚗 Toyota Yaris G – 2022 (Unregistered)✨ G Grade | Reliable | Stylish | 2 Units Available!💰 Special Price:  9750000/= – One of the best deals in Sri Lanka!Key Features:✅ 4 Way Camera✅ Lane Keep Assist✅ Auto Brake System✅ Parking Sensors + Reverse Camera With Guide Lines✅ Toyota Safety Sense✅ Auto Lights✅ Multi-Function Steering Wheel✅ Drive Recorder📍 Mileage: Around 13200km & 24100km📍 Available at UBro Trading – Kandy & Kadawatha🔒 Why Choose Us?✔ 3-Year / 100000 km Warranty on All Vehicles✔ 100% Genuine & Accident-Free Vehicles✔ Trusted for Over 10+ Years✔ Official Representative of SOFT99® Corporation Japan & DIA Chemical® Japan✔ Registered & Approved by:• Registrar of Companies• Sri Lanka Customs• Department of Motor Traffic💎 Buy with Confidence – Drive with Peace of Mind!1836 Views⚠Report a Problem☆Save Ad to FavoriteToyota Cars in Sri LankaToyota Yaris G Cars in Sri LankaToyota Yaris G 2022 Cars in Sri LankaToyota Yaris G Cars in Kandy Sri LankaPlayadstudio.cloudCopyright © Riyasewana Lanka (Pvt) Ltd.Terms & Conditions|Privacy Policy,N/A,N/A,N/A,https://riyasewana.com/buy/toyota-yaris-g-sale-kandy-10856711
nissan,N/A,2001,Post Free Vehicle AdLoginEdit My AdLeasing OfferContact UsContributeBuyCarsBuySUVsBuyVansBuyMotorbikesBuyLorriesBuyThree WheelBuyPickupsBuyHeavy-DutyBuySpare PartsNissan March K11 2001 Car (Used)Posted by Chamini on 2025-12-14 1:35 pm Panadura< BackContact076 980 1500Price 3175000Get LeasingCentral Finance වෙතින් මාසික වාරිකය රු.1885 සිට ලීසිං පහසුකම්.MakeNissanModelMarch K11YOM2001Mileage (km)130000GearAutomaticFuel TypePetrolOptionsAIR CONDITION POWER STEERING POWER MIRROR POWER WINDOWEngine (cc)1000DetailsMarch k11Manufactured 2004Registered 20063rd ownercup holdersDvd player reverse cameraEngine 💯Running 💯A/C working30 Views⚠Report a Problem☆Save Ad to FavoriteNissan Cars in Sri LankaNissan March K11 Cars in Sri LankaNissan March K11 2001 Cars in Sri LankaNissan March K11 Cars in Panadura Sri Lankaadstudio.cloudCopyright © Riyasewana Lanka (Pvt) Ltd.Terms & Conditions|Privacy Policy,N/A,N/A,N/A,https://riyasewana.com/buy/nissan-march-k11-sale-panadura-10893302
toyota,N/A,2022,Post Free Vehicle AdLoginEdit My AdLeasing OfferContact UsContributeBuyCarsBuySUVsBuyVansBuyMotorbikesBuyLorriesBuyThree WheelBuyPickupsBuyHeavy-DutyBuySpare PartsToyota Yaris G 2022 Car Unregistered (Recondition)Posted by Niyazi on 2025-12-14 2:06 pm Colombo< BackContact077 781 2053Price 9990000Get LeasingCentral Finance වෙතින් මාසික වාරිකය රු.1885 සිට ලීසිං පහසුකම්.MakeToyotaModelYaris GYOM2022Mileage (km)36000GearAutomaticFuel TypePetrolOptionsAIR CONDITION POWER STEERING POWER MIRROR POWER WINDOWEngine (cc)1000Details🏎️ TOYOTA YARIS G GRADE UNREGISTERED WITH HIGHEST SPECS🏎️TOUCH A/C🏎️CORNER SENSORS🏎️FACTORY FITTED ALLOY WHEELS🏎️DIGITAL METER🏎️36000KM🏎️TWO SMART KEYS🏎️PUSH START🏎️SAFETY PACKAGE🏎️VIDEO RECORDER🏎️TOUCH A/C🏎️REVERSE CAMERA WITH GUIDELINES🏎️DOUBLE SIDE MULTIFUNCTIONS🏎️REAR WIPER🏎️USB PORT🏎️ADJUSTABLE HEAD RESTS🏎️ADJUSTABLE REAR SEATS📞0777812053📞0777816943VISIT US ATNO-24 S DE S JAYASINGHE MAWATHA KALUBOWILA DEHIWALACOLOMBOLOCATIONTIP TOP TRADERS https://g.co/kgs/yM389P5 Views⚠Report a Problem☆Save Ad to FavoriteToyota Cars in Sri LankaToyota Yaris G Cars in Sri LankaToyota Yaris G 2022 Cars in Sri LankaToyota Yaris G Cars in Colombo Sri LankaPlayadstudio.cloudCopyright © Riyasewana Lanka (Pvt) Ltd.Terms & Conditions|Privacy Policy,N/A,N/A,N/A,https://riyasewana.com/buy/toyota-yaris-g-sale-colombo-10893450
suzuki,N/A,2016,Post Free Vehicle AdLoginEdit My AdLeasing OfferContact UsContributeBuyCarsBuySUVsBuyVansBuyMotorbikesBuyLorriesBuyThree WheelBuyPickupsBuyHeavy-DutyBuySpare PartsSuzuki Hustler 2016 Car (Used)Posted by Sesatha Auto Kadawatha on 2025-12-14 1:22 pm Kadawatha< BackContact077 731 6279Price 6050000Get LeasingCentral Finance වෙතින් මාසික වාරිකය රු.1885 සිට ලීසිං පහසුකම්.MakeSuzukiModelHustlerYOM2016Mileage (km)110000GearAutomaticFuel TypeHybridOptionsAIR CONDITION POWER STEERING POWER MIRROR POWER WINDOWEngine (cc)650Details2nd owner genuine milage records availablefull option Auto gearJ style Alloy wheelpush startsafety brackideal stopgood condition car for sale price is negotiate after inspection22 Views⚠Report a Problem☆Save Ad to FavoriteSuzuki Cars in Sri LankaSuzuki Hustler Cars in Sri LankaSuzuki Hustler 2016 Cars in Sri LankaSuzuki Hustler Cars in Kadawatha Sri Lankaadstudio.cloudCopyright © Riyasewana Lanka (Pvt) Ltd.Terms & Conditions|Privacy Policy,N/A,N/A,N/A,https://riyasewana.com/buy/suzuki-hustler-sale-kadawatha-10893227
suzuki,N/A,2010,N/A,N/A,N/A,N/A,https://riyasewana.com/buy/suzuki-alto-spot-sale-colombo-10893287
ashok-leyland,N/A,2005,Post Free Vehicle AdLoginEdit My AdLeasing OfferContact UsContributeBuyCarsBuySUVsBuyVansBuyMotorbikesBuyLorriesBuyThree WheelBuyPickupsBuyHeavy-DutyBuySpare PartsAshok-Leyland Ruby 2005 Bus (Used)Posted by Rohana Kumara on 2025-12-14 2:08 pm Polgahawela< BackContact076 998 1248Price 6250000MakeAshok-LeylandModelRubyYOM2005Mileage (km)12345GearManualFuel TypeDieselOptionsPOWER STEERINGEngine (cc)6500Details2005 RegisterGood Running2005 manufacturerruby Body42 Bata seatEuro Sincomax Gear0769627819 whatsapp15 Views⚠Report a Problem☆Save Ad to FavoriteAshok-Leyland Buses in Sri LankaAshok-Leyland Ruby Buses in Sri LankaAshok-Leyland Ruby 2005 Buses in Sri LankaAshok-Leyland Ruby Buses in Polgahawela Sri Lankaadstudio.cloudCopyright © Riyasewana Lanka (Pvt) Ltd.Terms & Conditions|Privacy Policy,N/A,N/A,N/A,https://riyasewana.com/buy/ashok-leyland-ruby-sale-polgahawela-10893462
suzuki,N/A,2024,Post Free Vehicle AdLoginEdit My AdLeasing OfferContact UsContributeBuyCarsBuySUVsBuyVansBuyMotorbikesBuyLorriesBuyThree WheelBuyPickupsBuyHeavy-DutyBuySpare PartsSuzuki WAGON R FX 2024 Car (Used)Posted by Family Cars Malabe on 2025-12-14 1:23 pm Malabe< BackContact071 769 2246Price 7490000Get LeasingCentral Finance වෙතින් මාසික වාරිකය රු.1885 සිට ලීසිං පහසුකම්.MakeSuzukiModelWAGON R FXYOM2024Mileage (km)6031GearAutomaticFuel TypePetrolOptionsAIR CONDITION POWER STEERING POWER MIRROR POWER WINDOWEngine (cc)650DetailsSUZUKI WAGON R FX 💥මූලික ගෙවීම ලක්ශ 20/=  ගෙවා ලීසිං පහසුකම් ලබා ගත හැක.💥MANUFACTURED YEAR 2024REGISTERED YEAR 2025💥2 YEARS WARRANTY OR 100000KM💥3 FREE SERVICE✅ AIR CONDITION✅ POWER STEERING✅ POWER SHUTTER✅ POWER MIRROR✅ RETRACTABLE MIRROR✅ DUAL AIRBAGS✅ SAFETY✅ ABS✅ AUTO BRAKE✅ FOG LAMPS✅ FULL OPTIONS✅ PUSH START7490000 LKR6031 KMNO ERRORJUST BUY AND RIDE😊 Please make you valuable calls during 8AM - 7PMConnect us on ☎+94777353344+94717692246+94772216990+94715319577+94112407555+94112407888📌  NO.318/2F NEW KANDY ROAD MALABE📍NEAR CHANDRIKA KUMARATHUNGA MAWATHAWe warmly welcome you all to partner with us to bring color to your dream vehicle.Visit us at🌐 familycars.lk📧 info@familycars.lkto get in touch with the latest updates.#dontdreamitdriveit  #familycarsmalabeMH-271834 Views⚠Report a Problem☆Save Ad to FavoriteSuzuki Cars in Sri LankaSuzuki WAGON R FX Cars in Sri LankaSuzuki WAGON R FX 2024 Cars in Sri LankaSuzuki WAGON R FX Cars in Malabe Sri LankaPlayadstudio.cloudCopyright © Riyasewana Lanka (Pvt) Ltd.Terms & Conditions|Privacy Policy,N/A,N/A,N/A,https://riyasewana.com/buy/suzuki-wagon-r-sale-malabe-10893234
nissan,N/A,1985,"Post Free Vehicle AdLoginEdit My AdLeasing OfferContact UsContributeBuyCarsBuySUVsBuyVansBuyMotorbikesBuyLorriesBuyThree WheelBuyPickupsBuyHeavy-DutyBuySpare PartsNissan Hb11 Box 1985 Car (Used)Posted by Malith Shenal on 2025-12-14 1:32 pm Kuliyapitiya< BackContact077 110 0523Price 895000Get LeasingCentral Finance වෙතින් මාසික වාරිකය රු.1885 සිට ලීසිං පහසුකම්.MakeNissanModelHb11 BoxYOM1985Mileage (km)66000GearManualFuel TypePetrolOptionsAIR CONDITIONEngine (cc)1500Detailsnissan hb11 14-*original booklisence & insurance up to datesuperb body conditionno corrosionspaint condition 75%superb running conditionengine condition 75%original door boardsTV/REVERSE CAMERA/GELONG SUBWOOFERNICKEL BEADINGS 100%brand new front tyres13"" alloywheelsall meters/lights workingAC working@kuliyapitiya 0️⃣7️⃣7️⃣1️⃣1️⃣0️⃣0️⃣5️⃣2️⃣3️⃣නිසාන් hb11 1985ඒසී වැඩබොඩි තත්වය සුපිරි(කෙලින් කටින්)සියලු නිකල් බඩු සුපිරිම තත්වයෙන් පවතියිදිරුම් නැතපේන්ට් තත්වය 75%දාවන තත්වය සුපිරිඉදිරි බ්‍රෑන්ඩ් නිවු ටයර්හොද වාහනයක් සොයන්නෙකුටඔරිජිනල් පොත් පත් සමග සියලු ලියකියවිලි සම්පූර්නයි(අවුරුදු 5ක සියලු නඩත්තු බිල් ඇත)@කුලියපිටිය077110052361 Views⚠Report a Problem☆Save Ad to FavoriteNissan Cars in Sri LankaNissan Hb11 Box Cars in Sri LankaNissan Hb11 Box 1985 Cars in Sri LankaNissan Hb11 Box Cars in Kuliyapitiya Sri Lankaadstudio.cloudCopyright © Riyasewana Lanka (Pvt) Ltd.Terms & Conditions|Privacy Policy",N/A,N/A,N/A,https://riyasewana.com/buy/nissan-hb11-box-sale-kuliyapitiya-10893284
honda,N/A,2014,Post Free Vehicle AdLoginEdit My AdLeasing OfferContact UsContributeBuyCarsBuySUVsBuyVansBuyMotorbikesBuyLorriesBuyThree WheelBuyPickupsBuyHeavy-DutyBuySpare PartsHonda FIT GP5 2014 Car (Used)Posted by Firnaz on 2025-12-14 1:27 pm Kandy< BackContact076 754 4891Price 7400000Get LeasingCentral Finance වෙතින් මාසික වාරිකය රු.1885 සිට ලීසිං පහසුකම්.MakeHondaModelFIT GP5YOM2014Mileage (km)140000GearAutomaticFuel TypeHybridOptionsAIR CONDITION POWER STEERING POWER MIRROR POWER WINDOWEngine (cc)1500Details▪︎Yom 2014▪︎Millage 140000km▪︎First owner▪︎L Grade▪︎Pearl white▪︎Safety▪︎Crusze controlGp5▪︎Yom 2014▪︎Millage 140000km▪︎First owner▪︎L Grade▪︎Pearl white▪︎SafetyWhatsapp 076754489111 Views⚠Report a Problem☆Save Ad to FavoriteHonda Cars in Sri LankaHonda FIT GP5 Cars in Sri LankaHonda FIT GP5 2014 Cars in Sri LankaHonda FIT GP5 Cars in Kandy Sri LankaPlayadstudio.cloudCopyright © Riyasewana Lanka (Pvt) Ltd.Terms & Conditions|Privacy Policy,N/A,N/A,N/A,https://riyasewana.com/buy/honda-fit-gp5-sale-kandy-10893262
